ranking,feature,occurances_pct,model_num,rep
1,Ca,0.133,RF,1
1,Cp,0.083,RF,1
1,Oldpeak,0.083,RF,1
1,Thal,0.067,RF,1
1,sex_1,0.633,RF,1
2,Ca,0.267,RF,1
2,Cp,0.15,RF,1
2,Oldpeak,0.15,RF,1
2,Thal,0.083,RF,1
2,Thalach,0.033,RF,1
2,sex_0,0.2,RF,1
2,sex_1,0.15,RF,1
3,Ca,0.183,RF,1
3,Cp,0.083,RF,1
3,Oldpeak,0.133,RF,1
3,Slope,0.017,RF,1
3,Thal,0.2,RF,1
3,Thalach,0.067,RF,1
3,Trestbps,0.017,RF,1
3,sex_0,0.283,RF,1
3,sex_1,0.083,RF,1
1,Ca,1.0,LSR,1
2,Thal,1.0,LSR,1
3,sex_0,0.567,LSR,1
3,sex_1,0.433,LSR,1
1,Unrelated_column_one,1.0,Slack,1
2,Age(,0.067,Slack,1
2,Ca,0.033,Slack,1
2,Cp,0.033,Slack,1
2,Exang,0.017,Slack,1
2,Fbs,0.067,Slack,1
2,Oldpeak,0.033,Slack,1
2,Restecg,0.033,Slack,1
2,Thal,0.117,Slack,1
2,Thalach,0.033,Slack,1
2,Trestbps,0.033,Slack,1
2,sex_0,0.217,Slack,1
2,sex_1,0.35,Slack,1
3,Age(,0.083,Slack,1
3,Ca,0.083,Slack,1
3,Chol,0.067,Slack,1
3,Cp,0.083,Slack,1
3,Exang,0.05,Slack,1
3,Fbs,0.15,Slack,1
3,Oldpeak,0.017,Slack,1
3,Restecg,0.15,Slack,1
3,Slope,0.05,Slack,1
3,Thal,0.133,Slack,1
3,Thalach,0.033,Slack,1
3,Trestbps,0.017,Slack,1
3,sex_0,0.083,Slack,1
3,sex_1,0.033,Slack,1
1,Ca,0.233,RF_RF,1
1,Cp,0.067,RF_RF,1
1,Oldpeak,0.317,RF_RF,1
1,Thal,0.033,RF_RF,1
1,sex_0,0.1,RF_RF,1
1,sex_1,0.25,RF_RF,1
2,Ca,0.15,RF_RF,1
2,Chol,0.067,RF_RF,1
2,Cp,0.083,RF_RF,1
2,Oldpeak,0.117,RF_RF,1
2,Thal,0.183,RF_RF,1
2,Thalach,0.05,RF_RF,1
2,Trestbps,0.017,RF_RF,1
2,sex_0,0.183,RF_RF,1
2,sex_1,0.2,RF_RF,1
3,Age(,0.033,RF_RF,1
3,Ca,0.167,RF_RF,1
3,Chol,0.033,RF_RF,1
3,Cp,0.1,RF_RF,1
3,Oldpeak,0.117,RF_RF,1
3,Thal,0.217,RF_RF,1
3,Thalach,0.1,RF_RF,1
3,sex_0,0.15,RF_RF,1
3,sex_1,0.183,RF_RF,1
1,Cp,0.033,LSR_RF,1
1,Thal,0.867,LSR_RF,1
1,Thalach,0.133,LSR_RF,1
1,sex_1,0.1,LSR_RF,1
2,Ca,0.067,LSR_RF,1
2,Chol,0.05,LSR_RF,1
2,Cp,0.317,LSR_RF,1
2,Oldpeak,0.083,LSR_RF,1
2,Thal,0.3,LSR_RF,1
2,Thalach,0.267,LSR_RF,1
2,sex_1,0.183,LSR_RF,1
3,Ca,0.117,LSR_RF,1
3,Chol,0.05,LSR_RF,1
3,Cp,0.183,LSR_RF,1
3,Exang,0.017,LSR_RF,1
3,Oldpeak,0.067,LSR_RF,1
3,Slope,0.017,LSR_RF,1
3,Thal,0.333,LSR_RF,1
3,Thalach,0.183,LSR_RF,1
3,sex_1,0.217,LSR_RF,1
1,Chol,0.017,SVC_RF,1
1,Cp,0.133,SVC_RF,1
1,Thal,0.817,SVC_RF,1
1,Thalach,0.017,SVC_RF,1
1,sex_1,0.033,SVC_RF,1
2,Chol,0.017,SVC_RF,1
2,Cp,0.317,SVC_RF,1
2,Oldpeak,0.183,SVC_RF,1
2,Thal,0.3,SVC_RF,1
2,Thalach,0.167,SVC_RF,1
2,sex_0,0.117,SVC_RF,1
2,sex_1,0.067,SVC_RF,1
3,Ca,0.067,SVC_RF,1
3,Chol,0.133,SVC_RF,1
3,Cp,0.183,SVC_RF,1
3,Oldpeak,0.133,SVC_RF,1
3,Thal,0.133,SVC_RF,1
3,Thalach,0.083,SVC_RF,1
3,sex_0,0.283,SVC_RF,1
3,sex_1,0.067,SVC_RF,1
1,Age(,1.0,Slack_RF,1
2,Ca,0.033,Slack_RF,1
2,Chol,0.25,Slack_RF,1
2,Cp,0.017,Slack_RF,1
2,Oldpeak,0.033,Slack_RF,1
