recall+,precision+,accuracy+,F1+,FA0-,FA1-,MSE-,AOD-,EOD-,SPD-,DI-,biased_col,samples,rep,learner,Flip,smoted
0.8,0.78,0.8,0.79,0.2,0.12,0.197,0.13,0.08,0.24,0.33,Age(,8929,1,RF,0.0,
0.91,0.7,0.77,0.79,0.09,0.08,0.224,0.02,0.02,0.14,0.19,Age(,8929,1,RF,1.0,0.095
0.72,0.78,0.77,0.75,0.28,0.02,0.224,0.29,0.26,0.4,0.48,Age(,8929,1,LSR,0.0,
0.81,0.7,0.75,0.75,0.19,0.24,0.251,0.09,0.04,0.03,0.05,Age(,8929,1,LSR,1.0,0.027
0.71,0.79,0.78,0.75,0.29,0.02,0.221,0.28,0.27,0.39,0.48,Age(,8929,1,SVC,0.0,
0.81,0.71,0.76,0.76,0.19,0.22,0.241,0.07,0.02,0.05,0.09,Age(,8929,1,SVC,1.0,0.022
0.75,0.77,0.78,0.76,0.25,0.2,0.222,0.12,0.05,0.21,0.31,Age(,512,1,RF_RF,0.0,
0.82,0.74,0.78,0.78,0.18,0.14,0.218,0.08,0.04,0.18,0.26,Age(,512,1,RF_RF,1.0,0.102
0.73,0.77,0.77,0.75,0.27,0.22,0.23,0.04,0.06,0.16,0.26,Age(,512,1,LSR_RF,0.0,
0.74,0.77,0.77,0.75,0.26,0.18,0.228,0.11,0.09,0.21,0.32,Age(,512,1,LSR_RF,1.0,0.121
0.72,0.78,0.77,0.75,0.28,0.1,0.224,0.14,0.18,0.27,0.38,Age(,512,1,SVC_RF,0.0,
0.76,0.75,0.77,0.75,0.24,0.16,0.231,0.12,0.08,0.22,0.31,Age(,512,1,SVC_RF,1.0,0.131
0.76,0.78,0.79,0.77,0.24,0.16,0.21,0.1,0.08,0.21,0.31,Age(,640,1,RF_RF,0.0,
0.83,0.75,0.79,0.79,0.17,0.2,0.208,0.1,0.03,0.17,0.25,Age(,640,1,RF_RF,1.0,0.198
0.73,0.76,0.77,0.74,0.27,0.04,0.232,0.32,0.23,0.4,0.47,Age(,640,1,LSR_RF,0.0,
,,,,,,,,,,,Age(,640,1,LSR_RF,,
0.73,0.78,0.77,0.75,0.27,0.04,0.225,0.29,0.23,0.38,0.46,Age(,640,1,SVC_RF,0.0,
,,,,,,,,,,,Age(,640,1,SVC_RF,,
0.77,0.78,0.79,0.77,0.23,0.1,0.212,0.09,0.13,0.23,0.33,Age(,768,1,RF_RF,0.0,
0.86,0.73,0.78,0.79,0.14,0.12,0.216,0.12,0.03,0.21,0.28,Age(,768,1,RF_RF,1.0,0.164
0.73,0.77,0.77,0.75,0.27,0.1,0.229,0.2,0.17,0.3,0.4,Age(,768,1,LSR_RF,0.0,
0.86,0.65,0.71,0.74,0.14,0.08,0.285,0.05,0.06,0.15,0.19,Age(,768,1,LSR_RF,1.0,0.086
0.73,0.78,0.78,0.75,0.27,0.08,0.223,0.21,0.19,0.32,0.42,Age(,768,1,SVC_RF,0.0,
0.87,0.6,0.67,0.71,0.13,0.08,0.328,0.0,0.05,0.09,0.12,Age(,768,1,SVC_RF,1.0,0.034
0.79,0.76,0.79,0.77,0.21,0.22,0.214,0.01,0.01,0.12,0.2,Age(,896,1,RF_RF,0.0,
0.84,0.75,0.79,0.79,0.16,0.12,0.207,0.09,0.05,0.2,0.27,Age(,896,1,RF_RF,1.0,0.097
0.72,0.78,0.77,0.75,0.28,0.16,0.224,0.1,0.12,0.22,0.33,Age(,896,1,LSR_RF,0.0,
0.83,0.69,0.75,0.75,0.17,0.2,0.252,0.01,0.03,0.09,0.14,Age(,896,1,LSR_RF,1.0,0.049
0.71,0.79,0.78,0.75,0.29,0.12,0.224,0.21,0.17,0.31,0.42,Age(,896,1,SVC_RF,0.0,
0.84,0.68,0.73,0.75,0.16,0.12,0.263,0.04,0.05,0.14,0.19,Age(,896,1,SVC_RF,1.0,0.095
0.8,0.77,0.79,0.78,0.2,0.16,0.21,0.08,0.04,0.19,0.28,Age(,1024,1,RF_RF,0.0,
0.87,0.73,0.79,0.79,0.13,0.18,0.212,0.04,0.04,0.08,0.13,Age(,1024,1,RF_RF,1.0,0.101
0.74,0.77,0.77,0.75,0.26,0.1,0.229,0.2,0.17,0.29,0.39,Age(,1024,1,LSR_RF,0.0,
0.89,0.62,0.69,0.73,0.11,0.12,0.311,0.02,0.0,0.1,0.12,Age(,1024,1,LSR_RF,1.0,0.065
0.73,0.78,0.78,0.75,0.27,0.1,0.222,0.23,0.17,0.32,0.42,Age(,1024,1,SVC_RF,0.0,
0.89,0.62,0.7,0.73,0.11,0.1,0.303,0.03,0.01,0.11,0.14,Age(,1024,1,SVC_RF,1.0,0.061
0.81,0.77,0.8,0.79,0.19,0.16,0.202,0.08,0.03,0.18,0.27,Age(,1152,1,RF_RF,0.0,
0.86,0.72,0.78,0.78,0.14,0.14,0.221,0.07,0.01,0.16,0.23,Age(,1152,1,RF_RF,1.0,0.123
0.73,0.78,0.77,0.75,0.27,0.08,0.225,0.2,0.2,0.31,0.41,Age(,1152,1,LSR_RF,0.0,
0.84,0.62,0.69,0.71,0.16,0.12,0.311,0.02,0.04,0.11,0.15,Age(,1152,1,LSR_RF,1.0,0.041
0.73,0.79,0.78,0.76,0.27,0.12,0.219,0.18,0.15,0.28,0.39,Age(,1152,1,SVC_RF,0.0,
