recall+,precision+,accuracy+,F1+,FA0-,FA1-,MSE-,AOD-,EOD-,SPD-,DI-,biased_col,samples,rep,learner,Flip,smoted
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,98,1,RF,0.0,
1.0,1.0,1.0,1.0,0.0,0.0,0.04,0.25,0.0,0.69,0.75,Racepctwhite(,98,1,RF,1.0,0.0
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,98,1,LSR,0.0,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,98,1,LSR,1.0,0.0
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,98,1,SVC,0.0,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,98,1,SVC,1.0,0.04
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,32,1,RF_RF,0.0,
,,,,,,,,,,,Racepctwhite(,32,1,RF_RF,,
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,32,1,LSR_RF,0.0,
,,,,,,,,,,,Racepctwhite(,32,1,LSR_RF,,
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,32,1,SVC_RF,0.0,
,,,,,,,,,,,Racepctwhite(,32,1,SVC_RF,,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,48,1,RF_RF,0.0,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,48,1,RF_RF,1.0,0.0
1.0,1.0,1.0,1.0,0.0,0.1,0.08,0.2,0.1,0.6,0.72,Racepctwhite(,48,1,LSR_RF,0.0,
0.67,0.67,0.85,0.67,0.33,0.1,0.16,0.32,0.23,0.6,0.72,Racepctwhite(,48,1,LSR_RF,1.0,0.0
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,48,1,SVC_RF,0.0,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,48,1,SVC_RF,1.0,0.0
0.33,0.5,0.77,0.4,0.67,0.0,0.2,0.78,0.67,0.85,0.85,Racepctwhite(,64,1,RF_RF,0.0,
0.33,0.33,0.69,0.33,0.67,0.0,0.2,0.48,0.67,0.69,0.75,Racepctwhite(,64,1,RF_RF,1.0,0.0
0.67,0.67,0.85,0.67,0.33,0.0,0.16,0.62,0.33,0.77,0.77,Racepctwhite(,64,1,LSR_RF,0.0,
1.0,1.0,1.0,1.0,0.0,0.0,0.08,0.5,0.0,0.77,0.77,Racepctwhite(,64,1,LSR_RF,1.0,0.0
0.67,0.5,0.77,0.57,0.33,0.0,0.2,0.57,0.33,0.69,0.69,Racepctwhite(,64,1,SVC_RF,0.0,
0.67,0.67,0.85,0.67,0.33,0.0,0.16,0.62,0.33,0.77,0.77,Racepctwhite(,64,1,SVC_RF,1.0,0.0
0.67,1.0,0.92,0.8,0.33,0.0,0.12,0.66,0.33,0.85,0.85,Racepctwhite(,80,1,RF_RF,0.0,
1.0,1.0,1.0,1.0,0.0,0.0,0.04,0.25,0.0,0.69,0.75,Racepctwhite(,80,1,RF_RF,1.0,0.0
1.0,0.6,0.85,0.75,0.0,0.0,0.16,0.4,0.0,0.62,0.62,Racepctwhite(,80,1,LSR_RF,0.0,
1.0,0.75,0.92,0.86,0.0,0.0,0.12,0.45,0.0,0.69,0.69,Racepctwhite(,80,1,LSR_RF,1.0,0.0
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,80,1,SVC_RF,0.0,
1.0,1.0,1.0,1.0,0.0,0.0,0.08,0.5,0.0,0.77,0.77,Racepctwhite(,80,1,SVC_RF,1.0,0.04
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,98,2,RF,0.0,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,98,2,RF,1.0,0.0
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,98,2,LSR,0.0,
0.75,0.6,0.83,0.67,0.25,0.17,0.2,0.47,0.08,0.58,0.68,Racepctwhite(,98,2,LSR,1.0,0.08
0.75,0.75,0.89,0.75,0.25,0.0,0.12,0.59,0.25,0.78,0.78,Racepctwhite(,98,2,SVC,0.0,
0.5,0.5,0.78,0.5,0.5,0.0,0.2,0.68,0.5,0.78,0.78,Racepctwhite(,98,2,SVC,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.17,0.16,0.66,0.33,0.75,0.87,Racepctwhite(,32,2,RF_RF,0.0,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,32,2,RF_RF,1.0,0.0
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,32,2,LSR_RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,32,2,LSR_RF,1.0,0.0
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,32,2,SVC_RF,0.0,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,32,2,SVC_RF,1.0,0.0
0.25,1.0,0.83,0.4,0.75,0.17,0.2,0.79,0.58,0.8,0.94,Racepctwhite(,48,2,RF_RF,0.0,
0.5,1.0,0.89,0.67,0.5,0.17,0.16,0.66,0.33,0.75,0.87,Racepctwhite(,48,2,RF_RF,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.17,0.16,0.66,0.33,0.75,0.87,Racepctwhite(,48,2,LSR_RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,48,2,LSR_RF,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.33,0.2,0.58,0.17,0.6,0.84,Racepctwhite(,48,2,SVC_RF,0.0,
0.5,1.0,0.89,0.67,0.5,0.5,0.24,0.5,0.0,0.46,0.81,Racepctwhite(,48,2,SVC_RF,1.0,0.0
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,64,2,RF_RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.33,0.24,0.55,0.17,0.55,0.77,Racepctwhite(,64,2,RF_RF,1.0,0.0
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,64,2,LSR_RF,0.0,
,,,,,,,,,,,Racepctwhite(,64,2,LSR_RF,,
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,64,2,SVC_RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.33,0.24,0.55,0.17,0.55,0.77,Racepctwhite(,64,2,SVC_RF,1.0,0.0
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,80,2,RF_RF,0.0,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,80,2,RF_RF,1.0,0.0
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,80,2,LSR_RF,0.0,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,80,2,LSR_RF,1.0,0.0
