biased_col,rep,samples,learner,feature,importance
SEX(,1,24000,0,PAY_0,0.096
SEX(,1,24000,0,ID,0.072
SEX(,1,24000,0,AGE,0.056
SEX(,1,24000,0,BILL_AMT1,0.055
SEX(,1,24000,0,LIMIT_BAL,0.053
SEX(,1,24000,0,BILL_AMT2,0.05
SEX(,1,24000,0,PAY_AMT1,0.049
SEX(,1,24000,0,BILL_AMT3,0.048
SEX(,1,24000,0,BILL_AMT6,0.047
SEX(,1,24000,0,PAY_2,0.047
SEX(,1,24000,0,BILL_AMT4,0.047
SEX(,1,24000,0,BILL_AMT5,0.045
SEX(,1,24000,0,PAY_AMT2,0.045
SEX(,1,24000,0,PAY_AMT6,0.043
SEX(,1,24000,0,PAY_AMT3,0.042
SEX(,1,24000,0,PAY_AMT5,0.041
SEX(,1,24000,0,PAY_AMT4,0.04
SEX(,1,24000,0,PAY_3,0.027
SEX(,1,24000,0,PAY_5,0.023
SEX(,1,24000,0,PAY_4,0.02
SEX(,1,24000,0,EDUCATION,0.018
SEX(,1,24000,0,PAY_6,0.015
SEX(,1,24000,0,MARRIAGE,0.013
SEX(,1,24000,0,SEX(,0.011
SEX(,1,1024,1,PAY_0,0.09
SEX(,1,1024,2,PAY_0,0.298
SEX(,1,1024,3,PAY_0,0.271
SEX(,1,1024,1,ID,0.07
SEX(,1,1024,2,PAY_2,0.114
SEX(,1,1024,3,PAY_2,0.117
SEX(,1,1024,1,LIMIT_BAL,0.061
SEX(,1,1024,2,PAY_3,0.086
SEX(,1,1024,3,PAY_3,0.087
SEX(,1,1024,1,AGE,0.054
SEX(,1,1024,2,PAY_5,0.058
SEX(,1,1024,3,PAY_4,0.066
SEX(,1,1024,1,PAY_2,0.052
SEX(,1,1024,2,PAY_4,0.048
SEX(,1,1024,3,PAY_AMT2,0.039
SEX(,1,1024,1,BILL_AMT1,0.051
SEX(,1,1024,2,PAY_6,0.041
SEX(,1,1024,3,PAY_5,0.034
SEX(,1,1024,1,PAY_AMT1,0.051
SEX(,1,1024,2,PAY_AMT2,0.041
SEX(,1,1024,3,PAY_AMT1,0.034
SEX(,1,1024,1,BILL_AMT4,0.047
SEX(,1,1024,2,LIMIT_BAL,0.034
SEX(,1,1024,3,PAY_6,0.032
SEX(,1,1024,1,BILL_AMT2,0.046
SEX(,1,1024,2,BILL_AMT3,0.027
SEX(,1,1024,3,LIMIT_BAL,0.03
SEX(,1,1024,1,PAY_AMT6,0.045
SEX(,1,1024,2,ID,0.024
SEX(,1,1024,3,PAY_AMT5,0.03
SEX(,1,1024,1,BILL_AMT6,0.044
SEX(,1,1024,2,BILL_AMT5,0.023
SEX(,1,1024,3,BILL_AMT4,0.029
SEX(,1,1024,1,PAY_AMT3,0.044
SEX(,1,1024,2,PAY_AMT1,0.023
SEX(,1,1024,3,PAY_AMT4,0.025
SEX(,1,1024,1,PAY_AMT2,0.043
SEX(,1,1024,2,PAY_AMT4,0.022
SEX(,1,1024,3,ID,0.024
SEX(,1,1024,1,BILL_AMT5,0.042
SEX(,1,1024,2,AGE,0.02
SEX(,1,1024,3,AGE,0.024
SEX(,1,1024,1,BILL_AMT3,0.042
SEX(,1,1024,2,BILL_AMT4,0.02
SEX(,1,1024,3,BILL_AMT2,0.022
SEX(,1,1024,1,PAY_AMT5,0.042
SEX(,1,1024,2,BILL_AMT2,0.02
SEX(,1,1024,3,BILL_AMT6,0.022
SEX(,1,1024,1,PAY_AMT4,0.037
SEX(,1,1024,2,BILL_AMT1,0.018
SEX(,1,1024,3,BILL_AMT5,0.022
SEX(,1,1024,1,PAY_4,0.032
SEX(,1,1024,2,PAY_AMT6,0.017
SEX(,1,1024,3,BILL_AMT3,0.02
SEX(,1,1024,1,PAY_3,0.027
SEX(,1,1024,2,BILL_AMT6,0.015
SEX(,1,1024,3,BILL_AMT1,0.018
SEX(,1,1024,1,PAY_5,0.023
SEX(,1,1024,2,PAY_AMT3,0.015
SEX(,1,1024,3,PAY_AMT6,0.017
SEX(,1,1024,1,EDUCATION,0.017
SEX(,1,1024,2,PAY_AMT5,0.014
SEX(,1,1024,3,PAY_AMT3,0.015
SEX(,1,1024,1,PAY_6,0.016
SEX(,1,1024,2,MARRIAGE,0.011
SEX(,1,1024,3,MARRIAGE,0.01
SEX(,1,1024,1,MARRIAGE,0.014
SEX(,1,1024,2,EDUCATION,0.008
SEX(,1,1024,3,EDUCATION,0.006
SEX(,1,1024,1,SEX(,0.011
SEX(,1,1024,2,SEX(,0.003
SEX(,1,1024,3,SEX(,0.005
SEX(,1,1280,1,PAY_0,0.085
SEX(,1,1280,2,PAY_0,0.231
SEX(,1,1280,3,PAY_0,0.263
SEX(,1,1280,1,PAY_2,0.066
SEX(,1,1280,2,PAY_2,0.158
SEX(,1,1280,3,PAY_2,0.132
SEX(,1,1280,1,ID,0.063
SEX(,1,1280,2,PAY_3,0.101
SEX(,1,1280,3,PAY_3,0.072
SEX(,1,1280,1,LIMIT_BAL,0.053
SEX(,1,1280,2,PAY_5,0.046
SEX(,1,1280,3,PAY_4,0.058
SEX(,1,1280,1,AGE,0.05
SEX(,1,1280,2,PAY_4,0.043
SEX(,1,1280,3,PAY_5,0.049
SEX(,1,1280,1,BILL_AMT3,0.049
SEX(,1,1280,2,PAY_6,0.039
SEX(,1,1280,3,PAY_6,0.043
SEX(,1,1280,1,PAY_AMT4,0.048
SEX(,1,1280,2,AGE,0.033
SEX(,1,1280,3,BILL_AMT2,0.035
SEX(,1,1280,1,PAY_AMT5,0.048
SEX(,1,1280,2,BILL_AMT1,0.033
SEX(,1,1280,3,PAY_AMT2,0.034
SEX(,1,1280,1,PAY_AMT3,0.047
SEX(,1,1280,2,PAY_AMT2,0.029
SEX(,1,1280,3,PAY_AMT1,0.032
SEX(,1,1280,1,PAY_AMT2,0.046
SEX(,1,1280,2,LIMIT_BAL,0.029
SEX(,1,1280,3,BILL_AMT3,0.028
SEX(,1,1280,1,PAY_AMT1,0.046
SEX(,1,1280,2,BILL_AMT2,0.028
SEX(,1,1280,3,BILL_AMT6,0.026
SEX(,1,1280,1,BILL_AMT5,0.046
SEX(,1,1280,2,PAY_AMT1,0.026
SEX(,1,1280,3,BILL_AMT1,0.025
SEX(,1,1280,1,BILL_AMT1,0.045
SEX(,1,1280,2,PAY_AMT3,0.026
SEX(,1,1280,3,BILL_AMT5,0.025
SEX(,1,1280,1,BILL_AMT4,0.044
SEX(,1,1280,2,BILL_AMT4,0.025
SEX(,1,1280,3,AGE,0.025
SEX(,1,1280,1,BILL_AMT2,0.043
SEX(,1,1280,2,BILL_AMT5,0.024
SEX(,1,1280,3,PAY_AMT6,0.022
SEX(,1,1280,1,BILL_AMT6,0.043
SEX(,1,1280,2,ID,0.024
SEX(,1,1280,3,LIMIT_BAL,0.022
SEX(,1,1280,1,PAY_AMT6,0.041
SEX(,1,1280,2,PAY_AMT4,0.02
SEX(,1,1280,3,BILL_AMT4,0.02
SEX(,1,1280,1,PAY_5,0.026
SEX(,1,1280,2,BILL_AMT3,0.02
SEX(,1,1280,3,ID,0.019
SEX(,1,1280,1,PAY_3,0.024
SEX(,1,1280,2,BILL_AMT6,0.019
SEX(,1,1280,3,PAY_AMT3,0.017
SEX(,1,1280,1,PAY_6,0.023
SEX(,1,1280,2,PAY_AMT6,0.016
SEX(,1,1280,3,PAY_AMT4,0.016
SEX(,1,1280,1,PAY_4,0.021
SEX(,1,1280,2,PAY_AMT5,0.012
SEX(,1,1280,3,PAY_AMT5,0.015
SEX(,1,1280,1,EDUCATION,0.018
SEX(,1,1280,2,MARRIAGE,0.009
SEX(,1,1280,3,MARRIAGE,0.008
SEX(,1,1280,1,SEX(,0.012
SEX(,1,1280,2,EDUCATION,0.007
SEX(,1,1280,3,EDUCATION,0.008
SEX(,1,1280,1,MARRIAGE,0.011
SEX(,1,1280,2,SEX(,0.003
SEX(,1,1280,3,SEX(,0.005
SEX(,1,1792,1,PAY_0,0.096
SEX(,1,1792,2,PAY_0,0.272
SEX(,1,1792,3,PAY_0,0.278
SEX(,1,1792,1,ID,0.068
SEX(,1,1792,2,PAY_2,0.133
SEX(,1,1792,3,PAY_2,0.109
SEX(,1,1792,1,PAY_2,0.067
SEX(,1,1792,2,PAY_3,0.132
SEX(,1,1792,3,PAY_3,0.079
SEX(,1,1792,1,LIMIT_BAL,0.056
SEX(,1,1792,2,PAY_4,0.061
SEX(,1,1792,3,PAY_5,0.068
SEX(,1,1792,1,AGE,0.056
SEX(,1,1792,2,PAY_5,0.041
SEX(,1,1792,3,PAY_4,0.063
SEX(,1,1792,1,PAY_AMT1,0.055
SEX(,1,1792,2,PAY_AMT1,0.031
SEX(,1,1792,3,PAY_AMT1,0.035
SEX(,1,1792,1,BILL_AMT1,0.054
SEX(,1,1792,2,LIMIT_BAL,0.029
SEX(,1,1792,3,AGE,0.03
SEX(,1,1792,1,BILL_AMT2,0.049
SEX(,1,1792,2,BILL_AMT2,0.027
SEX(,1,1792,3,BILL_AMT2,0.028
SEX(,1,1792,1,BILL_AMT3,0.045
SEX(,1,1792,2,PAY_6,0.026
SEX(,1,1792,3,PAY_6,0.026
SEX(,1,1792,1,BILL_AMT4,0.044
SEX(,1,1792,2,BILL_AMT3,0.025
SEX(,1,1792,3,BILL_AMT4,0.026
SEX(,1,1792,1,BILL_AMT5,0.043
SEX(,1,1792,2,BILL_AMT4,0.023
SEX(,1,1792,3,BILL_AMT3,0.025
SEX(,1,1792,1,PAY_AMT4,0.042
SEX(,1,1792,2,AGE,0.023
SEX(,1,1792,3,LIMIT_BAL,0.024
SEX(,1,1792,1,BILL_AMT6,0.041
SEX(,1,1792,2,PAY_AMT3,0.021
SEX(,1,1792,3,BILL_AMT5,0.024
SEX(,1,1792,1,PAY_AMT6,0.04
SEX(,1,1792,2,ID,0.021
SEX(,1,1792,3,ID,0.024
SEX(,1,1792,1,PAY_AMT3,0.04
SEX(,1,1792,2,BILL_AMT1,0.021
SEX(,1,1792,3,PAY_AMT6,0.023
SEX(,1,1792,1,PAY_AMT5,0.039
SEX(,1,1792,2,BILL_AMT6,0.018
SEX(,1,1792,3,PAY_AMT3,0.022
SEX(,1,1792,1,PAY_AMT2,0.038
SEX(,1,1792,2,BILL_AMT5,0.017
SEX(,1,1792,3,BILL_AMT1,0.021
SEX(,1,1792,1,PAY_3,0.026
SEX(,1,1792,2,PAY_AMT6,0.016
SEX(,1,1792,3,PAY_AMT5,0.018
SEX(,1,1792,1,PAY_4,0.021
SEX(,1,1792,2,PAY_AMT4,0.016
SEX(,1,1792,3,PAY_AMT4,0.017
SEX(,1,1792,1,PAY_5,0.018
SEX(,1,1792,2,PAY_AMT5,0.016
SEX(,1,1792,3,BILL_AMT6,0.017
SEX(,1,1792,1,PAY_6,0.018
SEX(,1,1792,2,PAY_AMT2,0.016
SEX(,1,1792,3,PAY_AMT2,0.017
SEX(,1,1792,1,EDUCATION,0.016
SEX(,1,1792,2,MARRIAGE,0.008
SEX(,1,1792,3,MARRIAGE,0.008
SEX(,1,1792,1,MARRIAGE,0.015
SEX(,1,1792,2,EDUCATION,0.004
SEX(,1,1792,3,EDUCATION,0.008
SEX(,1,1792,1,SEX(,0.011
SEX(,1,1792,2,SEX(,0.003
SEX(,1,1792,3,SEX(,0.007
SEX(,1,2048,1,PAY_0,0.082
SEX(,1,2048,2,PAY_0,0.298
SEX(,1,2048,3,PAY_0,0.249
SEX(,1,2048,1,ID,0.072
SEX(,1,2048,2,PAY_2,0.156
SEX(,1,2048,3,PAY_2,0.151
SEX(,1,2048,1,AGE,0.054
SEX(,1,2048,2,PAY_3,0.112
SEX(,1,2048,3,PAY_3,0.082
SEX(,1,2048,1,LIMIT_BAL,0.053
SEX(,1,2048,2,PAY_4,0.053
SEX(,1,2048,3,PAY_4,0.071
SEX(,1,2048,1,BILL_AMT2,0.051
SEX(,1,2048,2,PAY_5,0.041
SEX(,1,2048,3,PAY_5,0.05
SEX(,1,2048,1,BILL_AMT1,0.05
SEX(,1,2048,2,PAY_6,0.034
SEX(,1,2048,3,PAY_6,0.038
SEX(,1,2048,1,PAY_AMT1,0.046
SEX(,1,2048,2,BILL_AMT4,0.025
SEX(,1,2048,3,PAY_AMT1,0.033
SEX(,1,2048,1,BILL_AMT6,0.045
SEX(,1,2048,2,BILL_AMT1,0.024
SEX(,1,2048,3,BILL_AMT1,0.028
SEX(,1,2048,1,BILL_AMT4,0.044
SEX(,1,2048,2,BILL_AMT3,0.023
SEX(,1,2048,3,AGE,0.028
SEX(,1,2048,1,BILL_AMT5,0.043
SEX(,1,2048,2,PAY_AMT2,0.023
SEX(,1,2048,3,BILL_AMT5,0.027
SEX(,1,2048,1,BILL_AMT3,0.043
SEX(,1,2048,2,PAY_AMT1,0.023
SEX(,1,2048,3,PAY_AMT2,0.026
SEX(,1,2048,1,PAY_AMT3,0.043
SEX(,1,2048,2,BILL_AMT6,0.022
SEX(,1,2048,3,BILL_AMT3,0.025
SEX(,1,2048,1,PAY_AMT5,0.042
SEX(,1,2048,2,BILL_AMT2,0.022
SEX(,1,2048,3,BILL_AMT2,0.024
SEX(,1,2048,1,PAY_AMT2,0.042
SEX(,1,2048,2,BILL_AMT5,0.021
SEX(,1,2048,3,BILL_AMT4,0.023
SEX(,1,2048,1,PAY_AMT6,0.042
SEX(,1,2048,2,LIMIT_BAL,0.018
SEX(,1,2048,3,PAY_AMT6,0.021
SEX(,1,2048,1,PAY_AMT4,0.042
SEX(,1,2048,2,AGE,0.018
SEX(,1,2048,3,LIMIT_BAL,0.02
SEX(,1,2048,1,PAY_2,0.041
SEX(,1,2048,2,PAY_AMT6,0.018
SEX(,1,2048,3,ID,0.019
SEX(,1,2048,1,PAY_6,0.034
SEX(,1,2048,2,ID,0.015
SEX(,1,2048,3,BILL_AMT6,0.019
SEX(,1,2048,1,PAY_5,0.03
SEX(,1,2048,2,PAY_AMT4,0.015
SEX(,1,2048,3,PAY_AMT3,0.019
SEX(,1,2048,1,PAY_3,0.03
SEX(,1,2048,2,PAY_AMT5,0.014
SEX(,1,2048,3,PAY_AMT5,0.017
SEX(,1,2048,1,PAY_4,0.024
SEX(,1,2048,2,PAY_AMT3,0.014
SEX(,1,2048,3,PAY_AMT4,0.014
SEX(,1,2048,1,EDUCATION,0.02
SEX(,1,2048,2,EDUCATION,0.005
SEX(,1,2048,3,MARRIAGE,0.007
SEX(,1,2048,1,MARRIAGE,0.013
SEX(,1,2048,2,MARRIAGE,0.004
SEX(,1,2048,3,EDUCATION,0.005
SEX(,1,2048,1,SEX(,0.012
SEX(,1,2048,2,SEX(,0.003
SEX(,1,2048,3,SEX(,0.004
SEX(,1,2304,1,PAY_0,0.086
SEX(,1,2304,2,PAY_0,0.277
SEX(,1,2304,3,PAY_0,0.277
SEX(,1,2304,1,ID,0.064
SEX(,1,2304,2,PAY_2,0.137
SEX(,1,2304,3,PAY_2,0.118
SEX(,1,2304,1,LIMIT_BAL,0.06
SEX(,1,2304,2,PAY_3,0.095
SEX(,1,2304,3,PAY_3,0.107
SEX(,1,2304,1,AGE,0.054
SEX(,1,2304,2,PAY_4,0.056
SEX(,1,2304,3,PAY_4,0.071
SEX(,1,2304,1,BILL_AMT2,0.05
SEX(,1,2304,2,PAY_5,0.048
SEX(,1,2304,3,PAY_5,0.049
SEX(,1,2304,1,BILL_AMT1,0.049
SEX(,1,2304,2,PAY_AMT2,0.03
SEX(,1,2304,3,AGE,0.031
SEX(,1,2304,1,PAY_AMT1,0.048
SEX(,1,2304,2,LIMIT_BAL,0.03
SEX(,1,2304,3,BILL_AMT4,0.03
SEX(,1,2304,1,PAY_AMT2,0.047
SEX(,1,2304,2,BILL_AMT4,0.027
SEX(,1,2304,3,PAY_AMT2,0.027
SEX(,1,2304,1,BILL_AMT4,0.046
SEX(,1,2304,2,BILL_AMT3,0.027
SEX(,1,2304,3,BILL_AMT3,0.026
SEX(,1,2304,1,BILL_AMT6,0.045
SEX(,1,2304,2,BILL_AMT2,0.025
SEX(,1,2304,3,PAY_6,0.026
SEX(,1,2304,1,BILL_AMT5,0.045
SEX(,1,2304,2,BILL_AMT1,0.025
SEX(,1,2304,3,BILL_AMT1,0.024
