recall+,precision+,accuracy+,F1+,FA0-,FA1-,MSE-,AOD-,EOD-,SPD-,DI-,biased_col,samples,rep,learner,smoted,Flip
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,98,1,RF,0.0,
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,98,1,RF,1.0,0.0
0.0,0.0,0.69,0.0,1.0,0.1,0.28,0.9,0.9,0.84,0.92,Racepctwhite(,98,1,Slack,0.0,
0.67,1.0,0.92,0.8,0.33,0.0,0.08,0.42,0.33,0.76,0.83,Racepctwhite(,98,1,Slack,1.0,0.04
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,32,1,RF_RF,0.0,
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,32,1,RF_RF,1.0,0.0
0.0,0.0,0.77,0.0,1.0,0.0,0.16,0.75,1.0,0.92,1.0,Racepctwhite(,32,1,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,32,1,RF_RF,,
0.33,0.5,0.77,0.4,0.67,0.0,0.16,0.54,0.67,0.76,0.83,Racepctwhite(,48,1,RF_RF,0.0,
,,,,,,,,,,,Racepctwhite(,48,1,RF_RF,,
0.0,0.0,0.77,0.0,1.0,0.1,0.24,0.95,0.9,0.92,1.0,Racepctwhite(,48,1,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,48,1,RF_RF,,
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,64,1,RF_RF,0.0,
0.33,1.0,0.85,0.5,0.67,0.2,0.2,0.48,0.47,0.67,0.9,Racepctwhite(,64,1,RF_RF,1.0,0.0
0.33,1.0,0.85,0.5,0.67,0.0,0.12,0.58,0.67,0.84,0.92,Racepctwhite(,64,1,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,64,1,RF_RF,,
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,80,1,RF_RF,0.0,
0.67,1.0,0.92,0.8,0.33,0.1,0.12,0.36,0.23,0.68,0.82,Racepctwhite(,80,1,RF_RF,1.0,0.0
0.33,1.0,0.85,0.5,0.67,0.0,0.16,0.84,0.67,0.92,0.92,Racepctwhite(,80,1,Slack_RF,0.0,
0.67,0.5,0.77,0.57,0.33,0.0,0.16,0.32,0.33,0.61,0.66,Racepctwhite(,80,1,RF_RF,1.0,0.0
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,98,2,RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.17,0.2,0.63,0.33,0.69,0.81,Racepctwhite(,98,2,RF,1.0,0.0
0.0,0.0,0.67,0.0,1.0,0.0,0.28,0.93,1.0,0.89,0.89,Racepctwhite(,98,2,Slack,0.0,
0.5,0.5,0.78,0.5,0.5,0.0,0.2,0.68,0.5,0.78,0.78,Racepctwhite(,98,2,Slack,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.17,0.16,0.66,0.33,0.75,0.87,Racepctwhite(,32,2,RF_RF,0.0,
0.25,0.5,0.78,0.33,0.75,0.17,0.24,0.76,0.58,0.75,0.87,Racepctwhite(,32,2,RF_RF,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.0,0.12,0.75,0.5,0.89,0.89,Racepctwhite(,32,2,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,32,2,RF_RF,,
0.75,1.0,0.94,0.86,0.25,0.17,0.12,0.54,0.08,0.69,0.81,Racepctwhite(,48,2,RF_RF,0.0,
1.0,0.8,0.94,0.89,0.0,0.17,0.12,0.38,0.17,0.58,0.68,Racepctwhite(,48,2,RF_RF,1.0,0.0
0.5,1.0,0.89,0.67,0.5,0.17,0.16,0.66,0.33,0.75,0.87,Racepctwhite(,48,2,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,48,2,RF_RF,,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,64,2,RF_RF,0.0,
0.75,0.5,0.78,0.6,0.25,0.17,0.24,0.44,0.08,0.52,0.61,Racepctwhite(,64,2,RF_RF,1.0,0.0
0.25,0.33,0.72,0.28,0.75,0.0,0.24,0.8,0.75,0.83,0.83,Racepctwhite(,64,2,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,64,2,RF_RF,,
0.75,0.75,0.89,0.75,0.25,0.17,0.16,0.5,0.08,0.63,0.74,Racepctwhite(,80,2,RF_RF,0.0,
0.5,0.67,0.83,0.57,0.5,0.33,0.24,0.55,0.17,0.55,0.77,Racepctwhite(,80,2,RF_RF,1.0,0.0
0.0,0.0,0.78,0.0,1.0,0.17,0.24,0.92,0.83,0.86,1.0,Racepctwhite(,80,2,Slack_RF,0.0,
,,,,,,,,,,,Racepctwhite(,80,2,RF_RF,,
1.0,0.33,0.83,0.5,0.0,0.1,0.2,0.19,0.1,0.6,0.7,Racepctwhite(,98,3,RF,0.0,
0.0,0.0,0.75,0.0,1.0,0.2,0.28,0.64,0.8,0.6,0.78,Racepctwhite(,98,3,RF,1.0,0.0
0.0,0.0,0.92,0.0,1.0,0.2,0.24,0.9,0.8,0.85,1.0,Racepctwhite(,98,3,Slack,0.0,
1.0,0.33,0.83,0.5,0.0,0.1,0.2,0.19,0.1,0.6,0.7,Racepctwhite(,98,3,Slack,1.0,0.04
0.0,0.0,0.83,0.0,1.0,0.2,0.2,0.52,0.8,0.61,0.88,Racepctwhite(,32,3,RF_RF,0.0,
