ranking,feature,occurances_pct,learner,samples,rep
1,Age,0.504,RF,4937,1
1,Length_of_stay,0.083,RF,4937,1
1,Priors_count,0.399,RF,4937,1
1,c_charge_degree_F,0.01,RF,4937,1
1,c_charge_degree_M,0.004,RF,4937,1
2,Age,0.304,RF,4937,1
2,Length_of_stay,0.147,RF,4937,1
2,Priors_count,0.517,RF,4937,1
2,c_charge_degree_F,0.022,RF,4937,1
2,c_charge_degree_M,0.011,RF,4937,1
3,Age,0.13,RF,4937,1
3,Length_of_stay,0.683,RF,4937,1
3,Priors_count,0.054,RF,4937,1
3,Unrelated_column_one,0.003,RF,4937,1
3,c_charge_degree_F,0.074,RF,4937,1
3,c_charge_degree_M,0.049,RF,4937,1
3,race(,0.006,RF,4937,1
3,sex(,0.001,RF,4937,1
1,Unrelated_column_one,1.0,Slack,4937,1
2,Age,0.083,Slack,4937,1
2,Length_of_stay,0.057,Slack,4937,1
2,Priors_count,0.073,Slack,4937,1
2,c_charge_degree_F,0.318,Slack,4937,1
2,c_charge_degree_M,0.33,Slack,4937,1
2,race(,0.071,Slack,4937,1
2,sex(,0.067,Slack,4937,1
3,Age,0.137,Slack,4937,1
3,Length_of_stay,0.122,Slack,4937,1
3,Priors_count,0.117,Slack,4937,1
3,c_charge_degree_F,0.198,Slack,4937,1
3,c_charge_degree_M,0.194,Slack,4937,1
3,race(,0.113,Slack,4937,1
3,sex(,0.118,Slack,4937,1
1,Age,0.057,RF_RF,256,1
1,Length_of_stay,0.006,RF_RF,256,1
1,Priors_count,0.806,RF_RF,256,1
1,Unrelated_column_one,0.002,RF_RF,256,1
1,c_charge_degree_F,0.067,RF_RF,256,1
1,c_charge_degree_M,0.06,RF_RF,256,1
1,race(,0.002,RF_RF,256,1
2,Age,0.343,RF_RF,256,1
2,Length_of_stay,0.173,RF_RF,256,1
2,Priors_count,0.073,RF_RF,256,1
2,Unrelated_column_one,0.002,RF_RF,256,1
2,c_charge_degree_F,0.245,RF_RF,256,1
2,c_charge_degree_M,0.138,RF_RF,256,1
2,race(,0.026,RF_RF,256,1
3,Age,0.228,RF_RF,256,1
3,Length_of_stay,0.155,RF_RF,256,1
3,Priors_count,0.043,RF_RF,256,1
3,Unrelated_column_one,0.008,RF_RF,256,1
3,c_charge_degree_F,0.24,RF_RF,256,1
3,c_charge_degree_M,0.266,RF_RF,256,1
3,race(,0.048,RF_RF,256,1
3,sex(,0.011,RF_RF,256,1
1,c_charge_degree_M,0.002,Slack_RF,256,1
1,race(,0.998,Slack_RF,256,1
2,Age,0.319,Slack_RF,256,1
2,Length_of_stay,0.159,Slack_RF,256,1
2,Priors_count,0.012,Slack_RF,256,1
2,Unrelated_column_one,0.019,Slack_RF,256,1
2,c_charge_degree_F,0.138,Slack_RF,256,1
2,c_charge_degree_M,0.351,Slack_RF,256,1
2,race(,0.002,Slack_RF,256,1
2,sex(,0.002,Slack_RF,256,1
3,Age,0.165,Slack_RF,256,1
3,Length_of_stay,0.199,Slack_RF,256,1
3,Priors_count,0.056,Slack_RF,256,1
3,Unrelated_column_one,0.024,Slack_RF,256,1
3,c_charge_degree_F,0.327,Slack_RF,256,1
3,c_charge_degree_M,0.213,Slack_RF,256,1
3,sex(,0.015,Slack_RF,256,1
1,Age,0.385,RF_RF,384,1
1,Length_of_stay,0.066,RF_RF,384,1
1,Priors_count,0.416,RF_RF,384,1
