ranking,feature,occurances_pct,learner,samples,rep
1,Insu,0.006,RF,614,1
1,Mass,0.175,RF,614,1
1,Pedi,0.006,RF,614,1
1,Plas,0.812,RF,614,1
2,Age(,0.006,RF,614,1
2,Insu,0.026,RF,614,1
2,Mass,0.636,RF,614,1
2,Pedi,0.052,RF,614,1
2,Plas,0.123,RF,614,1
2,Preg,0.136,RF,614,1
2,Pres,0.006,RF,614,1
2,Skin,0.013,RF,614,1
3,Age(,0.006,RF,614,1
3,Insu,0.091,RF,614,1
3,Mass,0.104,RF,614,1
3,Pedi,0.26,RF,614,1
3,Plas,0.026,RF,614,1
3,Preg,0.448,RF,614,1
3,Pres,0.039,RF,614,1
3,Skin,0.026,RF,614,1
1,Unrelated_column_one,1.0,Slack,614,1
2,Age(,0.11,Slack,614,1
2,Insu,0.104,Slack,614,1
2,Mass,0.117,Slack,614,1
2,Pedi,0.097,Slack,614,1
2,Plas,0.123,Slack,614,1
2,Preg,0.143,Slack,614,1
2,Pres,0.149,Slack,614,1
2,Skin,0.156,Slack,614,1
3,Age(,0.123,Slack,614,1
3,Insu,0.097,Slack,614,1
3,Mass,0.104,Slack,614,1
3,Pedi,0.169,Slack,614,1
3,Plas,0.078,Slack,614,1
3,Preg,0.13,Slack,614,1
3,Pres,0.156,Slack,614,1
3,Skin,0.143,Slack,614,1
1,Insu,0.006,RF_RF,64,1
1,Mass,0.24,RF_RF,64,1
1,Plas,0.591,RF_RF,64,1
1,Preg,0.091,RF_RF,64,1
1,Pres,0.071,RF_RF,64,1
2,Insu,0.078,RF_RF,64,1
2,Mass,0.448,RF_RF,64,1
2,Plas,0.162,RF_RF,64,1
2,Preg,0.143,RF_RF,64,1
2,Pres,0.162,RF_RF,64,1
2,Skin,0.006,RF_RF,64,1
3,Insu,0.182,RF_RF,64,1
3,Mass,0.078,RF_RF,64,1
3,Pedi,0.052,RF_RF,64,1
3,Plas,0.104,RF_RF,64,1
3,Preg,0.26,RF_RF,64,1
3,Pres,0.279,RF_RF,64,1
3,Skin,0.026,RF_RF,64,1
3,Unrelated_column_one,0.019,RF_RF,64,1
1,Age(,0.994,Slack_RF,64,1
1,Insu,0.006,Slack_RF,64,1
2,Age(,0.006,Slack_RF,64,1
2,Insu,0.5,Slack_RF,64,1
2,Mass,0.052,Slack_RF,64,1
2,Pedi,0.045,Slack_RF,64,1
2,Plas,0.058,Slack_RF,64,1
2,Preg,0.182,Slack_RF,64,1
2,Pres,0.149,Slack_RF,64,1
2,Skin,0.006,Slack_RF,64,1
3,Insu,0.195,Slack_RF,64,1
3,Mass,0.071,Slack_RF,64,1
3,Pedi,0.169,Slack_RF,64,1
3,Plas,0.149,Slack_RF,64,1
3,Preg,0.253,Slack_RF,64,1
3,Pres,0.162,Slack_RF,64,1
1,Insu,0.026,RF_RF,96,1
1,Mass,0.286,RF_RF,96,1
1,Pedi,0.058,RF_RF,96,1
1,Plas,0.61,RF_RF,96,1
1,Pres,0.013,RF_RF,96,1
1,Skin,0.006,RF_RF,96,1
2,Insu,0.13,RF_RF,96,1
2,Mass,0.325,RF_RF,96,1
2,Pedi,0.182,RF_RF,96,1
2,Plas,0.266,RF_RF,96,1
2,Pres,0.091,RF_RF,96,1
2,Skin,0.006,RF_RF,96,1
3,Insu,0.24,RF_RF,96,1
3,Mass,0.13,RF_RF,96,1
3,Pedi,0.383,RF_RF,96,1
3,Plas,0.084,RF_RF,96,1
3,Preg,0.045,RF_RF,96,1
3,Pres,0.065,RF_RF,96,1
3,Skin,0.052,RF_RF,96,1
1,Age(,0.994,Slack_RF,96,1
1,Skin,0.006,Slack_RF,96,1
2,Age(,0.006,Slack_RF,96,1
2,Insu,0.019,Slack_RF,96,1
2,Mass,0.253,Slack_RF,96,1
2,Pedi,0.227,Slack_RF,96,1
2,Plas,0.026,Slack_RF,96,1
2,Preg,0.097,Slack_RF,96,1
2,Pres,0.195,Slack_RF,96,1
2,Skin,0.175,Slack_RF,96,1
3,Insu,0.045,Slack_RF,96,1
3,Mass,0.221,Slack_RF,96,1
3,Pedi,0.247,Slack_RF,96,1
3,Plas,0.078,Slack_RF,96,1
3,Preg,0.169,Slack_RF,96,1
3,Pres,0.156,Slack_RF,96,1
3,Skin,0.078,Slack_RF,96,1
3,Unrelated_column_one,0.006,Slack_RF,96,1
1,Mass,0.006,RF_RF,128,1
1,Plas,0.695,RF_RF,128,1
1,Preg,0.162,RF_RF,128,1
1,Pres,0.117,RF_RF,128,1
1,Skin,0.019,RF_RF,128,1
2,Age(,0.006,RF_RF,128,1
2,Insu,0.013,RF_RF,128,1
2,Mass,0.058,RF_RF,128,1
2,Pedi,0.006,RF_RF,128,1
2,Plas,0.162,RF_RF,128,1
2,Preg,0.24,RF_RF,128,1
2,Pres,0.416,RF_RF,128,1
2,Skin,0.097,RF_RF,128,1
3,Age(,0.026,RF_RF,128,1
3,Insu,0.084,RF_RF,128,1
3,Mass,0.182,RF_RF,128,1
3,Pedi,0.11,RF_RF,128,1
3,Plas,0.071,RF_RF,128,1
3,Preg,0.123,RF_RF,128,1
3,Pres,0.227,RF_RF,128,1
3,Skin,0.175,RF_RF,128,1
1,Age(,1.0,Slack_RF,128,1
2,Insu,0.091,Slack_RF,128,1
2,Mass,0.006,Slack_RF,128,1
2,Pedi,0.013,Slack_RF,128,1
2,Plas,0.058,Slack_RF,128,1
2,Preg,0.253,Slack_RF,128,1
2,Pres,0.123,Slack_RF,128,1
2,Skin,0.455,Slack_RF,128,1
3,Insu,0.273,Slack_RF,128,1
3,Mass,0.019,Slack_RF,128,1
3,Pedi,0.058,Slack_RF,128,1
3,Plas,0.156,Slack_RF,128,1
3,Preg,0.091,Slack_RF,128,1
3,Pres,0.227,Slack_RF,128,1
3,Skin,0.175,Slack_RF,128,1
1,Insu,0.013,RF_RF,160,1
1,Mass,0.156,RF_RF,160,1
1,Pedi,0.006,RF_RF,160,1
1,Plas,0.61,RF_RF,160,1
1,Preg,0.188,RF_RF,160,1
1,Skin,0.026,RF_RF,160,1
2,Insu,0.078,RF_RF,160,1
2,Mass,0.266,RF_RF,160,1
2,Pedi,0.045,RF_RF,160,1
2,Plas,0.143,RF_RF,160,1
2,Preg,0.377,RF_RF,160,1
2,Pres,0.006,RF_RF,160,1
2,Skin,0.084,RF_RF,160,1
3,Insu,0.175,RF_RF,160,1
3,Mass,0.357,RF_RF,160,1
3,Pedi,0.084,RF_RF,160,1
3,Plas,0.084,RF_RF,160,1
3,Preg,0.214,RF_RF,160,1
3,Pres,0.026,RF_RF,160,1
3,Skin,0.058,RF_RF,160,1
1,Age(,0.974,Slack_RF,160,1
