recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.09,0.13,0.75,0.11,0.8,0.81,0.79,0.87,0.91,0.1,race(,36177,1
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,1
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,1
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,1
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,1
0.16,0.23,0.79,0.19,0.78,0.74,0.8,0.89,0.84,0.11,race(,36177,2
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,2
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,2
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,2
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,2
0.11,0.16,0.77,0.13,0.8,0.8,0.79,0.88,0.89,0.09,race(,36177,3
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,3
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,3
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,3
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,3
0.1,0.19,0.77,0.13,0.8,0.8,0.81,0.9,0.9,0.1,race(,36177,4
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,4
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,4
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,4
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,4
0.1,0.15,0.78,0.12,0.8,0.81,0.8,0.89,0.9,0.09,race(,36177,5
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,5
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,5
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,5
0.0,0.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,5
0.1,0.15,0.76,0.12,0.8,0.79,0.79,0.88,0.9,0.11,race(,36177,6
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,6
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,6
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,6
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,6
0.11,0.16,0.75,0.13,0.8,0.8,0.79,0.87,0.89,0.09,race(,36177,7
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,7
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,7
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,7
0.0,0.0,0.83,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,7
0.09,0.14,0.77,0.11,0.8,0.8,0.8,0.89,0.91,0.11,race(,36177,8
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,8
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,8
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,8
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,8
0.13,0.19,0.78,0.15,0.78,0.78,0.79,0.88,0.87,0.09,race(,36177,9
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,9
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,9
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,9
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,9
0.09,0.15,0.77,0.11,0.8,0.8,0.8,0.89,0.91,0.1,race(,36177,10
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,512,10
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,768,10
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1024,10
0.0,0.0,0.84,0.0,1.0,1.0,1.0,1.0,1.0,0.0,race(,1280,10
0.82,0.13,0.33,0.22,0.03,0.01,0.06,0.08,0.18,0.19,sex(,36177,1
0.89,0.13,0.29,0.23,0.06,0.03,0.08,0.09,0.11,0.09,sex(,512,1
