recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.12,0.6,0.58,0.2,0.82,0.76,0.81,0.9,0.88,0.12,Age(,614,1
0.0,0.0,0.56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,1
0.0,0.0,0.56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,1
0.0,0.0,0.56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,1
0.0,0.0,0.56,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,1
0.06,0.4,0.42,0.1,0.8,0.83,0.81,0.91,0.94,0.11,Age(,614,2
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,2
0.06,0.67,0.45,0.11,0.95,0.94,0.95,0.95,0.94,0.0,Age(,96,2
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,2
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,2
0.09,0.5,0.58,0.15,0.82,0.78,0.82,0.92,0.91,0.13,Age(,614,3
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,3
0.0,0.0,0.56,0.0,0.98,1.0,0.98,0.98,1.0,0.0,Age(,96,3
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,3
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,3
0.06,0.25,0.37,0.1,0.78,0.87,0.79,0.86,0.94,0.07,Age(,614,4
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,4
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,4
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,4
0.0,0.0,0.43,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,4
0.06,0.5,0.49,0.11,0.8,0.83,0.82,0.93,0.94,0.1,Age(,614,5
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,5
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,5
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,5
0.0,0.0,0.49,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,5
0.08,0.4,0.51,0.13,0.82,0.8,0.81,0.9,0.92,0.12,Age(,614,6
0.0,0.0,0.53,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,6
0.0,0.0,0.53,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,6
0.0,0.0,0.53,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,6
0.0,0.0,0.53,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,6
0.04,0.25,0.55,0.07,0.78,0.86,0.81,0.93,0.96,0.1,Age(,614,7
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,7
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,7
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,7
0.0,0.0,0.58,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,7
0.1,0.5,0.52,0.17,0.82,0.79,0.81,0.89,0.9,0.11,Age(,614,8
0.0,0.0,0.52,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,8
0.0,0.0,0.52,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,8
0.0,0.0,0.52,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,8
0.0,0.0,0.52,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,8
0.09,0.5,0.48,0.15,0.8,0.82,0.8,0.89,0.91,0.09,Age(,614,9
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,9
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,9
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,9
0.0,0.0,0.48,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,9
0.1,0.5,0.47,0.17,0.8,0.81,0.8,0.89,0.9,0.09,Age(,614,10
0.0,0.0,0.47,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,64,10
0.0,0.0,0.47,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,96,10
0.0,0.0,0.47,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,128,10
0.0,0.0,0.47,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Age(,160,10
