recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.85,0.95,0.92,0.9,0.02,0.06,0.08,-0.25,0.15,0.21,sex(,835,1
0.81,0.75,0.8,0.78,0.0,0.02,0.06,-0.14,0.19,0.21,sex(,64,1
0.5,0.8,0.73,0.62,0.14,0.18,0.08,0.23,0.5,0.32,sex(,96,1
0.71,0.76,0.77,0.73,0.11,0.15,0.15,-0.56,0.29,0.44,sex(,128,1
0.5,0.86,0.75,0.63,0.26,0.41,0.17,0.4,0.5,0.09,sex(,160,1
0.91,0.85,0.91,0.88,0.1,0.18,0.12,-0.42,0.09,0.27,sex(,835,2
0.27,0.52,0.63,0.36,0.06,0.13,0.03,0.14,0.73,0.6,sex(,64,2
0.55,0.77,0.77,0.64,0.13,0.19,0.08,0.24,0.45,0.27,sex(,96,2
0.77,0.59,0.71,0.67,0.22,0.21,0.23,-0.9,0.23,0.43,sex(,128,2
0.91,0.68,0.8,0.78,0.18,0.24,0.2,-0.66,0.09,0.33,sex(,160,2
0.8,1.0,0.9,0.89,0.02,0.12,0.07,-0.21,0.2,0.32,sex(,835,3
0.56,0.82,0.73,0.67,0.17,0.31,0.18,-1.15,0.44,0.75,sex(,64,3
0.58,0.76,0.71,0.66,0.16,0.21,0.17,-0.88,0.42,0.62,sex(,96,3
0.75,0.89,0.83,0.81,0.23,0.45,0.24,-1.44,0.25,0.7,sex(,128,3
0.53,0.78,0.7,0.63,0.0,0.02,0.04,-0.12,0.47,0.45,sex(,160,3
0.91,0.89,0.92,0.9,0.01,0.04,0.07,-0.22,0.09,0.12,sex(,835,4
0.64,0.55,0.66,0.59,0.06,0.11,0.0,0.0,0.36,0.25,sex(,64,4
0.49,0.79,0.75,0.6,0.22,0.18,0.18,0.43,0.51,0.33,sex(,96,4
0.62,0.8,0.8,0.7,0.02,0.04,0.01,-0.04,0.38,0.42,sex(,128,4
0.64,0.76,0.79,0.69,0.02,0.06,0.06,-0.22,0.36,0.29,sex(,160,4
0.85,0.93,0.9,0.89,0.02,0.01,0.05,-0.13,0.15,0.16,sex(,835,5
0.46,0.78,0.68,0.58,0.2,0.2,0.17,0.37,0.54,0.34,sex(,64,5
0.66,0.87,0.79,0.75,0.12,0.22,0.14,-0.65,0.34,0.56,sex(,96,5
0.77,0.8,0.8,0.78,0.11,0.14,0.05,0.09,0.23,0.09,sex(,128,5
0.75,0.9,0.84,0.82,0.04,0.0,0.01,-0.03,0.25,0.25,sex(,160,5
0.88,0.91,0.92,0.89,0.0,0.0,0.08,-0.29,0.12,0.12,sex(,835,6
0.63,0.62,0.7,0.62,0.0,0.05,0.06,-0.18,0.37,0.32,sex(,64,6
0.71,0.67,0.75,0.69,0.04,0.13,0.05,-0.15,0.29,0.16,sex(,96,6
0.9,0.71,0.81,0.79,0.02,0.02,0.1,-0.25,0.1,0.08,sex(,128,6
0.8,0.65,0.75,0.72,0.02,0.08,0.12,-0.33,0.2,0.12,sex(,160,6
0.8,0.91,0.88,0.85,0.04,0.07,0.05,-0.16,0.2,0.13,sex(,835,7
0.3,0.58,0.6,0.4,0.06,0.04,0.08,-0.52,0.7,0.74,sex(,64,7
0.42,0.72,0.68,0.53,0.06,0.03,0.09,-0.58,0.58,0.61,sex(,96,7
0.7,0.74,0.77,0.72,0.02,0.04,0.04,-0.1,0.3,0.26,sex(,128,7
0.66,0.82,0.79,0.73,0.05,0.05,0.01,-0.02,0.34,0.29,sex(,160,7
0.8,0.98,0.91,0.88,0.08,0.09,0.06,0.14,0.2,0.11,sex(,835,8
0.73,0.66,0.72,0.69,0.04,0.06,0.06,-0.14,0.27,0.22,sex(,64,8
0.55,0.78,0.74,0.65,0.14,0.15,0.13,0.3,0.45,0.3,sex(,96,8
0.63,0.74,0.75,0.68,0.0,0.08,0.02,-0.05,0.37,0.3,sex(,128,8
0.57,0.83,0.76,0.68,0.13,0.16,0.12,0.28,0.43,0.27,sex(,160,8
0.91,0.88,0.9,0.89,0.1,0.15,0.11,-0.31,0.09,0.24,sex(,835,9
0.5,0.77,0.72,0.61,0.12,0.18,0.11,-0.63,0.5,0.68,sex(,64,9
0.5,0.82,0.73,0.62,0.04,0.01,0.05,-0.21,0.5,0.51,sex(,96,9
0.65,0.81,0.78,0.72,0.02,0.03,0.04,-0.11,0.35,0.32,sex(,128,9
0.65,0.71,0.73,0.68,0.06,0.03,0.07,-0.22,0.35,0.38,sex(,160,9
0.79,0.9,0.88,0.84,0.07,0.09,0.05,0.12,0.21,0.12,sex(,835,10
0.66,0.63,0.72,0.64,0.18,0.25,0.17,-0.7,0.34,0.59,sex(,64,10
0.7,0.7,0.77,0.7,0.01,0.01,0.0,-0.01,0.3,0.31,sex(,96,10
0.77,0.73,0.8,0.75,0.26,0.39,0.23,-1.38,0.23,0.62,sex(,128,10
0.68,0.82,0.82,0.74,0.0,0.02,0.0,-0.01,0.32,0.34,sex(,160,10
