recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.48,0.66,0.87,0.56,0.04,0.03,0.08,0.4,0.52,0.49,race(,36177,1
0.0,0.0,0.84,0.0,0.0,0.0,0.0,,1.0,1.0,race(,256,1
0.5,0.6,0.87,0.55,0.01,0.0,0.06,0.3,0.5,0.5,race(,512,1
0.44,0.69,0.88,0.54,0.02,0.02,0.07,0.39,0.56,0.54,race(,768,1
0.46,0.62,0.87,0.53,0.02,0.03,0.07,0.35,0.54,0.51,race(,1024,1
0.5,0.62,0.87,0.55,0.02,0.01,0.07,0.34,0.5,0.49,race(,1280,1
0.46,0.7,0.89,0.56,0.05,0.05,0.1,0.48,0.54,0.48,race(,36177,2
0.0,0.0,0.85,0.0,0.0,0.0,0.0,,1.0,1.0,race(,256,2
0.42,0.68,0.88,0.52,0.0,0.01,0.05,0.34,0.58,0.59,race(,512,2
0.44,0.78,0.89,0.56,0.06,0.05,0.1,0.54,0.56,0.51,race(,768,2
0.44,0.67,0.88,0.53,0.02,0.02,0.07,0.42,0.56,0.53,race(,1024,2
0.54,0.67,0.89,0.6,0.02,0.06,0.06,0.32,0.46,0.52,race(,1280,2
0.47,0.68,0.88,0.56,0.05,0.06,0.09,0.47,0.53,0.47,race(,36177,3
0.0,0.0,0.84,0.0,0.0,0.0,0.0,,1.0,1.0,race(,256,3
0.48,0.7,0.89,0.57,0.01,0.04,0.06,0.34,0.52,0.56,race(,512,3
0.43,0.7,0.88,0.53,0.06,0.08,0.1,0.52,0.57,0.49,race(,768,3
0.3,0.77,0.88,0.43,0.13,0.2,0.12,0.67,0.7,0.5,race(,1024,3
0.39,0.68,0.88,0.5,0.09,0.13,0.11,0.54,0.61,0.48,race(,1280,3
0.48,0.67,0.87,0.56,0.04,0.05,0.08,0.4,0.52,0.47,race(,36177,4
0.0,0.0,0.83,0.0,0.0,0.0,0.0,,1.0,1.0,race(,256,4
0.27,0.86,0.87,0.41,0.12,0.19,0.12,0.68,0.73,0.54,race(,512,4
0.46,0.66,0.87,0.54,0.02,0.03,0.06,0.34,0.54,0.51,race(,768,4
0.44,0.69,0.87,0.54,0.03,0.04,0.06,0.35,0.56,0.52,race(,1024,4
0.42,0.65,0.86,0.51,0.06,0.08,0.08,0.41,0.58,0.5,race(,1280,4
