recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.6,0.65,0.62,0.62,0.14,0.1,0.15,0.24,0.4,0.29,race(,4937,1
0.1,0.61,0.5,0.17,0.08,0.1,0.08,-inf,0.9,1.0,race(,128,1
0.1,0.61,0.5,0.17,0.08,0.1,0.08,-inf,0.9,1.0,race(,256,1
0.1,0.61,0.5,0.17,0.08,0.1,0.08,-inf,0.9,1.0,race(,384,1
0.1,0.61,0.5,0.17,0.08,0.1,0.08,-inf,0.9,1.0,race(,512,1
0.1,0.62,0.5,0.17,0.08,0.1,0.08,-inf,0.9,1.0,race(,640,1
0.65,0.65,0.64,0.65,0.14,0.04,0.15,0.23,0.35,0.31,race(,4937,2
0.14,0.67,0.53,0.23,0.11,0.14,0.11,-inf,0.86,1.0,race(,128,2
0.14,0.67,0.53,0.23,0.11,0.14,0.11,-inf,0.86,1.0,race(,256,2
0.14,0.67,0.53,0.23,0.11,0.14,0.11,-inf,0.86,1.0,race(,384,2
0.14,0.67,0.53,0.23,0.11,0.14,0.11,-inf,0.86,1.0,race(,512,2
0.14,0.67,0.53,0.23,0.11,0.14,0.11,-inf,0.86,1.0,race(,640,2
0.66,0.63,0.64,0.64,0.08,0.02,0.1,0.16,0.34,0.32,race(,4937,3
0.12,0.53,0.51,0.2,0.77,0.77,0.77,0.88,0.88,0.11,race(,128,3
0.12,0.54,0.51,0.2,0.79,0.78,0.79,0.88,0.88,0.1,race(,256,3
0.12,0.53,0.51,0.2,0.77,0.77,0.77,0.88,0.88,0.11,race(,384,3
0.12,0.53,0.51,0.2,0.78,0.78,0.78,0.88,0.88,0.1,race(,512,3
0.12,0.53,0.51,0.2,0.8,0.8,0.8,0.88,0.88,0.08,race(,640,3
0.64,0.65,0.64,0.64,0.1,0.09,0.13,0.21,0.36,0.27,race(,4937,4
0.13,0.58,0.51,0.21,0.02,0.01,0.02,0.15,0.87,0.88,race(,128,4
0.13,0.58,0.51,0.21,0.02,0.01,0.02,0.15,0.87,0.88,race(,256,4
0.13,0.58,0.51,0.21,0.02,0.01,0.02,0.15,0.87,0.88,race(,384,4
0.13,0.58,0.51,0.21,0.02,0.01,0.02,0.15,0.87,0.88,race(,512,4
0.13,0.58,0.51,0.21,0.02,0.01,0.02,0.15,0.87,0.88,race(,640,4
0.66,0.63,0.63,0.64,0.08,0.03,0.1,0.16,0.34,0.31,race(,4937,5
0.15,0.65,0.53,0.24,0.12,0.15,0.11,-inf,0.85,1.0,race(,128,5
0.15,0.65,0.53,0.24,0.12,0.15,0.11,-inf,0.85,1.0,race(,256,5
0.15,0.65,0.53,0.24,0.12,0.15,0.11,-inf,0.85,1.0,race(,384,5
0.15,0.65,0.53,0.24,0.12,0.15,0.11,-inf,0.85,1.0,race(,512,5
0.15,0.65,0.53,0.24,0.12,0.15,0.11,-inf,0.85,1.0,race(,640,5
0.6,0.63,0.63,0.61,0.21,0.15,0.22,0.32,0.4,0.25,race(,4937,6
0.11,0.54,0.51,0.18,0.1,0.11,0.1,-inf,0.89,1.0,race(,128,6
0.11,0.54,0.51,0.18,0.1,0.11,0.1,-inf,0.89,1.0,race(,256,6
0.11,0.54,0.51,0.18,0.1,0.11,0.1,-inf,0.89,1.0,race(,384,6
0.11,0.54,0.51,0.18,0.1,0.11,0.1,-inf,0.89,1.0,race(,512,6
0.11,0.54,0.51,0.18,0.1,0.11,0.1,-inf,0.89,1.0,race(,640,6
0.6,0.66,0.63,0.63,0.12,0.08,0.13,0.21,0.4,0.31,race(,4937,7
0.23,0.67,0.53,0.34,0.18,0.23,0.18,-inf,0.77,1.0,race(,128,7
0.23,0.67,0.53,0.34,0.18,0.23,0.18,-inf,0.77,1.0,race(,256,7
0.23,0.67,0.53,0.34,0.18,0.23,0.18,-inf,0.77,1.0,race(,384,7
0.23,0.67,0.53,0.34,0.18,0.23,0.18,-inf,0.77,1.0,race(,512,7
0.23,0.67,0.53,0.34,0.18,0.23,0.18,-inf,0.77,1.0,race(,640,7
0.58,0.64,0.6,0.61,0.15,0.13,0.16,0.25,0.42,0.29,race(,4937,8
0.12,0.62,0.49,0.2,0.01,0.03,0.0,0.03,0.88,0.91,race(,128,8
0.12,0.62,0.49,0.2,0.01,0.03,0.0,0.03,0.88,0.91,race(,256,8
0.12,0.62,0.49,0.2,0.01,0.03,0.0,0.03,0.88,0.91,race(,384,8
0.12,0.62,0.49,0.2,0.01,0.03,0.0,0.03,0.88,0.91,race(,512,8
0.12,0.62,0.49,0.2,0.01,0.03,0.0,0.03,0.88,0.91,race(,640,8
0.64,0.61,0.62,0.62,0.11,0.08,0.13,0.2,0.36,0.27,race(,4937,9
0.14,0.56,0.52,0.22,0.12,0.14,0.12,-inf,0.86,1.0,race(,128,9
0.14,0.56,0.52,0.22,0.12,0.14,0.12,-inf,0.86,1.0,race(,256,9
0.14,0.56,0.52,0.22,0.12,0.14,0.12,-inf,0.86,1.0,race(,384,9
0.14,0.56,0.52,0.22,0.12,0.14,0.12,-inf,0.86,1.0,race(,512,9
0.13,0.57,0.52,0.21,0.12,0.13,0.12,-inf,0.87,1.0,race(,640,9
0.63,0.63,0.63,0.63,0.14,0.11,0.15,0.23,0.37,0.26,race(,4937,10
0.11,0.57,0.51,0.18,0.18,0.18,0.18,0.64,0.89,0.71,race(,128,10
0.11,0.57,0.51,0.18,0.18,0.18,0.18,0.64,0.89,0.71,race(,256,10
0.11,0.58,0.51,0.18,0.18,0.18,0.18,0.65,0.89,0.71,race(,384,10
0.11,0.58,0.51,0.18,0.18,0.18,0.18,0.65,0.89,0.71,race(,512,10
0.11,0.58,0.51,0.18,0.18,0.18,0.18,0.64,0.89,0.71,race(,640,10
0.63,0.65,0.62,0.64,0.12,0.11,0.16,0.23,0.37,0.27,sex(,4937,1
0.0,0.0,0.47,0.0,0.34,0.29,0.32,1.0,1.0,0.71,sex(,128,1
0.0,0.0,0.47,0.0,0.34,0.29,0.32,1.0,1.0,0.71,sex(,256,1
0.0,0.0,0.47,0.0,0.34,0.29,0.32,1.0,1.0,0.71,sex(,384,1
