recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.34,0.66,0.83,0.45,0.02,0.04,0.04,0.26,0.66,0.62,SEX(,24000,1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,256,1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,512,1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,768,1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,1024,1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,1280,1
0.37,0.69,0.83,0.48,0.02,0.03,0.03,0.23,0.63,0.6,SEX(,24000,2
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,2
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,2
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,2
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,2
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,2
0.37,0.65,0.84,0.47,0.0,0.01,0.02,0.15,0.63,0.63,SEX(,24000,3
1.0,0.19,0.19,0.32,1.0,1.0,1.0,-inf,0.0,1.0,SEX(,256,3
1.0,0.19,0.19,0.32,1.0,1.0,1.0,-inf,0.0,1.0,SEX(,512,3
1.0,0.19,0.19,0.32,1.0,1.0,1.0,-inf,0.0,1.0,SEX(,768,3
1.0,0.19,0.19,0.32,1.0,1.0,1.0,-inf,0.0,1.0,SEX(,1024,3
1.0,0.19,0.19,0.32,1.0,1.0,1.0,-inf,0.0,1.0,SEX(,1280,3
0.36,0.69,0.83,0.47,0.0,0.0,0.02,0.13,0.64,0.65,SEX(,24000,4
0.49,0.23,0.53,0.31,0.52,0.51,0.53,0.53,0.51,0.0,SEX(,256,4
0.49,0.23,0.53,0.31,0.52,0.51,0.53,0.53,0.51,0.0,SEX(,512,4
0.5,0.23,0.53,0.32,0.52,0.5,0.53,0.53,0.5,0.0,SEX(,768,4
0.5,0.23,0.53,0.32,0.52,0.5,0.53,0.53,0.5,0.0,SEX(,1024,4
0.49,0.23,0.53,0.31,0.52,0.51,0.53,0.53,0.51,0.0,SEX(,1280,4
0.34,0.67,0.83,0.45,0.03,0.04,0.03,0.24,0.66,0.62,SEX(,24000,5
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,5
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,5
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,5
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,5
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,5
0.36,0.66,0.82,0.47,0.02,0.0,0.03,0.21,0.64,0.64,SEX(,24000,6
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,6
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,6
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,6
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,6
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,6
0.34,0.63,0.83,0.44,0.04,0.06,0.04,0.26,0.66,0.6,SEX(,24000,7
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,256,7
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,512,7
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,768,7
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,1024,7
0.0,0.0,0.8,0.0,0.0,0.0,0.0,,1.0,1.0,SEX(,1280,7
0.35,0.68,0.83,0.46,0.03,0.05,0.03,0.22,0.65,0.59,SEX(,24000,8
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,8
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,8
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,8
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,8
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,8
0.36,0.65,0.83,0.46,0.01,0.0,0.02,0.18,0.64,0.64,SEX(,24000,9
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,9
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,9
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,9
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,9
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,9
0.35,0.67,0.83,0.46,0.03,0.04,0.03,0.21,0.65,0.61,SEX(,24000,10
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,256,10
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,512,10
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,768,10
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1024,10
1.0,0.21,0.21,0.35,0.0,0.0,0.0,0.0,0.0,0.0,SEX(,1280,10
