recall+,precision+,accuracy+,F1+,AOD-,EOD-,SPD-,DI-,FA0-,FA1-,biased_col,samples,rep
0.88,0.62,0.58,0.73,0.06,0.09,0.07,0.08,0.12,0.03,sex(,800,1
0.88,0.62,0.58,0.73,0.11,0.12,0.11,0.11,0.12,0.0,sex(,32,1
0.91,0.62,0.6,0.74,0.1,0.09,0.09,0.09,0.09,0.0,sex(,64,1
0.91,0.62,0.6,0.74,0.1,0.09,0.09,0.09,0.09,0.0,sex(,96,1
0.91,0.62,0.6,0.74,0.1,0.09,0.09,0.09,0.09,0.0,sex(,128,1
0.91,0.62,0.6,0.74,0.1,0.09,0.09,0.09,0.09,0.0,sex(,160,1
0.92,0.71,0.69,0.8,0.12,0.04,0.09,0.09,0.08,0.03,sex(,800,2
0.98,0.71,0.71,0.82,0.1,0.03,0.07,0.07,0.02,0.0,sex(,32,2
0.98,0.71,0.71,0.82,0.1,0.03,0.07,0.07,0.02,0.0,sex(,64,2
0.98,0.71,0.71,0.82,0.1,0.03,0.07,0.07,0.02,0.0,sex(,96,2
0.92,0.71,0.69,0.8,0.14,0.07,0.12,0.12,0.08,0.0,sex(,128,2
0.92,0.71,0.69,0.8,0.14,0.07,0.12,0.12,0.08,0.0,sex(,160,2
0.93,0.65,0.64,0.77,0.06,0.02,0.05,0.06,0.07,0.05,sex(,800,3
0.91,0.64,0.63,0.75,0.14,0.09,0.13,0.13,0.09,0.0,sex(,32,3
0.93,0.63,0.63,0.75,0.11,0.07,0.1,0.1,0.07,0.0,sex(,64,3
0.93,0.63,0.63,0.75,0.11,0.07,0.1,0.1,0.07,0.0,sex(,96,3
0.88,0.64,0.63,0.74,0.17,0.12,0.16,0.16,0.12,0.0,sex(,128,3
0.88,0.64,0.63,0.74,0.17,0.12,0.16,0.16,0.12,0.0,sex(,160,3
0.91,0.77,0.75,0.83,0.23,0.06,0.17,0.17,0.09,0.03,sex(,800,4
0.93,0.77,0.77,0.84,0.23,0.06,0.16,0.17,0.07,0.01,sex(,32,4
0.93,0.76,0.75,0.84,0.21,0.07,0.16,0.16,0.07,0.0,sex(,64,4
0.93,0.76,0.75,0.84,0.21,0.07,0.16,0.16,0.07,0.0,sex(,96,4
0.95,0.76,0.77,0.84,0.2,0.05,0.14,0.14,0.05,0.0,sex(,128,4
0.95,0.76,0.77,0.84,0.2,0.05,0.14,0.14,0.05,0.0,sex(,160,4
0.81,0.7,0.65,0.75,0.15,0.12,0.14,0.16,0.19,0.07,sex(,800,5
0.91,0.7,0.68,0.79,0.12,0.04,0.09,0.1,0.09,0.05,sex(,32,5
0.91,0.7,0.68,0.79,0.11,0.02,0.08,0.08,0.09,0.07,sex(,64,5
0.91,0.68,0.66,0.78,0.09,0.03,0.07,0.08,0.09,0.06,sex(,96,5
0.91,0.68,0.66,0.78,0.09,0.03,0.07,0.08,0.09,0.06,sex(,128,5
