0_race( 0.02 0.2 0.02 0.02 0.02 0.0 0.0 0.02 0.02 0.02
0_sex( 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1_race( 0.21 0.09 0.02 0.15 0.11 0.09 0.04 0.09 0.11 0.04
1_sex( 0.04 0.02 0.0 0.02 0.0 0.0 0.0 0.02 0.0 0.0
2_race( 0.13 0.13 0.18 0.18 0.19 0.07 0.15 0.13 0.15 0.04
2_sex( 0.04 0.06 0.02 0.02 0.0 0.0 0.0 0.06 0.04 0.02
3_race( 0.11 0.13 0.15 0.18 0.19 0.12 0.13 0.11 0.06 0.16
3_sex( 0.02 0.02 0.08 0.04 0.04 0.04 0.02 0.04 0.04 0.08
4_race( 0.47 0.44 0.45 0.44 0.48 0.46 0.42 0.46 0.44 0.4
4_sex( 0.28 0.33 0.3 0.27 0.33 0.37 0.25 0.32 0.33 0.33
