0_race( 0.13 0.38 0.31 0.38 0.34 0.31 0.09 0.13 0.3 0.19
0_sex( 0.08 0.17 0.16 0.09 0.13 0.11 0.08 0.14 0.14 0.19
1_race( 0.38 0.32 0.13 0.33 0.42 0.32 0.27 0.28 0.36 0.3
1_sex( 0.17 0.19 0.14 0.09 0.13 0.11 0.12 0.14 0.16 0.18
2_race( 0.38 0.29 0.35 0.39 0.36 0.22 0.27 0.34 0.38 0.29
2_sex( 0.16 0.22 0.16 0.11 0.19 0.16 0.09 0.2 0.18 0.21
3_race( 0.4 0.32 0.31 0.41 0.43 0.29 0.21 0.28 0.24 0.36
3_sex( 0.16 0.21 0.16 0.14 0.16 0.2 0.13 0.16 0.18 0.27
4_race( 0.46 0.48 0.48 0.48 0.48 0.48 0.43 0.47 0.49 0.44
4_sex( 0.28 0.37 0.33 0.3 0.35 0.4 0.29 0.34 0.35 0.36
