0_race( 0.05 0.2 0.11 0.1 0.19 0.16 0.29 0.17 0.18 0.15
0_sex( 0.22 0.16 0.21 0.26 0.15 0.23 0.19 0.37 0.09 0.23
1_race( 0.1 0.05 0.08 0.28 0.11 0.09 0.18 0.24 0.17 0.11
1_sex( 0.14 0.17 0.08 0.24 0.18 0.16 0.25 0.27 0.14 0.15
2_race( 0.22 0.03 0.12 0.22 0.1 0.08 0.18 0.16 0.12 0.15
2_sex( 0.22 0.23 0.18 0.25 0.13 0.14 0.19 0.24 0.14 0.18
3_race( 0.18 0.12 0.08 0.12 0.11 0.11 0.19 0.14 0.16 0.12
3_sex( 0.27 0.2 0.09 0.28 0.17 0.12 0.26 0.23 0.12 0.2
4_race( 0.16 0.1 0.08 0.15 0.12 0.11 0.12 0.13 0.06 0.14
4_sex( 0.21 0.2 0.16 0.22 0.18 0.15 0.2 0.23 0.15 0.19
