128_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
128_race( 0.1 0.14 0.77 0.01 0.15 0.11 0.23 0.03 0.14 0.18
384_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
384_race( 0.1 0.14 0.77 0.01 0.15 0.11 0.23 0.03 0.14 0.18
256_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
256_race( 0.1 0.14 0.78 0.01 0.15 0.11 0.23 0.03 0.14 0.18
512_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
512_race( 0.1 0.14 0.78 0.01 0.15 0.11 0.23 0.03 0.14 0.18
640_sex( 0.29 0.42 0.21 0.41 0.34 0.35 0.37 0.47 0.2 0.33
640_race( 0.1 0.14 0.8 0.01 0.15 0.11 0.23 0.03 0.13 0.18
4937_sex( 0.11 0.09 0.11 0.12 0.1 0.14 0.15 0.13 0.11 0.12
4937_race( 0.1 0.04 0.02 0.09 0.03 0.15 0.08 0.13 0.08 0.11
