512_RF_Age( 0.224 0.219 0.227 0.233 0.212 0.205 0.215 0.215 0.209 0.237
512_LSR_Age( 0.231 0.221 0.232 0.24 0.224 0.223 0.219 0.218 0.204 0.206
512_SVC_Age( 0.226 0.223 0.225 0.236 0.221 0.224 0.22 0.209 0.202 0.207
512_Slack_Age( 0.467 0.448 0.453 0.46 0.469 0.476 0.45 0.461 0.459 0.461
8929_RF_Age( 0.194 0.192 0.198 0.206 0.201 0.189 0.197 0.193 0.185 0.185
8929_Slack_Age( 0.464 0.455 0.445 0.474 0.472 0.479 0.459 0.474 0.472 0.465
8929_SVC_Age( 0.22 0.211 0.226 0.24 0.226 0.222 0.222 0.211 0.211 0.214
8929_LSR_Age( 0.225 0.212 0.226 0.244 0.226 0.221 0.218 0.211 0.213 0.21
896_RF_Age( 0.223 0.209 0.215 0.219 0.201 0.199 0.216 0.222 0.209 0.207
896_LSR_Age( 0.23 0.216 0.224 0.233 0.225 0.222 0.22 0.21 0.208 0.216
896_SVC_Age( 0.224 0.219 0.226 0.23 0.223 0.21 0.216 0.206 0.203 0.214
896_Slack_Age( 0.467 0.449 0.449 0.459 0.467 0.475 0.45 0.459 0.462 0.464
640_RF_Age( 0.212 0.213 0.214 0.215 0.222 0.204 0.227 0.198 0.211 0.214
640_LSR_Age( 0.231 0.218 0.221 0.235 0.213 0.219 0.223 0.201 0.207 0.216
640_SVC_Age( 0.224 0.216 0.222 0.233 0.217 0.22 0.224 0.208 0.203 0.223
640_Slack_Age( 0.466 0.453 0.447 0.458 0.467 0.475 0.447 0.46 0.46 0.462
768_RF_Age( 0.21 0.211 0.227 0.241 0.216 0.213 0.224 0.206 0.197 0.212
768_LSR_Age( 0.223 0.225 0.22 0.241 0.22 0.221 0.221 0.202 0.202 0.207
768_SVC_Age( 0.22 0.222 0.22 0.241 0.222 0.22 0.217 0.203 0.202 0.215
768_Slack_Age( 0.468 0.449 0.448 0.46 0.466 0.474 0.452 0.461 0.464 0.464
1024_RF_Age( 0.208 0.214 0.223 0.209 0.211 0.208 0.209 0.204 0.2 0.202
1024_LSR_Age( 0.225 0.221 0.22 0.241 0.222 0.211 0.222 0.209 0.203 0.22
1024_SVC_Age( 0.221 0.215 0.225 0.238 0.215 0.21 0.217 0.208 0.199 0.21
1024_Slack_Age( 0.466 0.449 0.451 0.461 0.471 0.476 0.451 0.46 0.456 0.463
1152_RF_Age( 0.21 0.216 0.211 0.228 0.207 0.199 0.215 0.202 0.19 0.198
1152_LSR_Age( 0.232 0.22 0.218 0.235 0.218 0.214 0.219 0.202 0.206 0.21
1152_SVC_Age( 0.231 0.219 0.222 0.236 0.219 0.205 0.216 0.21 0.206 0.208
1152_Slack_Age( 0.466 0.449 0.451 0.461 0.468 0.474 0.452 0.459 0.461 0.462
1280_RF_Age( 0.217 0.202 0.207 0.204 0.206 0.197 0.201 0.193 0.21 0.204
1280_LSR_Age( 0.223 0.221 0.227 0.24 0.219 0.217 0.217 0.204 0.207 0.211
1280_SVC_Age( 0.218 0.218 0.228 0.238 0.232 0.219 0.214 0.21 0.206 0.208
1280_Slack_Age( 0.467 0.449 0.449 0.463 0.468 0.475 0.45 0.459 0.46 0.461
