512_RF_race( 0.26 0.17 0.08 0.16 0.17 0.18 0.1 0.15 0.15 0.25
512_RF_sex( 0.18 0.05 0.05 0.1 0.08 0.18 0.14 0.32 0.13 0.07
512_LSR_race( 0.26 0.22 0.14 0.22 0.2 0.2 0.23 0.24 0.16 0.24
512_LSR_sex( 0.24 0.25 0.22 0.28 0.18 0.3 0.27 0.32 0.25 0.2
512_SVC_race( 0.26 0.21 0.14 0.2 0.19 0.2 0.2 0.23 0.14 0.23
512_SVC_sex( 0.2 0.24 0.2 0.26 0.15 0.29 0.3 0.34 0.24 0.17
512_Slack_race( 0.95 0.96 0.96 0.94 0.98 0.96 0.96 0.94 0.94 0.95
512_Slack_sex( 0.16 0.1 0.08 0.08 0.08 0.1 0.07 0.08 0.06 0.06
896_RF_race( 0.19 0.14 0.12 0.09 0.13 0.15 0.08 0.2 0.12 0.18
896_RF_sex( 0.17 0.16 0.03 0.17 0.16 0.11 0.12 0.24 0.22 0.07
896_LSR_race( 0.24 0.22 0.2 0.2 0.18 0.18 0.22 0.21 0.15 0.22
896_LSR_sex( 0.28 0.34 0.25 0.32 0.16 0.28 0.3 0.35 0.26 0.25
896_SVC_race( 0.24 0.2 0.18 0.2 0.16 0.18 0.22 0.2 0.14 0.22
896_SVC_sex( 0.29 0.33 0.2 0.29 0.17 0.28 0.3 0.36 0.25 0.24
896_Slack_race( 0.94 0.94 0.94 0.94 0.94 0.95 0.97 0.96 0.97 0.97
896_Slack_sex( 0.18 0.14 0.07 0.06 0.1 0.1 0.1 0.07 0.08 0.06
640_RF_race( 0.21 0.13 0.13 0.16 0.06 0.23 0.12 0.15 0.05 0.21
640_RF_sex( 0.28 0.15 0.06 0.2 0.11 0.24 0.2 0.23 0.12 0.08
640_LSR_race( 0.22 0.2 0.18 0.21 0.17 0.22 0.24 0.22 0.15 0.24
640_LSR_sex( 0.32 0.26 0.23 0.32 0.18 0.25 0.3 0.35 0.28 0.24
640_SVC_race( 0.18 0.2 0.18 0.2 0.18 0.21 0.22 0.19 0.12 0.22
640_SVC_sex( 0.26 0.25 0.2 0.26 0.2 0.26 0.28 0.36 0.24 0.26
640_Slack_race( 0.97 0.98 0.94 0.96 0.92 0.94 0.98 0.98 0.96 0.96
640_Slack_sex( 0.15 0.12 0.08 0.09 0.04 0.08 0.08 0.06 0.08 0.08
768_RF_race( 0.12 0.14 0.08 0.18 0.19 0.22 0.13 0.15 0.11 0.12
768_RF_sex( 0.2 0.14 0.08 0.27 0.24 0.14 0.12 0.23 0.12 0.11
768_LSR_race( 0.24 0.2 0.15 0.19 0.16 0.2 0.22 0.22 0.16 0.25
