512_RF_race( 0.64 0.65 0.67 0.65 0.66 0.64 0.67 0.62 0.64 0.59
512_RF_sex( 0.65 0.65 0.67 0.65 0.64 0.65 0.68 0.62 0.62 0.64
512_LSR_race( 0.71 0.7 0.71 0.7 0.68 0.69 0.72 0.7 0.69 0.69
512_LSR_sex( 0.71 0.7 0.72 0.71 0.67 0.69 0.69 0.69 0.71 0.68
512_SVC_race( 0.71 0.7 0.72 0.7 0.68 0.69 0.71 0.71 0.7 0.7
512_SVC_sex( 0.72 0.71 0.72 0.71 0.67 0.69 0.7 0.71 0.72 0.7
512_Slack_race( 0.06 0.04 0.04 0.06 0.04 0.02 0.04 0.06 0.04 0.02
512_Slack_sex( 0.45 0.49 0.46 0.47 0.46 0.45 0.48 0.44 0.41 0.44
896_RF_race( 0.61 0.66 0.66 0.67 0.63 0.62 0.66 0.66 0.62 0.65
896_RF_sex( 0.65 0.65 0.65 0.62 0.62 0.62 0.62 0.65 0.63 0.67
896_LSR_race( 0.71 0.71 0.71 0.7 0.68 0.69 0.72 0.7 0.71 0.69
896_LSR_sex( 0.72 0.7 0.72 0.71 0.67 0.69 0.7 0.68 0.7 0.68
896_SVC_race( 0.72 0.71 0.72 0.71 0.69 0.69 0.71 0.72 0.7 0.69
896_SVC_sex( 0.73 0.71 0.73 0.72 0.68 0.69 0.71 0.7 0.7 0.69
896_Slack_race( 0.09 0.08 0.02 0.06 0.04 0.06 0.02 0.04 0.04 0.04
896_Slack_sex( 0.47 0.49 0.46 0.47 0.48 0.45 0.46 0.45 0.44 0.46
640_RF_race( 0.63 0.63 0.68 0.66 0.63 0.6 0.64 0.64 0.66 0.63
640_RF_sex( 0.65 0.61 0.68 0.65 0.65 0.64 0.66 0.65 0.65 0.61
640_LSR_race( 0.71 0.71 0.71 0.7 0.67 0.69 0.71 0.71 0.7 0.69
640_LSR_sex( 0.7 0.71 0.72 0.69 0.67 0.7 0.7 0.7 0.71 0.68
640_SVC_race( 0.71 0.7 0.71 0.71 0.68 0.69 0.71 0.71 0.69 0.7
640_SVC_sex( 0.71 0.71 0.73 0.71 0.68 0.7 0.71 0.7 0.71 0.69
640_Slack_race( 0.02 0.0 0.08 0.04 0.02 0.06 0.02 0.02 0.06 0.04
640_Slack_sex( 0.47 0.48 0.45 0.47 0.45 0.46 0.45 0.47 0.43 0.44
768_RF_race( 0.68 0.66 0.67 0.66 0.63 0.64 0.62 0.64 0.64 0.62
768_RF_sex( 0.63 0.62 0.66 0.64 0.64 0.65 0.67 0.64 0.67 0.61
768_LSR_race( 0.72 0.72 0.72 0.7 0.68 0.69 0.71 0.71 0.71 0.69
768_LSR_sex( 0.72 0.71 0.72 0.71 0.67 0.69 0.71 0.7 0.7 0.69
768_SVC_race( 0.72 0.72 0.72 0.7 0.69 0.69 0.7 0.72 0.71 0.7
768_SVC_sex( 0.72 0.7 0.73 0.71 0.68 0.69 0.71 0.72 0.71 0.69
768_Slack_race( 0.04 0.04 0.07 0.04 0.06 0.04 0.02 0.06 0.02 0.04
768_Slack_sex( 0.44 0.49 0.47 0.46 0.47 0.44 0.46 0.45 0.43 0.45
1024_RF_race( 0.63 0.67 0.67 0.64 0.63 0.59 0.67 0.67 0.63 0.65
1024_RF_sex( 0.63 0.68 0.65 0.62 0.64 0.62 0.66 0.62 0.63 0.64
1024_LSR_race( 0.71 0.71 0.72 0.7 0.69 0.69 0.71 0.7 0.7 0.68
1024_LSR_sex( 0.72 0.7 0.73 0.71 0.67 0.69 0.7 0.7 0.7 0.69
1024_SVC_race( 0.71 0.71 0.72 0.72 0.68 0.68 0.72 0.7 0.7 0.69
1024_SVC_sex( 0.73 0.7 0.73 0.72 0.67 0.69 0.71 0.71 0.7 0.69
1024_Slack_race( 0.08 0.04 0.04 0.04 0.08 0.06 0.02 0.06 0.04 0.02
1024_Slack_sex( 0.45 0.5 0.47 0.47 0.49 0.45 0.47 0.45 0.44 0.45
1152_RF_race( 0.64 0.65 0.68 0.64 0.64 0.6 0.62 0.67 0.64 0.63
1152_RF_sex( 0.62 0.64 0.66 0.65 0.63 0.63 0.66 0.68 0.65 0.62
1152_LSR_race( 0.71 0.72 0.71 0.71 0.69 0.69 0.71 0.7 0.7 0.69
1152_LSR_sex( 0.72 0.72 0.73 0.71 0.68 0.7 0.7 0.69 0.7 0.68
1152_SVC_race( 0.72 0.72 0.73 0.72 0.69 0.68 0.71 0.71 0.7 0.7
1152_SVC_sex( 0.72 0.72 0.74 0.72 0.68 0.69 0.71 0.7 0.7 0.69
1152_Slack_race( 0.08 0.04 0.06 0.04 0.04 0.02 0.04 0.06 0.04 0.02
1152_Slack_sex( 0.45 0.48 0.45 0.45 0.45 0.44 0.48 0.44 0.43 0.44
1280_RF_race( 0.64 0.63 0.65 0.64 0.65 0.63 0.66 0.64 0.65 0.65
1280_RF_sex( 0.62 0.64 0.67 0.62 0.63 0.64 0.65 0.63 0.64 0.65
1280_LSR_race( 0.71 0.7 0.73 0.7 0.67 0.69 0.71 0.7 0.71 0.69
1280_LSR_sex( 0.71 0.7 0.73 0.7 0.67 0.7 0.7 0.69 0.7 0.69
1280_SVC_race( 0.72 0.72 0.72 0.71 0.68 0.69 0.72 0.71 0.7 0.7
1280_SVC_sex( 0.71 0.7 0.73 0.71 0.67 0.69 0.71 0.7 0.7 0.7
1280_Slack_race( 0.06 0.08 0.06 0.04 0.08 0.06 0.04 0.04 0.04 0.06
