512_RF_race( 0.38 0.37 0.3 0.34 0.34 0.35 0.35 0.4 0.33 0.44
512_RF_sex( 0.36 0.29 0.29 0.33 0.3 0.3 0.3 0.38 0.35 0.32
512_LSR_race( 0.26 0.26 0.2 0.27 0.26 0.24 0.26 0.29 0.23 0.27
512_LSR_sex( 0.25 0.26 0.21 0.25 0.26 0.23 0.28 0.3 0.2 0.25
512_SVC_race( 0.24 0.25 0.19 0.26 0.24 0.22 0.25 0.29 0.19 0.25
512_SVC_sex( 0.23 0.24 0.19 0.25 0.24 0.22 0.26 0.28 0.19 0.22
512_Slack_race( 0.97 0.98 0.98 0.97 0.98 0.99 0.98 0.97 0.98 0.99
512_Slack_sex( 0.64 0.59 0.62 0.61 0.62 0.62 0.59 0.65 0.67 0.64
896_RF_race( 0.41 0.3 0.34 0.32 0.36 0.36 0.33 0.36 0.36 0.33
896_RF_sex( 0.38 0.33 0.34 0.38 0.35 0.36 0.37 0.39 0.36 0.29
896_LSR_race( 0.26 0.26 0.23 0.27 0.25 0.24 0.27 0.3 0.22 0.28
896_LSR_sex( 0.23 0.26 0.21 0.26 0.24 0.24 0.27 0.32 0.23 0.26
896_SVC_race( 0.24 0.24 0.2 0.25 0.22 0.22 0.27 0.27 0.21 0.26
896_SVC_sex( 0.21 0.23 0.18 0.23 0.22 0.23 0.26 0.3 0.22 0.24
896_Slack_race( 0.95 0.96 0.99 0.97 0.98 0.97 0.99 0.98 0.98 0.98
896_Slack_sex( 0.62 0.59 0.62 0.61 0.6 0.63 0.62 0.64 0.64 0.62
640_RF_race( 0.36 0.4 0.27 0.35 0.34 0.41 0.38 0.38 0.31 0.37
640_RF_sex( 0.36 0.41 0.27 0.34 0.3 0.34 0.32 0.36 0.34 0.37
640_LSR_race( 0.26 0.24 0.22 0.28 0.26 0.24 0.27 0.29 0.22 0.27
640_LSR_sex( 0.26 0.24 0.2 0.29 0.26 0.21 0.27 0.3 0.2 0.26
640_SVC_race( 0.24 0.23 0.21 0.26 0.24 0.23 0.26 0.27 0.21 0.25
640_SVC_sex( 0.24 0.23 0.17 0.25 0.24 0.22 0.24 0.29 0.19 0.24
640_Slack_race( 0.99 1.0 0.96 0.98 0.99 0.97 0.99 0.99 0.97 0.98
640_Slack_sex( 0.62 0.59 0.64 0.61 0.62 0.62 0.63 0.62 0.65 0.64
768_RF_race( 0.29 0.32 0.3 0.35 0.39 0.35 0.4 0.37 0.32 0.39
768_RF_sex( 0.37 0.37 0.31 0.36 0.33 0.31 0.34 0.38 0.29 0.39
768_LSR_race( 0.24 0.24 0.2 0.27 0.26 0.24 0.27 0.27 0.2 0.28
768_LSR_sex( 0.23 0.25 0.2 0.26 0.26 0.24 0.25 0.29 0.24 0.24
768_SVC_race( 0.24 0.23 0.19 0.26 0.23 0.22 0.27 0.26 0.19 0.24
768_SVC_sex( 0.22 0.25 0.19 0.24 0.23 0.23 0.25 0.26 0.22 0.23
768_Slack_race( 0.98 0.98 0.96 0.98 0.97 0.98 0.99 0.97 0.99 0.98
768_Slack_sex( 0.64 0.59 0.62 0.63 0.6 0.65 0.62 0.64 0.65 0.64
1024_RF_race( 0.37 0.31 0.32 0.37 0.38 0.39 0.34 0.34 0.36 0.32
1024_RF_sex( 0.38 0.27 0.33 0.39 0.32 0.38 0.34 0.41 0.36 0.34
1024_LSR_race( 0.24 0.26 0.21 0.28 0.26 0.24 0.27 0.29 0.23 0.28
1024_LSR_sex( 0.23 0.24 0.19 0.26 0.25 0.24 0.29 0.3 0.25 0.25
1024_SVC_race( 0.23 0.24 0.19 0.25 0.24 0.24 0.25 0.29 0.21 0.26
1024_SVC_sex( 0.2 0.23 0.18 0.25 0.25 0.22 0.26 0.28 0.22 0.24
1024_Slack_race( 0.96 0.98 0.98 0.98 0.96 0.97 0.99 0.97 0.98 0.99
1024_Slack_sex( 0.64 0.58 0.62 0.62 0.59 0.63 0.61 0.64 0.64 0.63
1152_RF_race( 0.38 0.36 0.3 0.39 0.34 0.43 0.39 0.34 0.35 0.37
1152_RF_sex( 0.37 0.35 0.31 0.33 0.34 0.35 0.34 0.32 0.34 0.38
1152_LSR_race( 0.26 0.24 0.23 0.27 0.25 0.24 0.27 0.29 0.22 0.28
1152_LSR_sex( 0.24 0.22 0.21 0.26 0.24 0.22 0.27 0.31 0.23 0.27
1152_SVC_race( 0.23 0.23 0.19 0.24 0.24 0.24 0.26 0.27 0.21 0.25
1152_SVC_sex( 0.23 0.22 0.18 0.24 0.23 0.22 0.26 0.28 0.22 0.26
1152_Slack_race( 0.96 0.98 0.97 0.98 0.98 0.99 0.98 0.97 0.98 0.99
1152_Slack_sex( 0.63 0.6 0.63 0.64 0.62 0.64 0.6 0.65 0.65 0.64
1280_RF_race( 0.38 0.39 0.35 0.38 0.35 0.36 0.34 0.4 0.32 0.37
1280_RF_sex( 0.36 0.34 0.3 0.4 0.35 0.34 0.39 0.38 0.35 0.31
1280_LSR_race( 0.26 0.26 0.21 0.28 0.26 0.24 0.27 0.29 0.22 0.28
