24000_RF_SEX( 0.184 0.182 0.17 0.185 0.182 0.191 0.183 0.177 0.187 0.177
24000_Slack_SEX( 0.44 0.448 0.432 0.44 0.443 0.443 0.438 0.442 0.443 0.449
24000_SVC_SEX( 0.203 0.201 0.186 0.208 0.197 0.205 0.194 0.198 0.197 0.195
24000_LSR_SEX( 0.195 0.19 0.177 0.2 0.189 0.196 0.187 0.188 0.192 0.187
1024_RF_SEX( 0.202 0.19 0.189 0.191 0.197 0.199 0.199 0.194 0.196 0.184
1024_LSR_SEX( 0.195 0.197 0.182 0.201 0.196 0.202 0.193 0.196 0.196 0.193
1024_SVC_SEX( 0.201 0.204 0.185 0.207 0.203 0.21 0.198 0.203 0.2 0.197
1024_Slack_SEX( 0.418 0.429 0.417 0.433 0.428 0.426 0.421 0.429 0.43 0.436
1536_RF_SEX( 0.191 0.189 0.178 0.197 0.193 0.194 0.188 0.194 0.193 0.189
1536_LSR_SEX( 0.198 0.194 0.183 0.205 0.195 0.202 0.191 0.196 0.196 0.192
1536_SVC_SEX( 0.205 0.204 0.19 0.208 0.204 0.207 0.197 0.199 0.2 0.196
1536_Slack_SEX( 0.419 0.43 0.416 0.432 0.428 0.426 0.422 0.426 0.428 0.435
1792_RF_SEX( 0.191 0.19 0.175 0.186 0.188 0.192 0.191 0.187 0.189 0.188
1792_LSR_SEX( 0.199 0.196 0.181 0.201 0.193 0.2 0.194 0.194 0.194 0.19
1792_SVC_SEX( 0.206 0.201 0.183 0.21 0.199 0.204 0.196 0.2 0.202 0.198
1792_Slack_SEX( 0.419 0.43 0.416 0.432 0.428 0.426 0.422 0.427 0.428 0.438
1280_RF_SEX( 0.188 0.191 0.178 0.197 0.19 0.201 0.191 0.188 0.19 0.183
1280_LSR_SEX( 0.199 0.197 0.184 0.203 0.194 0.202 0.192 0.19 0.198 0.194
1280_SVC_SEX( 0.204 0.202 0.188 0.208 0.203 0.205 0.196 0.201 0.201 0.198
1280_Slack_SEX( 0.419 0.43 0.416 0.432 0.429 0.426 0.421 0.428 0.428 0.437
2048_RF_SEX( 0.19 0.182 0.174 0.194 0.192 0.201 0.182 0.181 0.188 0.182
2048_LSR_SEX( 0.199 0.193 0.183 0.2 0.194 0.2 0.192 0.193 0.194 0.192
2048_SVC_SEX( 0.205 0.2 0.183 0.209 0.2 0.206 0.196 0.201 0.2 0.198
2048_Slack_SEX( 0.419 0.43 0.416 0.431 0.429 0.426 0.422 0.428 0.428 0.435
2304_RF_SEX( 0.193 0.188 0.179 0.188 0.189 0.197 0.19 0.186 0.192 0.18
2304_LSR_SEX( 0.195 0.196 0.182 0.204 0.195 0.202 0.194 0.195 0.192 0.189
2304_SVC_SEX( 0.205 0.204 0.186 0.206 0.199 0.205 0.194 0.2 0.2 0.198
2304_Slack_SEX( 0.42 0.429 0.417 0.43 0.428 0.426 0.421 0.428 0.428 0.436
2560_RF_SEX( 0.188 0.188 0.174 0.192 0.184 0.195 0.184 0.187 0.193 0.184
2560_LSR_SEX( 0.198 0.199 0.18 0.201 0.192 0.201 0.192 0.194 0.194 0.192
2560_SVC_SEX( 0.204 0.201 0.185 0.207 0.202 0.204 0.197 0.2 0.199 0.197
2560_Slack_SEX( 0.418 0.43 0.416 0.432 0.427 0.426 0.421 0.427 0.428 0.436
