64_RF_Age( 0.25 0.21 0.36 0.19 0.37 0.11 0.34 0.03 0.22 0.05
64_LSR_Age( 0.14 0.24 0.33 0.16 0.08 0.11 0.08 0.23 0.24 0.06
64_SVC_Age( 0.16 0.17 0.3 0.1 0.21 0.19 0.08 0.21 0.24 0.05
64_Slack_Age( 1.0 0.94 1.0 0.99 0.84 0.93 0.82 0.93 0.95 0.9
96_RF_Age( 0.46 0.01 0.26 0.26 0.14 0.26 0.21 0.32 0.44 0.13
96_LSR_Age( 0.03 0.12 0.42 0.15 0.16 0.12 0.12 0.12 0.3 0.13
96_SVC_Age( 0.03 0.13 0.38 0.1 0.13 0.18 0.03 0.16 0.25 0.08
96_Slack_Age( 0.99 0.99 1.0 0.99 0.99 0.96 1.0 1.0 0.97 1.0
128_RF_Age( 0.04 0.17 0.22 0.28 0.34 0.12 0.12 0.32 0.13 0.24
128_LSR_Age( 0.18 0.05 0.25 0.13 0.18 0.11 0.03 0.19 0.33 0.1
128_SVC_Age( 0.14 0.18 0.22 0.18 0.12 0.11 0.0 0.17 0.27 0.08
128_Slack_Age( 0.96 0.94 1.0 0.93 0.97 1.0 0.93 1.0 0.97 0.97
160_RF_Age( 0.32 0.1 0.33 0.29 0.25 0.23 0.17 0.36 0.28 0.02
160_LSR_Age( 0.2 0.15 0.29 0.19 0.1 0.16 0.01 0.14 0.24 0.13
160_SVC_Age( 0.2 0.33 0.33 0.18 0.14 0.15 0.01 0.14 0.21 0.1
160_Slack_Age( 1.0 1.0 1.0 0.75 0.97 1.0 0.94 0.99 0.99 1.0
614_RF_Age( 0.22 0.25 0.22 0.25 0.22 0.3 0.12 0.38 0.32 0.05
614_Slack_Age( 0.81 0.76 0.8 0.82 0.82 0.82 0.86 0.82 0.82 0.81
614_SVC_Age( 0.26 0.18 0.36 0.22 0.2 0.35 0.17 0.34 0.33 0.16
614_LSR_Age( 0.28 0.21 0.36 0.26 0.2 0.33 0.14 0.31 0.35 0.15
