1024_RF_race( 0.43 0.49 0.47 0.42 0.3 0.4 0.38 0.49 0.46 0.35
1024_RF_sex( 0.18 0.29 0.26 0.23 0.29 0.34 0.29 0.25 0.3 0.23
1024_LSR_race( 0.3 0.33 0.37 0.36 0.29 0.31 0.27 0.33 0.26 0.26
1024_LSR_sex( 0.15 0.17 0.2 0.12 0.18 0.28 0.11 0.14 0.1 0.19
1024_SVC_race( 0.31 0.33 0.34 0.37 0.28 0.35 0.21 0.31 0.32 0.29
1024_SVC_sex( 0.2 0.19 0.23 0.17 0.25 0.29 0.16 0.18 0.2 0.19
1024_Slack_race( 0.02 0.01 0.07 0.06 0.03 0.01 0.0 0.01 0.04 0.04
1024_Slack_sex( 0.88 0.88 0.89 0.84 0.84 0.85 0.85 0.85 0.85 0.83
1536_RF_race( 0.5 0.51 0.44 0.36 0.43 0.39 0.48 0.49 0.49 0.31
1536_RF_sex( 0.21 0.36 0.32 0.36 0.29 0.33 0.21 0.23 0.3 0.31
1536_LSR_race( 0.32 0.32 0.32 0.34 0.31 0.35 0.32 0.34 0.34 0.3
1536_LSR_sex( 0.17 0.21 0.17 0.15 0.21 0.21 0.13 0.17 0.17 0.13
1536_SVC_race( 0.35 0.38 0.31 0.34 0.32 0.33 0.28 0.35 0.38 0.33
1536_SVC_sex( 0.17 0.23 0.18 0.18 0.28 0.24 0.18 0.19 0.23 0.2
1536_Slack_race( 0.04 0.04 0.01 0.03 0.02 0.09 0.0 0.08 0.09 0.09
1536_Slack_sex( 0.89 0.9 0.84 0.85 0.87 0.86 0.87 0.87 0.83 0.82
1792_RF_race( 0.42 0.45 0.42 0.42 0.48 0.37 0.43 0.38 0.41 0.33
1792_RF_sex( 0.2 0.33 0.26 0.27 0.29 0.36 0.24 0.27 0.32 0.3
1792_LSR_race( 0.35 0.33 0.33 0.31 0.35 0.31 0.28 0.32 0.33 0.23
1792_LSR_sex( 0.13 0.17 0.18 0.18 0.2 0.24 0.13 0.19 0.19 0.23
1792_SVC_race( 0.37 0.36 0.35 0.34 0.33 0.32 0.28 0.32 0.32 0.32
1792_SVC_sex( 0.15 0.23 0.22 0.2 0.23 0.26 0.16 0.19 0.25 0.25
1792_Slack_race( 0.04 0.03 0.03 0.05 0.01 0.0 0.01 0.01 0.02 0.09
1792_Slack_sex( 0.86 0.85 0.87 0.83 0.85 0.86 0.86 0.88 0.84 0.84
1280_RF_race( 0.46 0.46 0.45 0.37 0.36 0.47 0.49 0.44 0.45 0.41
1280_RF_sex( 0.29 0.34 0.29 0.26 0.31 0.34 0.3 0.23 0.24 0.29
1280_LSR_race( 0.26 0.29 0.32 0.33 0.33 0.35 0.32 0.29 0.34 0.24
1280_LSR_sex( 0.16 0.21 0.21 0.15 0.14 0.26 0.12 0.18 0.2 0.18
1280_SVC_race( 0.26 0.32 0.34 0.33 0.3 0.34 0.3 0.33 0.29 0.27
1280_SVC_sex( 0.17 0.22 0.24 0.19 0.21 0.27 0.23 0.22 0.24 0.25
1280_Slack_race( 0.0 0.06 0.03 0.05 0.03 0.03 0.04 0.08 0.04 0.03
1280_Slack_sex( 0.84 0.88 0.88 0.84 0.87 0.84 0.85 0.88 0.85 0.82
2048_RF_race( 0.52 0.44 0.42 0.45 0.4 0.5 0.48 0.41 0.43 0.39
2048_RF_sex( 0.22 0.33 0.25 0.35 0.25 0.36 0.3 0.3 0.29 0.34
2048_LSR_race( 0.3 0.35 0.33 0.27 0.3 0.34 0.3 0.32 0.33 0.26
2048_LSR_sex( 0.15 0.17 0.18 0.17 0.19 0.19 0.14 0.22 0.13 0.21
2048_SVC_race( 0.35 0.36 0.35 0.34 0.33 0.32 0.31 0.33 0.35 0.32
2048_SVC_sex( 0.17 0.25 0.18 0.21 0.21 0.27 0.21 0.25 0.22 0.24
2048_Slack_race( 0.01 0.01 0.02 0.02 0.04 0.02 0.01 0.01 0.01 0.03
2048_Slack_sex( 0.88 0.88 0.89 0.83 0.84 0.85 0.85 0.88 0.83 0.84
2304_RF_race( 0.46 0.38 0.4 0.39 0.4 0.43 0.4 0.43 0.41 0.48
2304_RF_sex( 0.24 0.33 0.3 0.27 0.26 0.34 0.22 0.31 0.32 0.3
2304_LSR_race( 0.32 0.35 0.28 0.26 0.34 0.33 0.27 0.29 0.31 0.3
2304_LSR_sex( 0.12 0.17 0.19 0.13 0.22 0.24 0.13 0.22 0.23 0.19
2304_SVC_race( 0.36 0.36 0.35 0.32 0.36 0.34 0.27 0.32 0.33 0.33
2304_SVC_sex( 0.18 0.22 0.23 0.19 0.22 0.26 0.17 0.24 0.25 0.23
2304_Slack_race( 0.02 0.01 0.01 0.02 0.03 0.05 0.02 0.0 0.01 0.02
2304_Slack_sex( 0.87 0.87 0.87 0.84 0.86 0.86 0.85 0.87 0.83 0.84
