64_RF_Age( 0.33 0.26 0.43 0.35 0.39 0.24 0.5 0.27 0.28 0.13
64_LSR_Age( 0.17 0.26 0.39 0.21 0.1 0.16 0.11 0.27 0.25 0.06
64_SVC_Age( 0.21 0.21 0.35 0.15 0.23 0.24 0.11 0.27 0.25 0.1
64_Slack_Age( 1.0 0.94 1.0 1.0 0.87 0.96 0.82 0.93 0.97 0.9
96_RF_Age( 0.62 0.15 0.35 0.32 0.35 0.36 0.29 0.43 0.47 0.29
96_LSR_Age( 0.04 0.18 0.43 0.21 0.16 0.16 0.18 0.13 0.31 0.16
96_SVC_Age( 0.04 0.21 0.39 0.21 0.13 0.24 0.11 0.2 0.28 0.13
96_Slack_Age( 1.0 1.0 1.0 1.0 1.0 0.96 1.0 1.0 0.97 1.0
128_RF_Age( 0.08 0.26 0.35 0.35 0.39 0.24 0.07 0.43 0.16 0.29
128_LSR_Age( 0.21 0.09 0.26 0.18 0.23 0.16 0.07 0.2 0.34 0.1
128_SVC_Age( 0.17 0.21 0.26 0.24 0.19 0.2 0.07 0.2 0.31 0.1
128_Slack_Age( 0.96 0.94 1.0 1.0 0.97 1.0 0.93 1.0 0.97 0.97
160_RF_Age( 0.33 0.24 0.43 0.47 0.32 0.4 0.29 0.4 0.34 0.1
160_LSR_Age( 0.21 0.21 0.3 0.24 0.16 0.2 0.07 0.17 0.28 0.16
160_SVC_Age( 0.21 0.38 0.39 0.24 0.19 0.2 0.07 0.17 0.25 0.16
160_Slack_Age( 1.0 1.0 1.0 0.76 0.97 1.0 0.96 1.0 1.0 1.0
614_RF_Age( 0.29 0.38 0.35 0.38 0.32 0.4 0.18 0.47 0.38 0.16
614_Slack_Age( 0.92 0.82 0.91 0.88 0.97 0.92 0.93 0.9 0.94 0.94
614_SVC_Age( 0.29 0.24 0.39 0.29 0.26 0.4 0.21 0.37 0.38 0.19
614_LSR_Age( 0.29 0.26 0.39 0.32 0.26 0.36 0.18 0.33 0.38 0.16
