237_RF_Age( 0.86 0.8 0.85 0.85 0.84 0.84 0.73 0.77 0.74 0.76
237_Slack_Age( 0.61 0.57 0.61 0.67 0.39 0.53 0.61 0.67 0.55 0.52
237_SVC_Age( 0.86 0.74 0.82 0.88 0.9 0.87 0.79 0.8 0.86 0.83
237_LSR_Age( 0.83 0.77 0.82 0.88 0.81 0.84 0.79 0.8 0.83 0.83
145_RF_Age( 0.86 0.71 0.85 0.79 0.71 0.84 0.7 0.7 0.76 0.72
145_LSR_Age( 0.78 0.66 0.82 0.82 0.77 0.82 0.73 0.77 0.86 0.76
145_SVC_Age( 0.78 0.66 0.79 0.82 0.77 0.82 0.76 0.77 0.81 0.76
145_Slack_Age( 0.61 0.54 0.7 0.64 0.45 0.53 0.64 0.67 0.6 0.52
116_RF_Age( 0.81 0.74 0.85 0.91 0.74 0.87 0.79 0.77 0.81 0.72
116_LSR_Age( 0.83 0.69 0.85 0.85 0.77 0.82 0.7 0.77 0.81 0.79
116_SVC_Age( 0.81 0.69 0.79 0.88 0.84 0.82 0.73 0.77 0.81 0.76
116_Slack_Age( 0.61 0.54 0.7 0.64 0.45 0.58 0.61 0.67 0.57 0.52
87_RF_Age( 0.81 0.77 0.79 0.82 0.77 0.87 0.79 0.8 0.76 0.72
87_LSR_Age( 0.75 0.69 0.85 0.82 0.77 0.82 0.76 0.83 0.81 0.83
87_SVC_Age( 0.69 0.74 0.82 0.82 0.87 0.82 0.76 0.83 0.81 0.83
87_Slack_Age( 0.61 0.54 0.67 0.64 0.45 0.53 0.61 0.7 0.64 0.52
58_RF_Age( 0.81 0.66 0.82 0.82 0.81 0.76 0.73 0.77 0.86 0.76
58_LSR_Age( 0.75 0.71 0.76 0.79 0.77 0.71 0.76 0.8 0.71 0.83
58_SVC_Age( 0.78 0.66 0.73 0.85 0.74 0.68 0.73 0.8 0.74 0.79
58_Slack_Age( 0.61 0.54 0.67 0.64 0.52 0.55 0.64 0.67 0.57 0.52
