64_RF_sex( 0.04 0.0 0.02 0.0 0.04 0.08 0.02 0.0 0.02 0.0
64_LSR_sex( 0.02 0.02 0.06 0.03 0.07 0.04 0.03 0.04 0.02 0.01
64_SVC_sex( 0.06 0.03 0.02 0.02 0.03 0.04 0.04 0.02 0.02 0.07
64_Slack_sex( 0.78 0.9 0.86 0.97 0.93 0.84 0.8 0.7 0.74 0.8
96_RF_sex( 0.06 0.01 0.02 0.03 0.04 0.04 0.05 0.04 0.03 0.02
96_LSR_sex( 0.03 0.04 0.02 0.01 0.08 0.01 0.0 0.08 0.04 0.05
96_SVC_sex( 0.0 0.05 0.09 0.02 0.04 0.02 0.04 0.06 0.09 0.02
96_Slack_sex( 0.72 0.96 0.99 0.93 0.94 0.92 0.86 0.96 0.81 0.86
128_RF_sex( 0.02 0.0 0.02 0.04 0.05 0.04 0.02 0.08 0.06 0.02
128_LSR_sex( 0.01 0.04 0.02 0.06 0.04 0.06 0.0 0.04 0.06 0.06
128_SVC_sex( 0.03 0.02 0.0 0.07 0.06 0.03 0.03 0.07 0.08 0.04
128_Slack_sex( 0.98 0.98 0.94 0.98 0.94 0.96 0.88 0.97 0.92 0.92
835_RF_sex( 0.02 0.01 0.02 0.05 0.05 0.02 0.0 0.06 0.06 0.04
835_Slack_sex( 0.78 0.83 0.8 0.82 0.82 0.8 0.8 0.82 0.8 0.84
835_SVC_sex( 0.03 0.1 0.04 0.04 0.0 0.02 0.02 0.05 0.1 0.04
835_LSR_sex( 0.01 0.08 0.02 0.01 0.02 0.01 0.02 0.08 0.1 0.04
160_RF_sex( 0.01 0.01 0.04 0.01 0.04 0.03 0.02 0.02 0.06 0.07
160_LSR_sex( 0.06 0.0 0.02 0.05 0.04 0.0 0.05 0.06 0.08 0.05
160_SVC_sex( 0.04 0.03 0.04 0.0 0.03 0.02 0.04 0.03 0.06 0.06
160_Slack_sex( 0.94 0.94 0.78 0.94 0.97 0.91 0.96 0.98 0.86 0.94
