1024_LSR_race( 0.53 0.55 0.48 0.41 0.67 0.53 0.6 0.54 0.59 0.62
1024_LSR_sex( 0.87 0.88 0.85 0.9 0.87 0.81 0.92 0.89 0.92 0.88
1536_LSR_race( 0.48 0.55 0.59 0.51 0.65 0.45 0.48 0.52 0.58 0.49
1536_LSR_sex( 0.88 0.84 0.9 0.9 0.87 0.86 0.9 0.89 0.88 0.92
1792_LSR_race( 0.44 0.58 0.57 0.51 0.59 0.5 0.58 0.51 0.58 0.65
1792_LSR_sex( 0.9 0.89 0.9 0.87 0.89 0.85 0.91 0.88 0.87 0.84
1280_LSR_race( 0.64 0.61 0.61 0.45 0.58 0.43 0.5 0.54 0.56 0.68
1280_LSR_sex( 0.88 0.85 0.86 0.91 0.91 0.85 0.91 0.87 0.85 0.87
2048_LSR_race( 0.54 0.5 0.54 0.6 0.66 0.5 0.52 0.57 0.57 0.64
2048_LSR_sex( 0.89 0.87 0.89 0.88 0.88 0.88 0.9 0.84 0.9 0.85
2304_LSR_race( 0.52 0.51 0.66 0.59 0.62 0.48 0.59 0.59 0.61 0.57
2304_LSR_sex( 0.92 0.87 0.87 0.9 0.86 0.85 0.91 0.85 0.86 0.84
2560_LSR_race( 0.52 0.46 0.63 0.56 0.62 0.48 0.57 0.58 0.54 0.63
2560_LSR_sex( 0.88 0.87 0.89 0.88 0.88 0.86 0.88 0.86 0.86 0.86
36177_LSR_race( 0.54 0.58 0.62 0.51 0.59 0.48 0.59 0.51 0.58 0.61
36177_LSR_sex( 0.87 0.84 0.87 0.87 0.87 0.83 0.88 0.83 0.82 0.84
