1024_LSR_race( 0.6 0.61 0.6 0.59 0.55 0.61 0.62 0.59 0.61 0.59
1024_LSR_sex( 0.59 0.58 0.56 0.6 0.56 0.58 0.59 0.56 0.56 0.54
1536_LSR_race( 0.61 0.61 0.55 0.59 0.55 0.6 0.61 0.58 0.58 0.59
1536_LSR_sex( 0.55 0.54 0.55 0.56 0.52 0.56 0.56 0.55 0.55 0.56
1792_LSR_race( 0.59 0.59 0.56 0.59 0.54 0.58 0.61 0.6 0.58 0.6
1792_LSR_sex( 0.56 0.54 0.52 0.57 0.49 0.56 0.57 0.56 0.53 0.54
1280_LSR_race( 0.6 0.59 0.57 0.59 0.55 0.58 0.61 0.62 0.55 0.57
1280_LSR_sex( 0.55 0.57 0.53 0.54 0.51 0.56 0.57 0.57 0.54 0.56
2048_LSR_race( 0.59 0.6 0.58 0.59 0.54 0.57 0.59 0.59 0.58 0.55
2048_LSR_sex( 0.56 0.56 0.56 0.54 0.52 0.57 0.56 0.55 0.54 0.54
2304_LSR_race( 0.6 0.61 0.58 0.6 0.55 0.58 0.61 0.59 0.56 0.57
2304_LSR_sex( 0.55 0.55 0.53 0.56 0.52 0.56 0.56 0.55 0.53 0.56
2560_LSR_race( 0.58 0.59 0.56 0.6 0.56 0.59 0.6 0.59 0.57 0.57
2560_LSR_sex( 0.56 0.55 0.54 0.56 0.52 0.55 0.56 0.57 0.53 0.55
36177_LSR_race( 0.57 0.56 0.54 0.57 0.53 0.56 0.58 0.58 0.55 0.56
36177_LSR_sex( 0.53 0.53 0.52 0.53 0.49 0.54 0.55 0.55 0.52 0.53
