1024_LSR_race( 0.3 0.33 0.37 0.36 0.29 0.31 0.27 0.33 0.26 0.26
1024_LSR_sex( 0.15 0.17 0.2 0.12 0.18 0.28 0.11 0.14 0.1 0.19
1536_LSR_race( 0.32 0.32 0.32 0.34 0.31 0.35 0.32 0.34 0.34 0.3
1536_LSR_sex( 0.17 0.21 0.17 0.15 0.21 0.21 0.13 0.17 0.17 0.13
1792_LSR_race( 0.35 0.33 0.33 0.31 0.35 0.31 0.28 0.32 0.33 0.23
1792_LSR_sex( 0.13 0.17 0.18 0.18 0.2 0.24 0.13 0.19 0.19 0.23
1280_LSR_race( 0.26 0.29 0.32 0.33 0.33 0.35 0.32 0.29 0.34 0.24
1280_LSR_sex( 0.16 0.21 0.21 0.15 0.14 0.26 0.12 0.18 0.2 0.18
2048_LSR_race( 0.3 0.35 0.33 0.27 0.3 0.34 0.3 0.32 0.33 0.26
2048_LSR_sex( 0.15 0.17 0.18 0.17 0.19 0.19 0.14 0.22 0.13 0.21
2304_LSR_race( 0.32 0.35 0.28 0.26 0.34 0.33 0.27 0.29 0.31 0.3
2304_LSR_sex( 0.12 0.17 0.19 0.13 0.22 0.24 0.13 0.22 0.23 0.19
2560_LSR_race( 0.33 0.38 0.31 0.3 0.3 0.31 0.29 0.29 0.31 0.27
2560_LSR_sex( 0.16 0.18 0.17 0.16 0.18 0.22 0.16 0.18 0.21 0.21
36177_LSR_race( 0.34 0.32 0.32 0.32 0.35 0.34 0.29 0.34 0.33 0.28
36177_LSR_sex( 0.17 0.21 0.19 0.17 0.21 0.25 0.15 0.21 0.21 0.21
