512_RF_race( 0.37 0.29 0.18 0.25 0.28 0.29 0.17 0.24 0.23 0.37
512_RF_sex( 0.3 0.13 0.12 0.21 0.05 0.26 0.21 0.39 0.23 0.16
896_RF_race( 0.31 0.22 0.22 0.17 0.23 0.24 0.15 0.29 0.21 0.27
896_RF_sex( 0.31 0.25 0.01 0.29 0.28 0.22 0.21 0.35 0.31 0.16
640_RF_race( 0.31 0.26 0.21 0.27 0.12 0.35 0.21 0.25 0.12 0.31
640_RF_sex( 0.39 0.3 0.14 0.31 0.22 0.33 0.28 0.32 0.23 0.21
768_RF_race( 0.2 0.23 0.15 0.29 0.32 0.33 0.22 0.24 0.18 0.24
768_RF_sex( 0.32 0.24 0.15 0.36 0.32 0.22 0.21 0.33 0.21 0.23
1024_RF_race( 0.32 0.24 0.21 0.29 0.28 0.25 0.28 0.29 0.18 0.19
1024_RF_sex( 0.34 0.25 0.07 0.29 0.07 0.34 0.24 0.38 0.24 0.21
1152_RF_race( 0.33 0.3 0.18 0.28 0.21 0.28 0.16 0.22 0.15 0.24
1152_RF_sex( 0.29 0.27 0.21 0.3 0.21 0.2 0.32 0.29 0.16 0.24
1280_RF_race( 0.35 0.32 0.2 0.29 0.22 0.33 0.3 0.3 0.25 0.31
1280_RF_sex( 0.29 0.23 0.09 0.36 0.21 0.28 0.4 0.29 0.25 0.15
4937_RF_race( 0.25 0.23 0.12 0.21 0.16 0.28 0.18 0.24 0.12 0.21
4937_RF_sex( 0.32 0.21 0.16 0.28 0.21 0.24 0.31 0.33 0.21 0.15
