512_RF_race( 0.36 0.351 0.343 0.362 0.343 0.364 0.357 0.38 0.38 0.386
512_RF_sex( 0.354 0.381 0.36 0.353 0.385 0.384 0.341 0.381 0.378 0.375
896_RF_race( 0.372 0.357 0.354 0.36 0.368 0.379 0.353 0.36 0.364 0.354
896_RF_sex( 0.346 0.359 0.364 0.372 0.372 0.373 0.391 0.356 0.368 0.355
640_RF_race( 0.362 0.358 0.349 0.347 0.387 0.374 0.369 0.369 0.357 0.38
640_RF_sex( 0.343 0.371 0.343 0.345 0.357 0.365 0.37 0.363 0.343 0.377
768_RF_race( 0.339 0.358 0.359 0.34 0.35 0.354 0.386 0.36 0.381 0.364
768_RF_sex( 0.364 0.378 0.365 0.362 0.371 0.37 0.348 0.36 0.343 0.383
1024_RF_race( 0.368 0.357 0.342 0.368 0.349 0.402 0.356 0.36 0.368 0.372
1024_RF_sex( 0.36 0.341 0.361 0.37 0.373 0.379 0.361 0.377 0.357 0.361
1152_RF_race( 0.358 0.361 0.343 0.351 0.37 0.382 0.393 0.361 0.384 0.381
1152_RF_sex( 0.378 0.368 0.353 0.354 0.377 0.377 0.351 0.342 0.349 0.377
1280_RF_race( 0.352 0.372 0.358 0.362 0.358 0.375 0.356 0.36 0.365 0.351
1280_RF_sex( 0.394 0.358 0.35 0.36 0.36 0.36 0.35 0.375 0.359 0.358
4937_RF_race( 0.362 0.364 0.358 0.37 0.379 0.374 0.378 0.39 0.363 0.385
4937_RF_sex( 0.369 0.386 0.35 0.352 0.379 0.373 0.364 0.377 0.361 0.381
