1024_SVC_race( 0.31 0.33 0.34 0.37 0.28 0.35 0.21 0.31 0.32 0.29
1024_SVC_sex( 0.2 0.19 0.23 0.17 0.25 0.29 0.16 0.18 0.2 0.19
1536_SVC_race( 0.35 0.38 0.31 0.34 0.32 0.33 0.28 0.35 0.38 0.33
1536_SVC_sex( 0.17 0.23 0.18 0.18 0.28 0.24 0.18 0.19 0.23 0.2
1792_SVC_race( 0.37 0.36 0.35 0.34 0.33 0.32 0.28 0.32 0.32 0.32
1792_SVC_sex( 0.15 0.23 0.22 0.2 0.23 0.26 0.16 0.19 0.25 0.25
1280_SVC_race( 0.26 0.32 0.34 0.33 0.3 0.34 0.3 0.33 0.29 0.27
1280_SVC_sex( 0.17 0.22 0.24 0.19 0.21 0.27 0.23 0.22 0.24 0.25
2048_SVC_race( 0.35 0.36 0.35 0.34 0.33 0.32 0.31 0.33 0.35 0.32
2048_SVC_sex( 0.17 0.25 0.18 0.21 0.21 0.27 0.21 0.25 0.22 0.24
2304_SVC_race( 0.36 0.36 0.35 0.32 0.36 0.34 0.27 0.32 0.33 0.33
2304_SVC_sex( 0.18 0.22 0.23 0.19 0.22 0.26 0.17 0.24 0.25 0.23
2560_SVC_race( 0.33 0.32 0.3 0.32 0.33 0.35 0.28 0.31 0.36 0.31
2560_SVC_sex( 0.19 0.23 0.21 0.2 0.22 0.25 0.2 0.19 0.23 0.22
36177_SVC_race( 0.33 0.35 0.34 0.35 0.34 0.36 0.29 0.34 0.36 0.31
36177_SVC_sex( 0.18 0.25 0.22 0.19 0.23 0.27 0.18 0.23 0.24 0.24
