512_SVC_race( 0.27 0.24 0.16 0.23 0.21 0.22 0.21 0.24 0.16 0.24
512_SVC_sex( 0.25 0.26 0.22 0.29 0.19 0.3 0.29 0.34 0.25 0.21
896_SVC_race( 0.27 0.22 0.21 0.22 0.19 0.2 0.23 0.2 0.16 0.24
896_SVC_sex( 0.31 0.35 0.22 0.31 0.21 0.29 0.3 0.36 0.27 0.27
640_SVC_race( 0.21 0.22 0.21 0.23 0.19 0.23 0.23 0.2 0.15 0.24
640_SVC_sex( 0.3 0.28 0.23 0.29 0.25 0.28 0.28 0.37 0.26 0.28
768_SVC_race( 0.25 0.21 0.16 0.24 0.17 0.2 0.21 0.23 0.17 0.25
768_SVC_sex( 0.27 0.28 0.25 0.35 0.24 0.29 0.29 0.31 0.28 0.24
1024_SVC_race( 0.23 0.24 0.2 0.24 0.19 0.2 0.23 0.21 0.16 0.23
1024_SVC_sex( 0.27 0.25 0.25 0.33 0.25 0.24 0.32 0.34 0.3 0.25
1152_SVC_race( 0.23 0.22 0.19 0.23 0.19 0.2 0.22 0.21 0.17 0.25
1152_SVC_sex( 0.29 0.28 0.25 0.29 0.24 0.27 0.33 0.36 0.29 0.31
1280_SVC_race( 0.23 0.22 0.19 0.25 0.18 0.22 0.22 0.22 0.14 0.23
1280_SVC_sex( 0.24 0.29 0.24 0.33 0.22 0.23 0.29 0.32 0.27 0.22
4937_SVC_race( 0.24 0.21 0.19 0.22 0.18 0.21 0.21 0.22 0.14 0.23
4937_SVC_sex( 0.28 0.32 0.25 0.32 0.24 0.24 0.33 0.34 0.29 0.25
