512_Slack_race( 0.93 0.94 0.96 0.93 0.97 0.97 0.95 0.95 0.92 0.95
512_Slack_sex( 0.09 0.03 0.09 0.02 0.04 0.1 0.01 0.05 0.01 0.04
896_Slack_race( 0.92 0.93 0.94 0.93 0.93 0.94 0.96 0.95 0.96 0.98
896_Slack_sex( 0.12 0.05 0.07 0.0 0.06 0.08 0.03 0.04 0.04 0.03
640_Slack_race( 0.97 0.97 0.95 0.95 0.94 0.94 0.98 0.99 0.96 0.96
640_Slack_sex( 0.1 0.05 0.07 0.02 0.01 0.07 0.0 0.02 0.06 0.06
768_Slack_race( 0.95 0.94 0.96 0.96 0.94 0.96 0.97 0.95 0.96 0.94
768_Slack_sex( 0.1 0.01 0.08 0.05 0.02 0.08 0.02 0.09 0.08 0.05
1024_Slack_race( 0.94 0.95 0.94 0.97 0.91 0.93 0.97 0.95 0.97 0.97
1024_Slack_sex( 0.1 0.0 0.05 0.01 0.03 0.07 0.01 0.07 0.04 0.04
1152_Slack_race( 0.93 0.95 0.94 0.95 0.96 0.98 0.93 0.96 0.95 0.96
1152_Slack_sex( 0.1 0.05 0.12 0.05 0.03 0.09 0.01 0.05 0.08 0.07
1280_Slack_race( 0.96 0.93 0.96 0.96 0.92 0.95 0.96 0.97 0.94 0.97
1280_Slack_sex( 0.09 0.03 0.06 0.06 0.06 0.07 0.04 0.08 0.07 0.05
4937_Slack_race( 0.76 0.8 0.78 0.83 0.77 0.8 0.8 0.81 0.8 0.8
4937_Slack_sex( 0.06 0.06 0.01 0.03 0.04 0.08 0.03 0.05 0.02 0.01
