512_Slack_race( 0.475 0.459 0.467 0.465 0.463 0.462 0.494 0.483 0.48 0.478
512_Slack_sex( 0.473 0.453 0.459 0.463 0.465 0.466 0.484 0.487 0.484 0.478
896_Slack_race( 0.463 0.453 0.47 0.462 0.472 0.457 0.498 0.495 0.47 0.476
896_Slack_sex( 0.457 0.459 0.46 0.47 0.453 0.459 0.496 0.483 0.475 0.468
640_Slack_race( 0.474 0.465 0.45 0.477 0.468 0.463 0.487 0.485 0.462 0.474
640_Slack_sex( 0.461 0.466 0.465 0.465 0.481 0.464 0.496 0.48 0.471 0.474
768_Slack_race( 0.466 0.46 0.454 0.464 0.466 0.459 0.486 0.489 0.472 0.477
768_Slack_sex( 0.478 0.463 0.454 0.467 0.462 0.466 0.487 0.48 0.466 0.47
1024_Slack_race( 0.463 0.462 0.467 0.466 0.461 0.463 0.492 0.481 0.469 0.474
1024_Slack_sex( 0.47 0.453 0.46 0.469 0.457 0.462 0.483 0.484 0.47 0.471
1152_Slack_race( 0.47 0.46 0.46 0.466 0.47 0.462 0.493 0.482 0.466 0.476
1152_Slack_sex( 0.474 0.46 0.461 0.475 0.472 0.467 0.488 0.497 0.47 0.474
1280_Slack_race( 0.465 0.457 0.462 0.466 0.463 0.461 0.484 0.482 0.473 0.466
1280_Slack_sex( 0.469 0.454 0.457 0.476 0.467 0.464 0.489 0.492 0.475 0.47
4937_Slack_race( 0.474 0.462 0.477 0.488 0.479 0.48 0.5 0.498 0.472 0.481
4937_Slack_sex( 0.48 0.475 0.47 0.47 0.463 0.467 0.504 0.491 0.47 0.463
