1024_SVC_race( 0.07 0.08 0.07 0.04 0.11 0.04 0.06 0.07 0.08 0.11
1024_SVC_sex( 0.16 0.12 0.15 0.13 0.09 0.06 0.12 0.08 0.1 0.14
1024_LSR_race( 0.13 0.11 0.08 0.06 0.16 0.03 0.08 0.12 0.08 0.14
1024_LSR_sex( 0.18 0.16 0.16 0.17 0.15 0.12 0.17 0.08 0.15 0.18
1024_RF_race( 0.12 0.08 0.07 0.15 0.12 0.08 0.14 0.06 0.13 0.08
1024_RF_sex( 0.2 0.09 0.21 0.18 0.11 0.11 0.15 0.12 0.19 0.16
1536_SVC_race( 0.06 0.03 0.09 0.06 0.06 0.04 0.06 0.08 0.09 0.11
1536_SVC_sex( 0.15 0.09 0.12 0.11 0.1 0.1 0.12 0.1 0.11 0.13
1536_LSR_race( 0.06 0.04 0.12 0.06 0.08 0.09 0.06 0.11 0.11 0.16
1536_LSR_sex( 0.18 0.14 0.17 0.15 0.12 0.1 0.15 0.12 0.12 0.12
1536_RF_race( 0.04 0.11 0.13 0.11 0.09 0.08 0.11 0.04 0.13 0.1
1536_RF_sex( 0.24 0.14 0.15 0.15 0.12 0.11 0.16 0.17 0.17 0.14
1792_SVC_race( 0.06 0.04 0.1 0.06 0.08 0.06 0.06 0.04 0.08 0.12
1792_SVC_sex( 0.16 0.1 0.15 0.14 0.12 0.1 0.11 0.11 0.11 0.12
1792_LSR_race( 0.08 0.09 0.1 0.04 0.1 0.08 0.1 0.06 0.11 0.14
1792_LSR_sex( 0.16 0.12 0.15 0.16 0.1 0.14 0.15 0.16 0.15 0.11
1792_RF_race( 0.09 0.1 0.12 0.11 0.1 0.06 0.1 0.04 0.08 0.12
1792_RF_sex( 0.2 0.15 0.14 0.13 0.16 0.08 0.16 0.12 0.15 0.14
1280_SVC_race( 0.1 0.07 0.06 0.11 0.09 0.11 0.11 0.06 0.08 0.06
1280_SVC_sex( 0.15 0.12 0.14 0.14 0.14 0.08 0.12 0.11 0.14 0.12
1280_LSR_race( 0.11 0.08 0.08 0.13 0.14 0.14 0.12 0.06 0.12 0.08
1280_LSR_sex( 0.19 0.16 0.16 0.17 0.12 0.12 0.12 0.13 0.15 0.14
1280_RF_race( 0.08 0.12 0.05 0.15 0.08 0.12 0.11 0.08 0.06 0.14
1280_RF_sex( 0.18 0.14 0.18 0.15 0.19 0.11 0.19 0.17 0.19 0.14
2048_SVC_race( 0.08 0.05 0.14 0.04 0.12 0.05 0.07 0.06 0.06 0.08
2048_SVC_sex( 0.15 0.08 0.12 0.11 0.14 0.08 0.11 0.09 0.12 0.13
2048_LSR_race( 0.11 0.08 0.15 0.08 0.12 0.06 0.1 0.11 0.1 0.08
2048_LSR_sex( 0.18 0.12 0.16 0.1 0.15 0.11 0.14 0.12 0.12 0.12
2048_RF_race( 0.14 0.05 0.11 0.08 0.12 0.1 0.16 0.1 0.13 0.11
2048_RF_sex( 0.18 0.17 0.17 0.12 0.15 0.12 0.16 0.13 0.13 0.1
2304_SVC_race( 0.08 0.06 0.11 0.08 0.09 0.06 0.08 0.08 0.04 0.08
2304_SVC_sex( 0.14 0.08 0.14 0.1 0.11 0.07 0.12 0.09 0.1 0.12
2304_LSR_race( 0.06 0.1 0.09 0.11 0.06 0.07 0.08 0.08 0.08 0.09
2304_LSR_sex( 0.14 0.12 0.17 0.13 0.14 0.1 0.12 0.11 0.15 0.14
2304_RF_race( 0.04 0.08 0.11 0.1 0.08 0.1 0.06 0.1 0.12 0.16
2304_RF_sex( 0.16 0.12 0.19 0.14 0.16 0.12 0.15 0.15 0.14 0.14
2560_SVC_race( 0.06 0.06 0.08 0.04 0.09 0.06 0.1 0.06 0.06 0.06
2560_SVC_sex( 0.1 0.1 0.12 0.13 0.12 0.1 0.11 0.08 0.11 0.11
2560_LSR_race( 0.1 0.06 0.06 0.08 0.07 0.08 0.08 0.08 0.08 0.07
2560_LSR_sex( 0.12 0.14 0.15 0.13 0.14 0.13 0.14 0.08 0.15 0.13
2560_RF_race( 0.08 0.08 0.13 0.12 0.1 0.08 0.1 0.11 0.14 0.12
2560_RF_sex( 0.18 0.18 0.15 0.16 0.16 0.14 0.18 0.16 0.16 0.13
36177_RF_race( 0.1 0.12 0.14 0.14 0.11 0.12 0.16 0.11 0.12 0.15
36177_RF_sex( 0.18 0.18 0.16 0.19 0.18 0.14 0.18 0.15 0.16 0.18
36177_LSR_race( 0.0 0.02 0.03 0.0 0.03 0.02 0.02 0.0 0.03 0.05
36177_LSR_sex( 0.02 0.02 0.02 0.01 0.0 0.02 0.0 0.0 0.01 0.0
36177_SVC_race( 0.0 0.01 0.03 0.0 0.03 0.01 0.0 0.0 0.03 0.05
36177_SVC_sex( 0.02 0.02 0.02 0.01 0.01 0.0 0.0 0.0 0.02 0.0
