1024_SVC_race( 0.11 0.12 0.1 0.06 0.18 0.06 0.08 0.11 0.13 0.19
1024_SVC_sex( 0.26 0.19 0.24 0.2 0.14 0.08 0.18 0.11 0.16 0.21
1024_LSR_race( 0.22 0.17 0.13 0.09 0.25 0.04 0.11 0.18 0.13 0.24
1024_LSR_sex( 0.28 0.26 0.26 0.28 0.23 0.17 0.27 0.12 0.24 0.29
1024_RF_race( 0.15 0.1 0.08 0.22 0.18 0.09 0.19 0.08 0.17 0.1
1024_RF_sex( 0.3 0.13 0.3 0.27 0.12 0.11 0.21 0.15 0.28 0.22
1536_SVC_race( 0.08 0.03 0.13 0.09 0.09 0.06 0.08 0.12 0.14 0.17
1536_SVC_sex( 0.23 0.12 0.18 0.17 0.15 0.12 0.19 0.15 0.17 0.19
1536_LSR_race( 0.07 0.04 0.19 0.09 0.13 0.15 0.09 0.17 0.17 0.27
1536_LSR_sex( 0.28 0.2 0.26 0.23 0.18 0.13 0.23 0.19 0.17 0.18
1536_RF_race( 0.03 0.14 0.18 0.16 0.12 0.11 0.14 0.05 0.17 0.15
1536_RF_sex( 0.35 0.18 0.19 0.21 0.14 0.13 0.23 0.23 0.24 0.2
1792_SVC_race( 0.08 0.06 0.15 0.1 0.14 0.09 0.1 0.05 0.12 0.21
1792_SVC_sex( 0.25 0.13 0.23 0.22 0.17 0.12 0.16 0.17 0.16 0.19
1792_LSR_race( 0.11 0.14 0.14 0.06 0.16 0.12 0.15 0.1 0.18 0.25
1792_LSR_sex( 0.25 0.18 0.22 0.26 0.14 0.21 0.22 0.26 0.23 0.16
1792_RF_race( 0.11 0.13 0.16 0.14 0.13 0.06 0.11 0.06 0.11 0.17
1792_RF_sex( 0.28 0.2 0.19 0.19 0.19 0.09 0.22 0.15 0.21 0.19
1280_SVC_race( 0.15 0.1 0.09 0.18 0.14 0.18 0.17 0.09 0.13 0.1
1280_SVC_sex( 0.23 0.17 0.21 0.21 0.2 0.1 0.19 0.16 0.22 0.18
1280_LSR_race( 0.18 0.13 0.13 0.21 0.21 0.22 0.2 0.1 0.18 0.13
1280_LSR_sex( 0.3 0.26 0.25 0.27 0.17 0.16 0.2 0.2 0.23 0.21
1280_RF_race( 0.11 0.15 0.05 0.21 0.1 0.18 0.13 0.1 0.06 0.19
1280_RF_sex( 0.26 0.17 0.25 0.2 0.25 0.13 0.27 0.24 0.27 0.2
2048_SVC_race( 0.13 0.06 0.23 0.05 0.19 0.07 0.1 0.1 0.09 0.13
2048_SVC_sex( 0.23 0.11 0.17 0.16 0.21 0.1 0.17 0.14 0.18 0.2
2048_LSR_race( 0.17 0.12 0.23 0.11 0.2 0.08 0.15 0.17 0.15 0.13
2048_LSR_sex( 0.28 0.17 0.24 0.14 0.22 0.15 0.22 0.19 0.19 0.17
2048_RF_race( 0.2 0.04 0.14 0.08 0.17 0.12 0.22 0.14 0.19 0.15
2048_RF_sex( 0.27 0.23 0.23 0.16 0.2 0.13 0.22 0.18 0.17 0.13
2304_SVC_race( 0.11 0.08 0.17 0.13 0.15 0.1 0.14 0.13 0.06 0.14
2304_SVC_sex( 0.22 0.11 0.22 0.16 0.16 0.09 0.18 0.14 0.16 0.18
2304_LSR_race( 0.1 0.15 0.13 0.18 0.09 0.11 0.11 0.13 0.14 0.14
2304_LSR_sex( 0.21 0.19 0.26 0.2 0.21 0.13 0.17 0.17 0.24 0.21
2304_RF_race( 0.04 0.08 0.14 0.13 0.09 0.14 0.06 0.13 0.15 0.24
2304_RF_sex( 0.23 0.16 0.26 0.19 0.23 0.14 0.2 0.2 0.19 0.19
2560_SVC_race( 0.09 0.07 0.11 0.06 0.14 0.1 0.16 0.1 0.09 0.1
2560_SVC_sex( 0.15 0.14 0.18 0.2 0.18 0.14 0.17 0.11 0.17 0.16
2560_LSR_race( 0.15 0.09 0.07 0.12 0.1 0.11 0.13 0.13 0.12 0.11
2560_LSR_sex( 0.18 0.2 0.23 0.2 0.21 0.19 0.22 0.11 0.23 0.19
2560_RF_race( 0.1 0.08 0.18 0.16 0.13 0.09 0.15 0.16 0.19 0.17
2560_RF_sex( 0.25 0.23 0.19 0.21 0.19 0.18 0.24 0.22 0.23 0.17
36177_RF_race( 0.12 0.11 0.15 0.16 0.1 0.15 0.2 0.11 0.11 0.19
36177_RF_sex( 0.23 0.23 0.2 0.25 0.22 0.15 0.23 0.19 0.21 0.23
36177_LSR_race( 0.03 0.06 0.0 0.01 0.01 0.05 0.06 0.02 0.03 0.06
36177_LSR_sex( 0.02 0.04 0.03 0.03 0.0 0.03 0.0 0.01 0.03 0.0
36177_SVC_race( 0.03 0.05 0.0 0.0 0.01 0.04 0.04 0.01 0.02 0.06
36177_SVC_sex( 0.03 0.04 0.04 0.03 0.01 0.01 0.0 0.01 0.03 0.01
