512_SVC_Age( 0.76 0.78 0.74 0.76 0.86 0.77 0.8   
512_LSR_Age( 0.74 0.74 0.84 0.73 0.84 0.82 0.76   
512_RF_Age( 0.82 0.77 0.79 0.88 0.81 0.83 0.83 0.85 0.82 
640_SVC_Age( 0.85 0.77 0.83 0.82 0.87 0.84    
640_LSR_Age( 0.79 0.79 0.78 0.81 0.86 0.88 0.83   
640_RF_Age( 0.83 0.85 0.79 0.8 0.92 0.8 0.84 0.84 0.87 0.83
896_SVC_Age( 0.84 0.88 0.9 0.82 0.88 0.8 0.87 0.91 0.87 
896_LSR_Age( 0.83 0.87 0.88 0.84 0.86 0.8 0.82 0.89 0.86 
896_RF_Age( 0.84 0.79 0.86 0.79 0.87 0.89 0.84 0.83 0.83 0.85
768_SVC_Age( 0.87 0.76 0.85 0.82 0.82 0.78 0.85 0.85 0.81 
768_LSR_Age( 0.86 0.76 0.84 0.82 0.8 0.85 0.81 0.84 0.81 
768_RF_Age( 0.86 0.81 0.89 0.85 0.84 0.83 0.84 0.84 0.92 0.83
1024_LSR_Age( 0.89 0.81 0.82 0.85 0.85 0.88 0.83 0.86 0.87 
1024_SVC_Age( 0.89 0.84 0.85 0.82 0.83 0.87 0.87 0.85 0.87 0.86
1024_RF_Age( 0.87 0.8 0.86 0.88 0.81 0.85 0.87 0.88 0.85 0.86
8929_RF_Age( 0.91 0.87 0.9 0.87 0.9 0.89 0.89 0.91 0.91 0.9
8929_LSR_Age( 0.81 0.77 0.81 0.78 0.8 0.77 0.78 0.81 0.81 0.8
8929_SVC_Age( 0.81 0.77 0.81 0.78 0.8 0.78 0.79 0.8 0.8 0.8
1152_SVC_Age( 0.85 0.79 0.83 0.82 0.83 0.83 0.9 0.9 0.87 0.86
1152_LSR_Age( 0.84 0.83 0.84 0.83 0.82 0.85 0.9 0.88 0.87 0.86
1152_RF_Age( 0.86 0.85 0.88 0.86 0.87 0.83 0.88 0.88 0.86 0.83
1280_SVC_Age( 0.84 0.83 0.86 0.83 0.85 0.85 0.89 0.87 0.81 0.88
1280_LSR_Age( 0.84 0.83 0.82 0.83 0.84 0.84 0.88 0.87 0.8 0.86
1280_RF_Age( 0.86 0.88 0.84 0.82 0.85 0.86 0.8 0.87 0.87 0.81
