512_SVC_race( 0.316 0.305 0.315 0.317 0.344 0.351 0.334 0.322 0.33 0.342
512_SVC_sex( 0.333 0.343 0.348 0.337 0.381 0.358 0.359 0.346 0.363 0.367
512_LSR_race( 0.316 0.306 0.313 0.328 0.344 0.347 0.336 0.323 0.336 0.326
512_LSR_sex( 0.33 0.35 0.346 0.345 0.389 0.364 0.357 0.346 0.367 0.369
512_RF_race( 0.336 0.351 0.339 0.342 0.36 0.35 0.377 0.334 0.371 0.338
512_RF_sex( 0.327 0.398 0.371 0.331 0.354 0.383 0.362 0.326 0.364 0.411
896_SVC_race( 0.31 0.308 0.309 0.313 0.348 0.346 0.32 0.324 0.327 0.343
896_SVC_sex( 0.332 0.341 0.334 0.35 0.365 0.372 0.37 0.335 0.354 0.376
896_LSR_race( 0.317 0.304 0.306 0.31 0.346 0.346 0.323 0.323 0.325 0.334
896_LSR_sex( 0.338 0.335 0.346 0.345 0.365 0.374 0.36 0.34 0.351 0.374
896_RF_race( 0.362 0.347 0.346 0.356 0.349 0.357 0.354 0.337 0.347 0.388
896_RF_sex( 0.344 0.339 0.359 0.335 0.386 0.384 0.36 0.342 0.347 0.352
640_SVC_race( 0.3 0.317 0.312 0.317 0.355 0.357 0.339 0.325 0.332 0.337
640_SVC_sex( 0.35 0.337 0.335 0.35 0.36 0.367 0.372 0.341 0.378 0.365
640_LSR_race( 0.305 0.311 0.316 0.315 0.348 0.346 0.331 0.332 0.328 0.33
640_LSR_sex( 0.347 0.333 0.326 0.352 0.356 0.365 0.365 0.339 0.379 0.369
640_RF_race( 0.364 0.351 0.338 0.338 0.377 0.368 0.377 0.34 0.347 0.371
640_RF_sex( 0.342 0.363 0.372 0.338 0.363 0.379 0.348 0.36 0.322 0.398
768_SVC_race( 0.317 0.314 0.306 0.314 0.348 0.343 0.327 0.326 0.336 0.345
768_SVC_sex( 0.336 0.34 0.352 0.333 0.359 0.364 0.354 0.337 0.359 0.369
768_LSR_race( 0.317 0.305 0.304 0.313 0.355 0.344 0.332 0.325 0.33 0.343
768_LSR_sex( 0.338 0.344 0.35 0.339 0.355 0.359 0.357 0.329 0.354 0.373
768_RF_race( 0.345 0.341 0.347 0.357 0.355 0.366 0.352 0.343 0.33 0.364
768_RF_sex( 0.357 0.343 0.36 0.328 0.355 0.36 0.364 0.347 0.352 0.375
1024_SVC_race( 0.307 0.312 0.313 0.306 0.343 0.339 0.331 0.324 0.338 0.328
1024_SVC_sex( 0.339 0.33 0.326 0.336 0.354 0.36 0.367 0.334 0.371 0.371
1024_LSR_race( 0.311 0.306 0.31 0.304 0.347 0.343 0.335 0.322 0.326 0.329
1024_LSR_sex( 0.338 0.329 0.328 0.339 0.359 0.362 0.353 0.335 0.363 0.368
1024_RF_race( 0.355 0.342 0.346 0.343 0.38 0.387 0.338 0.321 0.346 0.364
1024_RF_sex( 0.317 0.349 0.34 0.347 0.385 0.356 0.344 0.366 0.352 0.357
1152_SVC_race( 0.304 0.309 0.308 0.304 0.342 0.344 0.331 0.319 0.326 0.337
1152_SVC_sex( 0.339 0.351 0.351 0.349 0.355 0.364 0.355 0.338 0.378 0.385
1152_LSR_race( 0.309 0.31 0.304 0.31 0.346 0.348 0.335 0.318 0.328 0.336
1152_LSR_sex( 0.337 0.35 0.353 0.347 0.358 0.37 0.355 0.332 0.375 0.376
1152_RF_race( 0.349 0.35 0.347 0.349 0.364 0.369 0.361 0.383 0.36 0.372
1152_RF_sex( 0.335 0.338 0.341 0.337 0.356 0.364 0.334 0.338 0.336 0.35
1280_SVC_race( 0.3 0.317 0.314 0.308 0.346 0.34 0.336 0.322 0.333 0.33
1280_SVC_sex( 0.347 0.33 0.34 0.34 0.361 0.374 0.368 0.33 0.362 0.378
1280_LSR_race( 0.307 0.316 0.314 0.299 0.348 0.338 0.335 0.325 0.334 0.332
1280_LSR_sex( 0.345 0.333 0.343 0.344 0.358 0.375 0.362 0.324 0.36 0.369
1280_RF_race( 0.347 0.358 0.355 0.338 0.356 0.352 0.356 0.341 0.35 0.359
1280_RF_sex( 0.336 0.336 0.338 0.351 0.347 0.357 0.361 0.339 0.366 0.355
4937_RF_race( 0.354 0.357 0.356 0.356 0.363 0.368 0.36 0.343 0.345 0.365
4937_RF_sex( 0.334 0.347 0.336 0.337 0.377 0.355 0.33 0.34 0.344 0.344
4937_LSR_race( 0.314 0.335 0.304 0.331 0.342 0.347 0.337 0.322 0.326 0.339
4937_LSR_sex( 0.331 0.343 0.323 0.312 0.362 0.353 0.336 0.334 0.344 0.35
4937_SVC_race( 0.315 0.342 0.304 0.33 0.343 0.346 0.338 0.317 0.327 0.34
4937_SVC_sex( 0.333 0.343 0.316 0.321 0.354 0.358 0.333 0.338 0.338 0.36
