64_LSR_Age( 0.18 0.09 0.36 0.16 0.04 0.01 0.19 0.27 0.0 
64_SVC_Age( 0.1 0.18 0.36 0.15 0.14 0.18 0.01 0.16 0.33 0.01
64_RF_Age( 0.17 0.34 0.41 0.18 0.4 0.24 0.29 0.34 0.38 0.08
96_SVC_Age( 0.14 0.21 0.29 0.03 0.07 0.04 0.01 0.21 0.24 0.08
96_LSR_Age( 0.15 0.29 0.26 0.06 0.1 0.0 0.08 0.19 0.17 0.05
96_RF_Age( 0.38 0.21 0.19 0.18 0.05 0.22 0.06 0.11 0.39 0.02
128_SVC_Age( 0.25 0.11 0.35 0.1 0.11 0.24 0.03 0.14 0.21 0.1
128_LSR_Age( 0.2 0.18 0.36 0.01 0.09 0.19 0.03 0.12 0.16 0.03
128_RF_Age( 0.18 0.03 0.2 0.15 0.02 0.07 0.03 0.22 0.26 0.13
160_SVC_Age( 0.18 0.11 0.22 0.16 0.01 0.16 0.03 0.14 0.27 0.01
160_LSR_Age( 0.31 0.14 0.26 0.09 0.05 0.12 0.03 0.09 0.24 0.07
160_RF_Age( 0.09 0.07 0.35 0.06 0.29 0.4 0.03 0.14 0.29 0.06
614_RF_Age( 0.12 0.12 0.16 0.16 0.17 0.17 0.21 0.28 0.26 0.04
614_LSR_Age( 0.12 0.05 0.32 0.06 0.15 0.13 0.03 0.11 0.24 0.01
614_SVC_Age( 0.2 0.02 0.25 0.06 0.17 0.14 0.03 0.17 0.26 0.03
