64_LSR_Age( 0.64 0.75 0.5 0.8 0.74 0.65 0.68 0.69 0.75 
64_SVC_Age( 0.69 0.71 0.51 0.83 0.75 0.67 0.69 0.7 0.63 0.75
64_RF_Age( 0.56 0.56 0.49 0.66 0.52 0.61 0.6 0.52 0.57 0.69
96_SVC_Age( 0.63 0.65 0.55 0.85 0.75 0.72 0.72 0.68 0.71 0.76
96_LSR_Age( 0.69 0.65 0.55 0.82 0.75 0.74 0.67 0.68 0.68 0.76
96_RF_Age( 0.47 0.64 0.57 0.63 0.75 0.61 0.67 0.66 0.56 0.74
128_SVC_Age( 0.63 0.76 0.48 0.78 0.72 0.62 0.71 0.7 0.71 0.75
128_LSR_Age( 0.68 0.73 0.48 0.82 0.72 0.7 0.72 0.72 0.72 0.73
128_RF_Age( 0.6 0.75 0.58 0.68 0.67 0.63 0.64 0.63 0.61 0.69
160_SVC_Age( 0.68 0.74 0.57 0.81 0.78 0.71 0.77 0.68 0.69 0.82
160_LSR_Age( 0.59 0.72 0.53 0.81 0.73 0.72 0.75 0.72 0.66 0.76
160_RF_Age( 0.6 0.67 0.45 0.8 0.57 0.58 0.66 0.64 0.62 0.72
614_RF_Age( 0.69 0.74 0.62 0.76 0.69 0.64 0.62 0.6 0.65 0.75
614_LSR_Age( 0.67 0.71 0.53 0.85 0.69 0.69 0.73 0.66 0.67 0.74
614_SVC_Age( 0.61 0.71 0.54 0.78 0.66 0.67 0.73 0.6 0.67 0.75
