1024_LSR_race( 0.72 0.71 0.75 0.77 0.81 0.67 0.81 0.84 0.72 0.59
1024_LSR_sex( 0.64 0.72 0.73 0.7 0.68 0.67 0.76 0.54 0.66 0.74
1536_LSR_race( 0.75 0.72 0.79 0.74 0.7 0.65 0.76 0.79 0.78 0.85
1536_LSR_sex( 0.78 0.75 0.78 0.61 0.63 0.66 0.67 0.66 0.6 0.6
1792_LSR_race( 0.7 0.74 0.82 0.73 0.72 0.81 0.74 0.73 0.82 0.71
1792_LSR_sex( 0.66 0.67 0.64 0.72 0.53 0.81 0.71 0.58 0.7 0.59
1280_LSR_race( 0.82 0.74 0.76 0.82 0.82 0.79 0.84 0.71 0.82 0.74
1280_LSR_sex( 0.8 0.81 0.73 0.68 0.62 0.75 0.58 0.64 0.66 0.62
2048_LSR_race( 0.8 0.72 0.87 0.77 0.81 0.66 0.76 0.73 0.68 0.68
2048_LSR_sex( 0.72 0.74 0.6 0.57 0.75 0.61 0.74 0.64 0.62 0.61
2304_LSR_race( 0.7 0.82 0.75 0.76 0.7 0.69 0.76 0.73 0.65 0.69
2304_LSR_sex( 0.59 0.65 0.66 0.59 0.68 0.64 0.59 0.59 0.57 0.7
2560_LSR_race( 0.76 0.76 0.78 0.73 0.74 0.73 0.82 0.74 0.85 0.68
2560_LSR_sex( 0.69 0.81 0.64 0.57 0.68 0.67 0.67 0.58 0.55 0.64
36177_LSR_race( 0.41 0.41 0.43 0.41 0.42 0.41 0.44 0.4 0.4 0.4
36177_LSR_sex( 0.29 0.28 0.25 0.26 0.27 0.25 0.28 0.26 0.27 0.27
