512_LSR_race( 0.68 0.7 0.66 0.66 0.62 0.63 0.69 0.71 0.63 0.66
512_LSR_sex( 0.63 0.6 0.61 0.61 0.56 0.59 0.63 0.64 0.59 0.59
896_LSR_race( 0.69 0.69 0.66 0.68 0.62 0.63 0.69 0.7 0.65 0.66
896_LSR_sex( 0.61 0.61 0.61 0.61 0.58 0.58 0.62 0.63 0.6 0.58
640_LSR_race( 0.69 0.67 0.65 0.67 0.62 0.64 0.7 0.7 0.64 0.66
640_LSR_sex( 0.6 0.62 0.63 0.6 0.59 0.59 0.61 0.64 0.57 0.59
768_LSR_race( 0.68 0.68 0.66 0.68 0.61 0.63 0.69 0.7 0.64 0.65
768_LSR_sex( 0.61 0.61 0.6 0.62 0.59 0.6 0.62 0.66 0.6 0.59
1024_LSR_race( 0.68 0.68 0.65 0.69 0.62 0.63 0.68 0.71 0.63 0.66
1024_LSR_sex( 0.62 0.62 0.62 0.61 0.58 0.59 0.63 0.64 0.59 0.59
1152_LSR_race( 0.68 0.69 0.66 0.68 0.63 0.63 0.68 0.7 0.64 0.65
1152_LSR_sex( 0.61 0.6 0.6 0.61 0.58 0.58 0.62 0.64 0.58 0.59
1280_LSR_race( 0.68 0.68 0.66 0.69 0.63 0.64 0.68 0.7 0.64 0.65
1280_LSR_sex( 0.61 0.62 0.61 0.61 0.58 0.58 0.61 0.65 0.59 0.59
4937_LSR_race( 0.7 0.7 0.67 0.68 0.63 0.64 0.69 0.71 0.66 0.67
4937_LSR_sex( 0.65 0.66 0.65 0.67 0.6 0.62 0.66 0.67 0.62 0.62
