1024_RF_race( 0.51 0.54 0.53 0.44 0.51 0.52 0.46 0.55 0.53 0.52
1024_RF_sex( 0.37 0.43 0.39 0.39 0.5 0.47 0.43 0.45 0.39 0.42
1536_RF_race( 0.54 0.5 0.48 0.5 0.52 0.53 0.5 0.55 0.52 0.5
1536_RF_sex( 0.37 0.46 0.45 0.42 0.49 0.49 0.43 0.41 0.45 0.42
1792_RF_race( 0.53 0.52 0.51 0.49 0.51 0.54 0.52 0.53 0.53 0.49
1792_RF_sex( 0.39 0.46 0.42 0.41 0.48 0.49 0.45 0.46 0.45 0.46
1280_RF_race( 0.5 0.52 0.53 0.47 0.53 0.46 0.53 0.52 0.56 0.51
1280_RF_sex( 0.4 0.45 0.42 0.44 0.44 0.45 0.39 0.42 0.41 0.45
2048_RF_race( 0.47 0.58 0.53 0.57 0.51 0.53 0.47 0.49 0.45 0.51
2048_RF_sex( 0.39 0.44 0.42 0.46 0.47 0.48 0.43 0.45 0.46 0.47
2304_RF_race( 0.56 0.56 0.54 0.52 0.55 0.5 0.54 0.52 0.52 0.42
2304_RF_sex( 0.4 0.46 0.42 0.43 0.46 0.46 0.44 0.45 0.45 0.45
2560_RF_race( 0.52 0.55 0.5 0.51 0.52 0.52 0.5 0.48 0.5 0.51
2560_RF_sex( 0.42 0.45 0.46 0.43 0.47 0.47 0.42 0.43 0.44 0.48
36177_RF_race( 0.53 0.57 0.56 0.56 0.56 0.52 0.51 0.57 0.57 0.51
36177_RF_sex( 0.43 0.43 0.43 0.4 0.45 0.47 0.43 0.43 0.42 0.44
