512_RF_race( 0.336 0.351 0.339 0.342 0.36 0.35 0.377 0.334 0.371 0.338
512_RF_sex( 0.327 0.398 0.371 0.331 0.354 0.383 0.362 0.326 0.364 0.411
896_RF_race( 0.362 0.347 0.346 0.356 0.349 0.357 0.354 0.337 0.347 0.388
896_RF_sex( 0.344 0.339 0.359 0.335 0.386 0.384 0.36 0.342 0.347 0.352
640_RF_race( 0.364 0.351 0.338 0.338 0.377 0.368 0.377 0.34 0.347 0.371
640_RF_sex( 0.342 0.363 0.372 0.338 0.363 0.379 0.348 0.36 0.322 0.398
768_RF_race( 0.345 0.341 0.347 0.357 0.355 0.366 0.352 0.343 0.33 0.364
768_RF_sex( 0.357 0.343 0.36 0.328 0.355 0.36 0.364 0.347 0.352 0.375
1024_RF_race( 0.355 0.342 0.346 0.343 0.38 0.387 0.338 0.321 0.346 0.364
1024_RF_sex( 0.317 0.349 0.34 0.347 0.385 0.356 0.344 0.366 0.352 0.357
1152_RF_race( 0.349 0.35 0.347 0.349 0.364 0.369 0.361 0.383 0.36 0.372
1152_RF_sex( 0.335 0.338 0.341 0.337 0.356 0.364 0.334 0.338 0.336 0.35
1280_RF_race( 0.347 0.358 0.355 0.338 0.356 0.352 0.356 0.341 0.35 0.359
1280_RF_sex( 0.336 0.336 0.338 0.351 0.347 0.357 0.361 0.339 0.366 0.355
4937_RF_race( 0.354 0.357 0.356 0.356 0.363 0.368 0.36 0.343 0.345 0.365
4937_RF_sex( 0.334 0.347 0.336 0.337 0.377 0.355 0.33 0.34 0.344 0.344
