512_SVC_race( 0.68 0.71 0.69 0.68 0.64 0.65 0.68 0.69 0.68 0.67
512_SVC_sex( 0.65 0.64 0.64 0.65 0.6 0.63 0.64 0.65 0.63 0.62
896_SVC_race( 0.69 0.7 0.69 0.69 0.64 0.66 0.69 0.68 0.68 0.67
896_SVC_sex( 0.65 0.65 0.66 0.64 0.61 0.62 0.63 0.66 0.65 0.61
640_SVC_race( 0.7 0.69 0.69 0.68 0.63 0.65 0.67 0.69 0.68 0.67
640_SVC_sex( 0.63 0.65 0.66 0.63 0.62 0.62 0.62 0.66 0.61 0.62
768_SVC_race( 0.68 0.69 0.69 0.69 0.64 0.66 0.69 0.69 0.67 0.66
768_SVC_sex( 0.65 0.65 0.64 0.66 0.62 0.63 0.64 0.66 0.64 0.61
1024_SVC_race( 0.69 0.69 0.68 0.69 0.65 0.66 0.69 0.68 0.66 0.67
1024_SVC_sex( 0.64 0.66 0.67 0.64 0.62 0.64 0.63 0.66 0.63 0.61
1152_SVC_race( 0.7 0.71 0.7 0.69 0.65 0.66 0.68 0.69 0.68 0.67
1152_SVC_sex( 0.64 0.63 0.64 0.64 0.62 0.63 0.65 0.66 0.61 0.6
1280_SVC_race( 0.7 0.69 0.69 0.7 0.65 0.66 0.68 0.69 0.67 0.68
1280_SVC_sex( 0.63 0.66 0.65 0.65 0.62 0.62 0.63 0.67 0.64 0.6
4937_SVC_race( 0.7 0.69 0.7 0.69 0.65 0.67 0.68 0.7 0.69 0.67
4937_SVC_sex( 0.67 0.67 0.68 0.68 0.63 0.64 0.67 0.66 0.67 0.63
