512_SVC_race( 0.76 0.73 0.82 0.76 0.76 0.76 0.73 0.73 0.81 0.77
512_SVC_sex( 0.83 0.84 0.89 0.84 0.87 0.86 0.8 0.85 0.85 0.85
896_SVC_race( 0.75 0.75 0.78 0.76 0.75 0.78 0.76 0.72 0.8 0.76
896_SVC_sex( 0.86 0.85 0.89 0.86 0.82 0.88 0.83 0.86 0.88 0.81
640_SVC_race( 0.78 0.76 0.81 0.73 0.74 0.77 0.72 0.71 0.81 0.77
640_SVC_sex( 0.88 0.82 0.88 0.87 0.81 0.86 0.83 0.86 0.88 0.84
768_SVC_race( 0.76 0.74 0.82 0.75 0.75 0.77 0.74 0.73 0.79 0.73
768_SVC_sex( 0.86 0.85 0.88 0.82 0.82 0.87 0.84 0.82 0.89 0.81
1024_SVC_race( 0.77 0.76 0.8 0.74 0.75 0.78 0.75 0.73 0.8 0.76
1024_SVC_sex( 0.87 0.85 0.87 0.87 0.84 0.86 0.84 0.84 0.88 0.81
1152_SVC_race( 0.77 0.77 0.81 0.74 0.76 0.77 0.74 0.73 0.8 0.77
1152_SVC_sex( 0.87 0.86 0.91 0.84 0.81 0.86 0.85 0.83 0.88 0.81
1280_SVC_race( 0.78 0.75 0.81 0.76 0.74 0.77 0.75 0.73 0.79 0.77
1280_SVC_sex( 0.88 0.84 0.86 0.84 0.81 0.88 0.85 0.85 0.86 0.82
4937_SVC_race( 0.76 0.75 0.79 0.72 0.74 0.75 0.74 0.74 0.77 0.75
4937_SVC_sex( 0.77 0.76 0.82 0.77 0.75 0.8 0.78 0.75 0.79 0.76
