64_SVC_sex( 0.105 0.086 0.1 0.1 0.124 0.096 0.1 0.091 0.139 0.11
64_LSR_sex( 0.1 0.1 0.144 0.1 0.134 0.11 0.1 0.096 0.124 0.12
64_RF_sex( 0.105 0.1 0.129 0.153 0.129 0.139 0.096 0.077 0.144 0.11
96_SVC_sex( 0.081 0.086 0.158 0.096 0.105 0.105 0.105 0.091 0.091 0.11
96_LSR_sex( 0.081 0.091 0.144 0.086 0.105 0.105 0.11 0.086 0.115 0.11
96_RF_sex( 0.105 0.081 0.158 0.096 0.1 0.081 0.091 0.081 0.1 0.129
128_SVC_sex( 0.096 0.091 0.124 0.091 0.144 0.1 0.1 0.086 0.077 0.11
128_LSR_sex( 0.105 0.081 0.115 0.091 0.129 0.1 0.105 0.115 0.11 0.115
128_RF_sex( 0.081 0.081 0.129 0.091 0.12 0.1 0.11 0.072 0.091 0.096
835_RF_sex( 0.077 0.077 0.1 0.091 0.12 0.096 0.091 0.086 0.086 0.105
835_LSR_sex( 0.115 0.091 0.144 0.105 0.134 0.086 0.134 0.115 0.124 0.129
835_SVC_sex( 0.081 0.1 0.124 0.096 0.1 0.091 0.115 0.091 0.086 0.096
160_SVC_sex( 0.096 0.077 0.134 0.096 0.115 0.077 0.096 0.086 0.086 0.12
160_LSR_sex( 0.081 0.072 0.115 0.11 0.134 0.12 0.091 0.11 0.1 0.115
160_RF_sex( 0.1 0.077 0.12 0.11 0.11 0.091 0.081 0.091 0.091 0.081
