64_SVC_sex( 0.91 0.9 0.94 0.95 0.96 0.86 0.88 0.98 0.79 0.83
64_LSR_sex( 0.95 0.88 0.93 0.89 0.94 0.87 0.88 0.93 0.84 0.88
64_RF_sex( 0.88 0.9 0.93 0.8 0.96 0.78 0.87 0.96 0.85 0.81
96_SVC_sex( 0.95 0.91 0.93 0.95 0.91 0.9 0.83 0.92 0.89 0.9
96_LSR_sex( 0.98 0.93 0.93 0.98 0.92 0.9 0.85 0.91 0.87 0.9
96_RF_sex( 0.93 0.95 0.97 0.89 0.93 0.9 0.84 0.91 0.81 0.82
128_SVC_sex( 0.93 0.87 0.96 0.95 0.94 0.86 0.89 0.92 0.89 0.86
128_LSR_sex( 0.93 0.89 0.94 0.91 0.96 0.93 0.89 0.9 0.89 0.88
128_RF_sex( 0.98 0.89 0.96 0.87 0.98 0.85 0.87 0.93 0.85 0.88
835_RF_sex( 0.91 0.93 0.94 0.91 0.87 0.86 0.9 0.94 0.9 0.84
835_LSR_sex( 0.91 0.89 0.96 0.86 0.92 0.87 0.89 0.93 0.87 0.89
835_SVC_sex( 0.91 0.89 0.92 0.84 0.93 0.88 0.86 0.94 0.88 0.91
160_SVC_sex( 0.91 0.95 0.93 0.89 0.96 0.85 0.84 0.91 0.91 0.84
160_LSR_sex( 0.95 0.95 0.93 0.9 0.91 0.84 0.91 0.9 0.87 0.91
160_RF_sex( 0.87 0.95 0.93 0.95 0.98 0.85 0.86 0.9 0.86 0.85
