64_RF_sex( 0.06 0.03 0.04 0.03 0.09 0.15 0.06 0.03 0.01 0.03
64_LSR_sex( 0.01 0.07 0.08 0.03 0.15 0.08 0.03 0.04 0.03 0.05
64_SVC_sex( 0.1 0.08 0.01 0.03 0.09 0.06 0.12 0.03 0.02 0.13
64_Slack_sex( 0.7 0.91 0.88 1.0 0.94 0.94 0.69 0.54 0.79 0.91
96_RF_sex( 0.11 0.03 0.07 0.04 0.09 0.06 0.12 0.09 0.03 0.0
96_LSR_sex( 0.06 0.11 0.01 0.03 0.13 0.04 0.07 0.17 0.05 0.06
96_SVC_sex( 0.01 0.12 0.14 0.03 0.04 0.06 0.12 0.13 0.1 0.0
96_Slack_sex( 0.76 0.95 1.0 0.92 0.95 0.96 0.82 0.94 0.86 0.94
128_RF_sex( 0.02 0.02 0.04 0.05 0.04 0.04 0.02 0.13 0.09 0.02
128_LSR_sex( 0.01 0.03 0.05 0.03 0.0 0.1 0.09 0.11 0.11 0.07
128_SVC_sex( 0.06 0.06 0.05 0.09 0.04 0.1 0.0 0.15 0.11 0.04
128_Slack_sex( 1.0 0.98 1.0 0.98 0.92 0.92 0.82 0.93 0.88 0.92
835_RF_sex( 0.04 0.05 0.05 0.07 0.02 0.02 0.02 0.07 0.08 0.04
835_Slack_sex( 0.7 0.88 0.73 0.85 0.87 0.8 0.76 0.83 0.87 0.95
835_SVC_sex( 0.07 0.22 0.12 0.12 0.06 0.02 0.03 0.05 0.15 0.1
835_LSR_sex( 0.04 0.18 0.08 0.04 0.03 0.02 0.02 0.11 0.13 0.03
160_RF_sex( 0.02 0.04 0.05 0.04 0.12 0.04 0.0 0.02 0.03 0.07
160_LSR_sex( 0.1 0.02 0.07 0.03 0.07 0.02 0.08 0.13 0.11 0.08
160_SVC_sex( 0.05 0.03 0.1 0.01 0.06 0.04 0.04 0.05 0.06 0.07
160_Slack_sex( 0.94 0.93 0.71 0.93 0.97 0.94 0.94 0.98 0.82 0.96
