64_RF_sex( 0.1 0.091 0.11 0.1 0.124 0.134 0.091 0.081 0.091 0.096
64_LSR_sex( 0.129 0.115 0.167 0.096 0.11 0.115 0.086 0.086 0.148 0.124
64_SVC_sex( 0.139 0.1 0.148 0.11 0.096 0.096 0.081 0.091 0.096 0.139
64_Slack_sex( 0.522 0.531 0.565 0.545 0.555 0.469 0.55 0.55 0.574 0.584
96_RF_sex( 0.134 0.086 0.12 0.11 0.12 0.1 0.134 0.139 0.072 0.1
96_LSR_sex( 0.129 0.086 0.158 0.12 0.163 0.105 0.124 0.139 0.091 0.115
96_SVC_sex( 0.134 0.081 0.124 0.096 0.12 0.105 0.081 0.1 0.081 0.1
96_Slack_sex( 0.483 0.502 0.526 0.545 0.536 0.517 0.507 0.488 0.536 0.507
128_RF_sex( 0.105 0.086 0.11 0.1 0.1 0.086 0.086 0.091 0.091 0.115
128_LSR_sex( 0.11 0.1 0.12 0.091 0.096 0.086 0.072 0.105 0.091 0.096
128_SVC_sex( 0.086 0.072 0.12 0.11 0.105 0.1 0.072 0.105 0.091 0.1
128_Slack_sex( 0.536 0.498 0.502 0.531 0.531 0.536 0.541 0.493 0.488 0.488
835_RF_sex( 0.086 0.077 0.124 0.091 0.105 0.086 0.081 0.105 0.072 0.12
835_Slack_sex( 0.541 0.498 0.541 0.517 0.531 0.531 0.522 0.478 0.493 0.502
835_SVC_sex( 0.086 0.072 0.11 0.077 0.1 0.086 0.096 0.086 0.086 0.096
835_LSR_sex( 0.1 0.096 0.129 0.091 0.105 0.091 0.096 0.096 0.115 0.129
160_RF_sex( 0.081 0.086 0.077 0.105 0.115 0.096 0.086 0.077 0.067 0.115
160_LSR_sex( 0.096 0.062 0.134 0.124 0.11 0.115 0.081 0.115 0.105 0.115
160_SVC_sex( 0.072 0.072 0.144 0.1 0.124 0.096 0.072 0.086 0.1 0.086
160_Slack_sex( 0.545 0.522 0.517 0.507 0.545 0.565 0.55 0.498 0.512 0.464
