512_RFx_race( 0.59 0.7 0.69 0.53 0.44 0.79 0.65 0.63 0.54 0.55 0.64 0.63 0.59 0.76 0.43 0.77 0.67 0.6 0.58 0.6
512_RFx_sex( 0.63 0.6 0.64 0.66 0.7 0.65 0.75 0.72 0.77 0.77 0.78 0.65 0.55 0.67 0.66 0.65 0.76 0.74 0.53 0.62
512_RF_race( 0.52 0.65 0.64 0.55 0.48 0.74 0.73 0.56 0.51 0.61 0.58 0.63 0.64 0.56 0.54 0.75 0.59 0.54 0.5 0.54
512_RF_sex( 0.69 0.63 0.66 0.63 0.69 0.65 0.71 0.62 0.69 0.76 0.68 0.72 0.54 0.65 0.66 0.55 0.77 0.75 0.55 0.62
512_RFs_race( 0.56 0.59 0.6 0.51 0.49 0.71 0.55 0.49 0.47 0.64 0.6 0.57 0.63 0.54 0.55 0.72 0.52 0.54 0.54 0.46
512_RFs_sex( 0.54 0.55 0.5 0.49 0.53 0.49 0.59 0.49 0.54 0.62 0.48 0.53 0.47 0.53 0.59 0.53 0.52 0.5 0.49 0.53
512_RFm_race( 0.99 1.0 0.99 1.0 0.94 0.99 1.0 1.0 0.99 1.0 1.0 1.0 1.0 1.0 0.98 1.0 0.99 1.0 0.97 1.0
512_RFm_sex( 1.0 0.99 0.99 1.0 1.0 0.9 0.99 1.0 0.95 0.97 0.99 0.99 0.93 0.98 1.0 0.8 0.98 0.98 0.99 0.99
36177_RFx_race( 0.6 0.64 0.62 0.6 0.59 0.64 0.69 0.6 0.63 0.6 0.63 0.59 0.65 0.56 0.61 0.62 0.62 0.56 0.61 0.64
36177_RFx_sex( 0.64 0.67 0.63 0.6 0.58 0.59 0.62 0.62 0.64 0.65 0.65 0.66 0.65 0.61 0.61 0.61 0.64 0.63 0.64 0.61
36177_RF_race( 0.52 0.53 0.49 0.51 0.5 0.5 0.55 0.51 0.54 0.54 0.54 0.56 0.52 0.52 0.55 0.52 0.51 0.51 0.48 0.52
36177_RF_sex( 0.68 0.64 0.67 0.67 0.65 0.62 0.7 0.63 0.65 0.63 0.66 0.68 0.65 0.64 0.62 0.65 0.65 0.66 0.66 0.63
36177_RFs_race( 0.48 0.51 0.5 0.51 0.49 0.47 0.55 0.51 0.5 0.55 0.5 0.53 0.5 0.48 0.52 0.49 0.51 0.51 0.51 0.47
36177_RFs_sex( 0.59 0.59 0.59 0.57 0.54 0.5 0.59 0.56 0.59 0.56 0.58 0.64 0.55 0.52 0.56 0.56 0.57 0.57 0.57 0.55
36177_RFm_race( 0.97 0.97 0.94 0.94 0.93 0.95 0.94 0.97 0.94 0.97 0.94 0.97 0.93 0.9 0.94 0.94 0.94 0.96 0.97 0.91
36177_RFm_sex( 0.95 0.95 0.95 0.96 0.94 0.94 0.95 0.96 0.96 0.94 0.93 0.96 0.93 0.93 0.91 0.94 0.93 0.94 0.95 0.95
