36177_RF_race( 0.18 0.18 0.18 0.18 0.17 0.18 0.19 0.18 0.17 0.18 0.17 0.18 0.18 0.17 0.18 0.18 0.17 0.17 0.18 0.18
36177_RF_sex( 0.19 0.19 0.18 0.18 0.18 0.17 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.17 0.18 0.19 0.18
512_RFx_race( 0.2 0.21 0.2 0.21 0.2 0.2 0.21 0.21 0.21 0.2 0.21 0.21 0.22 0.22 0.2 0.2 0.21 0.19 0.21 0.2
512_RFx_sex( 0.24 0.23 0.22 0.21 0.2 0.23 0.21 0.22 0.21 0.23 0.21 0.22 0.21 0.21 0.22 0.21 0.21 0.23 0.22 0.2
512_RFm_race( 0.25 0.24 0.25 0.24 0.22 0.22 0.25 0.24 0.24 0.25 0.25 0.24 0.25 0.24 0.23 0.24 0.24 0.24 0.24 0.25
512_RFm_sex( 0.25 0.24 0.25 0.24 0.24 0.22 0.25 0.24 0.22 0.23 0.24 0.24 0.22 0.24 0.25 0.21 0.23 0.22 0.25 0.24
512_RFs_race( 0.21 0.22 0.21 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.22 0.23 0.22 0.22 0.22 0.24 0.2 0.22 0.21
512_RFs_sex( 0.23 0.23 0.23 0.21 0.2 0.23 0.2 0.23 0.23 0.22 0.22 0.23 0.21 0.21 0.21 0.22 0.22 0.22 0.23 0.2
512_RF_race( 0.2 0.21 0.2 0.21 0.2 0.2 0.21 0.21 0.2 0.2 0.22 0.21 0.22 0.21 0.2 0.2 0.21 0.19 0.21 0.2
512_RF_sex( 0.22 0.21 0.21 0.2 0.19 0.2 0.19 0.21 0.2 0.21 0.2 0.2 0.2 0.2 0.2 0.21 0.2 0.2 0.21 0.2
