4937_RF_race( 0.09 0.14 0.08 0.05 0.08 0.19 0.12 0.12 0.1 0.13 0.08 0.1 0.08 0.15 0.1 0.14 0.1 0.15 0.08 0.08
4937_RF_sex( 0.12 0.15 0.06 0.12 0.1 0.18 0.16 0.2 0.1 0.11 0.16 0.18 0.18 0.21 0.12 0.19 0.12 0.22 0.19 0.18
256_RFx_race( 0.14 0.04 0.06 0.0 0.15 0.11 0.16 0.03 0.11 0.16 0.17 0.02 0.22 0.11 0.17 0.17 0.24 0.16 0.19 0.11
256_RFx_sex( 0.01 0.08 0.07 0.26 0.2 0.17 0.06 0.13 0.0 0.32 0.04 0.08 0.2 0.2 0.14 0.18 0.06 0.1 0.2 0.12
256_RFm_race( 0.13 0.08 0.14 0.01 0.14 0.1 0.09 0.02 0.14 0.18 0.0 0.15 0.24 0.19 0.15 0.14 0.22 0.06 0.11 0.08
256_RFm_sex( 0.15 0.06 0.02 0.17 0.0 0.14 0.06 0.06 0.09 0.02 0.06 0.0 0.16 0.26 0.08 0.23 0.12 0.02 0.16 0.18
256_RFs_race( 0.12 0.06 0.1 0.06 0.11 0.03 0.13 0.05 0.1 0.08 0.14 0.08 0.15 0.16 0.2 0.06 0.07 0.02 0.01 0.02
256_RFs_sex( 0.04 0.11 0.02 0.08 0.04 0.12 0.11 0.16 0.05 0.06 0.05 0.16 0.16 0.15 0.1 0.19 0.1 0.06 0.15 0.12
256_RF_race( 0.22 0.06 0.06 0.12 0.06 0.16 0.12 0.06 0.11 0.1 0.16 0.08 0.21 0.21 0.28 0.1 0.18 0.08 0.12 0.06
256_RF_sex( 0.04 0.12 0.0 0.2 0.1 0.12 0.14 0.13 0.03 0.08 0.0 0.16 0.11 0.16 0.08 0.22 0.06 0.08 0.12 0.15
