256_RF_race( 0.65 0.63 0.6 0.7 0.61 0.6 0.66 0.64 0.65 0.65
256_RF_sex( 0.63 0.67 0.63 0.67 0.61 0.61 0.67 0.66 0.62 0.63
256_Slack_race( 0.77 0.86 0.67 0.61 0.62 0.71 0.63 0.56 0.44 0.33
256_Slack_sex( 0.59 0.61 0.57 0.59 0.58 0.58 0.59 0.6 0.55 0.57
640_RF_race( 0.65 0.66 0.62 0.69 0.63 0.61 0.7 0.67 0.63 0.63
640_RF_sex( 0.64 0.63 0.62 0.63 0.59 0.64 0.64 0.67 0.62 0.62
640_Slack_race( 0.46 0.58 0.38 0.55 0.6 0.62 0.67 0.4 0.76 0.58
640_Slack_sex( 0.61 0.62 0.61 0.6 0.58 0.59 0.59 0.6 0.57 0.57
384_RF_race( 0.64 0.66 0.65 0.66 0.62 0.65 0.7 0.7 0.6 0.66
384_RF_sex( 0.68 0.62 0.62 0.65 0.61 0.63 0.66 0.7 0.61 0.62
384_Slack_race( 0.53 0.5 0.5 0.5 0.48 0.4 0.71 0.42 0.6 0.44
384_Slack_sex( 0.61 0.61 0.58 0.6 0.58 0.6 0.59 0.62 0.58 0.59
512_RF_race( 0.66 0.63 0.59 0.66 0.6 0.62 0.68 0.69 0.64 0.63
512_RF_sex( 0.64 0.61 0.64 0.63 0.62 0.61 0.65 0.67 0.62 0.62
512_Slack_race( 0.25 0.75 0.7 0.82 0.57 0.55 0.75 0.93 0.56 0.61
512_Slack_sex( 0.61 0.6 0.6 0.6 0.59 0.58 0.6 0.61 0.57 0.57
4937_Slack_race( 0.48 0.48 0.46 0.47 0.53 0.6 0.54 0.56 0.4 0.5
4937_Slack_sex( 0.58 0.57 0.57 0.58 0.56 0.56 0.57 0.59 0.55 0.57
4937_RF_race( 0.64 0.62 0.62 0.64 0.61 0.64 0.7 0.65 0.64 0.64
4937_RF_sex( 0.63 0.62 0.62 0.66 0.58 0.6 0.65 0.66 0.61 0.62
