256_RF_race( 0.69 0.73 0.65 0.54 0.7 0.59 0.65 0.66 0.57 0.7
256_RF_sex( 0.69 0.67 0.71 0.59 0.61 0.7 0.68 0.65 0.78 0.69
256_Slack_race( 0.02 0.01 0.03 0.05 0.04 0.03 0.04 0.01 0.01 0.0
256_Slack_sex( 0.37 0.41 0.37 0.39 0.38 0.37 0.38 0.36 0.38 0.38
640_RF_race( 0.7 0.63 0.72 0.65 0.68 0.64 0.61 0.68 0.65 0.7
640_RF_sex( 0.62 0.69 0.74 0.58 0.68 0.66 0.61 0.59 0.69 0.6
640_Slack_race( 0.03 0.03 0.01 0.03 0.01 0.02 0.01 0.01 0.03 0.02
640_Slack_sex( 0.36 0.44 0.37 0.37 0.4 0.37 0.4 0.35 0.35 0.36
384_RF_race( 0.66 0.65 0.62 0.68 0.68 0.64 0.56 0.61 0.67 0.69
384_RF_sex( 0.67 0.62 0.69 0.61 0.66 0.65 0.7 0.65 0.65 0.66
384_Slack_race( 0.05 0.02 0.02 0.01 0.03 0.01 0.02 0.01 0.01 0.03
384_Slack_sex( 0.37 0.4 0.37 0.37 0.4 0.38 0.39 0.4 0.36 0.37
512_RF_race( 0.68 0.67 0.72 0.61 0.71 0.72 0.57 0.66 0.72 0.67
512_RF_sex( 0.6 0.73 0.67 0.62 0.64 0.67 0.67 0.67 0.65 0.63
512_Slack_race( 0.0 0.02 0.03 0.02 0.02 0.01 0.02 0.03 0.02 0.03
512_Slack_sex( 0.36 0.39 0.37 0.37 0.39 0.37 0.39 0.36 0.35 0.36
4937_Slack_race( 0.09 0.1 0.09 0.1 0.1 0.12 0.1 0.11 0.08 0.09
4937_Slack_sex( 0.38 0.42 0.39 0.42 0.41 0.39 0.42 0.37 0.39 0.4
4937_RF_race( 0.61 0.62 0.64 0.65 0.64 0.63 0.65 0.62 0.67 0.63
4937_RF_sex( 0.61 0.63 0.63 0.64 0.62 0.63 0.64 0.63 0.63 0.66
