24000_Slack_SEX( 0.89 0.89 0.89 0.89 0.89 0.88 0.89 0.89 0.89 0.89
24000_RF_SEX( 0.29 0.18 0.2 0.19 0.2 0.21 0.21 0.21 0.22 0.22
512_RF_SEX( 0.24 0.17 0.15 0.13 0.15 0.21 0.23 0.19 0.14 0.11
512_Slack_SEX( 0.99 0.99 1.0 1.0 0.99 1.0 1.0 0.99 1.0 0.99
1280_RF_SEX( 0.24 0.27 0.12 0.12 0.18 0.23 0.31 0.13 0.21 0.24
1280_Slack_SEX( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
768_RF_SEX( 0.19 0.22 0.02 0.16 0.23 0.19 0.22 0.17 0.28 0.27
768_Slack_SEX( 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1024_RF_SEX( 0.12 0.34 0.19 0.13 0.28 0.15 0.28 0.19 0.06 0.2
1024_Slack_SEX( 1.0 0.99 1.0 1.0 1.0 1.0 1.0 0.99 1.0 0.98
