24000_Slack_SEX( 0.435 0.438 0.433 0.449 0.442 0.441 0.441 0.443 0.446 0.448
24000_RF_SEX( 0.182 0.181 0.17 0.184 0.182 0.189 0.182 0.177 0.185 0.176
512_RF_SEX( 0.195 0.193 0.187 0.2 0.198 0.198 0.2 0.197 0.193 0.194
512_Slack_SEX( 0.422 0.43 0.414 0.431 0.429 0.425 0.42 0.429 0.427 0.436
1280_RF_SEX( 0.192 0.2 0.182 0.191 0.188 0.206 0.195 0.182 0.196 0.188
1280_Slack_SEX( 0.419 0.43 0.415 0.426 0.428 0.425 0.422 0.426 0.429 0.436
768_RF_SEX( 0.201 0.188 0.19 0.194 0.191 0.2 0.192 0.194 0.204 0.201
768_Slack_SEX( 0.417 0.43 0.416 0.432 0.428 0.425 0.42 0.428 0.428 0.434
1024_RF_SEX( 0.196 0.201 0.181 0.197 0.194 0.204 0.182 0.191 0.196 0.186
1024_Slack_SEX( 0.419 0.43 0.416 0.431 0.428 0.426 0.42 0.429 0.422 0.44
