24000_Slack_SEX( 0.74 0.74 0.74 0.72 0.73 0.72 0.74 0.73 0.73 0.73
24000_RF_SEX( 0.83 0.83 0.84 0.82 0.83 0.82 0.83 0.83 0.83 0.83
512_RF_SEX( 0.82 0.82 0.83 0.81 0.81 0.82 0.81 0.81 0.82 0.82
512_Slack_SEX( 0.79 0.79 0.81 0.78 0.79 0.79 0.8 0.78 0.79 0.79
1280_RF_SEX( 0.82 0.81 0.83 0.82 0.82 0.81 0.82 0.83 0.81 0.82
1280_Slack_SEX( 0.8 0.79 0.81 0.78 0.79 0.78 0.8 0.79 0.79 0.79
768_RF_SEX( 0.82 0.82 0.82 0.81 0.82 0.81 0.82 0.81 0.81 0.81
768_Slack_SEX( 0.8 0.79 0.81 0.78 0.79 0.79 0.8 0.79 0.79 0.79
1024_RF_SEX( 0.82 0.81 0.84 0.81 0.82 0.81 0.83 0.81 0.82 0.82
1024_Slack_SEX( 0.8 0.79 0.81 0.78 0.79 0.79 0.8 0.79 0.79 0.79
