24000_Slack_SEX( 0.11 0.1 0.09 0.08 0.1 0.1 0.11 0.1 0.09 0.1
24000_RF_SEX( 0.33 0.38 0.37 0.35 0.36 0.36 0.35 0.36 0.36 0.36
512_RF_SEX( 0.37 0.38 0.21 0.3 0.31 0.29 0.27 0.22 0.34 0.36
512_Slack_SEX( 0.01 0.01 0.0 0.0 0.01 0.01 0.01 0.01 0.01 0.01
1280_RF_SEX( 0.33 0.27 0.32 0.36 0.33 0.27 0.31 0.37 0.28 0.33
1280_Slack_SEX( 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
768_RF_SEX( 0.25 0.32 0.33 0.34 0.38 0.35 0.37 0.36 0.3 0.22
768_Slack_SEX( 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01
1024_RF_SEX( 0.29 0.29 0.31 0.37 0.31 0.33 0.36 0.29 0.34 0.33
1024_Slack_SEX( 0.0 0.01 0.0 0.01 0.0 0.01 0.0 0.01 0.01 0.03
