64_RF_Age( 0.23 0.22 0.26 0.54 0.03 0.15 0.08 0.13 0.71 0.07
64_Slack_Age( 1.0 1.0 0.84 0.85 1.0 0.92 0.96 0.99 1.0 1.0
96_RF_Age( 0.05 0.12 0.22 0.07 0.09 0.29 0.2 0.27 0.31 0.18
96_Slack_Age( 1.0 1.0 1.0 0.99 0.99 0.97 1.0 1.0 1.0 0.87
128_RF_Age( 0.24 0.13 0.35 0.13 0.12 0.38 0.19 0.27 0.27 0.07
128_Slack_Age( 0.9 1.0 0.94 1.0 1.0 1.0 1.0 1.0 1.0 0.98
160_RF_Age( 0.3 0.45 0.23 0.03 0.41 0.29 0.12 0.4 0.27 0.15
160_Slack_Age( 1.0 0.9 0.94 0.96 0.97 1.0 1.0 0.97 1.0 0.95
614_Slack_Age( 0.71 0.85 0.78 0.79 0.86 0.78 0.87 0.86 0.79 0.86
614_RF_Age( 0.21 0.18 0.19 0.12 0.24 0.23 0.16 0.4 0.33 0.08
