64_RF_Age( 0.71 0.62 0.58 0.52 0.75 0.68 0.68 0.63 0.54 0.64
64_Slack_Age( 0.56 0.43 0.6 0.47 0.49 0.55 0.56 0.52 0.48 0.47
96_RF_Age( 0.64 0.65 0.67 0.8 0.75 0.62 0.7 0.63 0.59 0.68
96_Slack_Age( 0.56 0.43 0.58 0.43 0.49 0.53 0.58 0.52 0.48 0.54
128_RF_Age( 0.62 0.67 0.55 0.73 0.69 0.55 0.73 0.63 0.61 0.64
128_Slack_Age( 0.6 0.43 0.6 0.43 0.49 0.53 0.58 0.52 0.48 0.47
160_RF_Age( 0.65 0.55 0.58 0.8 0.49 0.62 0.73 0.53 0.62 0.64
160_Slack_Age( 0.56 0.48 0.6 0.45 0.49 0.53 0.58 0.53 0.48 0.47
614_Slack_Age( 0.64 0.38 0.62 0.45 0.49 0.53 0.52 0.47 0.51 0.44
614_RF_Age( 0.69 0.63 0.69 0.8 0.64 0.62 0.68 0.56 0.62 0.68
